日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
1970-01-01 00:00:00.000009034,0,98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009035,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009036,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009037,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009038,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009039,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009040,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009041,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009042,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009043,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009044,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009045,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009046,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009047,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009048,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009049,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009050,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009051,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009052,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009053,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009054,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009055,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009056,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009057,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009058,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009059,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009060,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009061,[-1.],98.0,102.0,98.0,102.0
