日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-26,1,439.4268271915563,457.3626160565178,439.4268271915563,457.3626160565178
2023-12-27,0,431.9869976334281,449.6191199858129,431.9869976334281,449.6191199858129
2023-12-28,1,431.55068166000444,449.1649951971475,431.55068166000444,449.1649951971475
2023-12-29,-1,433.95482994048325,451.6672719788703,433.95482994048325,451.6672719788703
2024-01-01,-1,440.8498410050407,458.8437120664709,440.8498410050407,458.8437120664709
2024-01-02,-1,447.7918576038085,466.06907628151504,447.7918576038085,466.06907628151504
2024-01-03,-1,460.75909222819365,479.56558578852815,460.75909222819365,479.56558578852815
2024-01-04,-1,458.47357169841433,477.18677870651294,458.47357169841433,477.18677870651294
2024-01-05,-1,453.90963637775735,472.4365603115434,453.90963637775735,472.4365603115434
2024-01-08,-1,462.41964425468336,481.29391544875205,462.41964425468336,481.29391544875205
2024-01-09,-1,459.0283858488816,477.7642383325094,459.0283858488816,477.7642383325094
2024-01-10,0,459.97963112725375,478.7543099487743,459.97963112725375,478.7543099487743
2024-01-11,0,459.6601537900049,478.4217927202092,459.6601537900049,478.4217927202092
2024-01-12,1,450.580018273027,468.97103942702813,450.580018273027,468.97103942702813
2024-01-15,1,447.382827409059,465.64335097677576,447.382827409059,465.64335097677576
2024-01-16,0,452.31880704760664,470.7807991719988,452.31880704760664,470.7807991719988
2024-01-17,1,445.8257164552836,464.0226844738666,445.8257164552836,464.0226844738666
2024-01-18,0,432.1922765048687,449.8327775867001,432.1922765048687,449.8327775867001
2024-01-19,0,431.5808273507411,449.1963713242407,431.5808273507411,449.1963713242407
2024-01-22,0,427.2534653014692,444.6923822525496,427.2534653014692,444.6923822525496
2024-01-23,1,410.9529322280902,427.7265212986245,410.9529322280902,427.7265212986245
2024-01-24,1,409.7825418852822,426.50835992141623,409.7825418852822,426.50835992141623
2024-01-25,1,409.37887246146676,426.0882141945878,409.37887246146676,426.0882141945878
2024-01-26,1,406.0277609145469,422.6003225845284,406.0277609145469,422.6003225845284
2024-01-29,0,416.7020184942916,433.71026414711986,416.7020184942916,433.71026414711986
2024-01-30,1,402.6807978122768,419.11674874339013,402.6807978122768,419.11674874339013
2024-01-31,1,399.6657783272382,415.97866723855407,399.6657783272382,415.97866723855407
2024-02-01,1,403.9679106798782,420.4563968300773,403.9679106798782,420.4563968300773
2024-02-02,1,414.8515493033268,431.7842656014218,414.8515493033268,431.7842656014218
2024-02-05,1,412.2666693856601,429.0938803809932,412.2666693856601,429.0938803809932
2024-02-06,0,417.2414667003522,434.27173064730533,417.2414667003522,434.27173064730533
2024-02-07,-1,425.0194058270437,442.3671366771271,425.0194058270437,442.3671366771271
2024-02-08,0,423.19009341345685,440.46315845074076,423.19009341345685,440.46315845074076
2024-02-09,-1,436.3753392572409,454.1865775942711,436.3753392572409,454.1865775942711
2024-02-12,0,423.23796771703115,440.5129868075223,423.23796771703115,440.5129868075223
2024-02-13,0,428.6461006148963,446.14185982366763,428.6461006148963,446.14185982366763
2024-02-14,1,425.46913627297073,442.83522346778585,425.46913627297073,442.83522346778585
2024-02-15,1,430.9733810767606,448.5641313247917,430.9733810767606,448.5641313247917
2024-02-16,-1,426.92961245981263,444.3553109275601,426.92961245981263,444.3553109275601
2024-02-19,1,428.39787176056467,445.88349917936324,428.39787176056467,445.88349917936324
2024-02-20,1,426.18366151647854,443.5789130069471,426.18366151647854,443.5789130069471
2024-02-21,1,420.7744625239766,437.94893038209807,420.7744625239766,437.94893038209807
2024-02-22,1,426.63770976787873,444.0514938400371,426.63770976787873,444.0514938400371
2024-02-23,1,423.34970189625926,440.62928156549435,423.34970189625926,440.62928156549435
