日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2022-05-18,1,420.8119940185547,437.98799377441406,420.8119940185547,437.98799377441406
2022-05-19,1,414.47139282226567,431.38859252929694,414.47139282226567,431.38859252929694
2022-05-20,1,408.10139282226567,424.75859252929695,408.10139282226567,424.75859252929695
2022-05-23,1,420.8904107666016,438.0696112060547,420.8904107666016,438.0696112060547
2022-05-24,1,428.95579162597653,446.4641912841797,428.95579162597653,446.4641912841797
2022-05-25,1,431.30778564453124,448.91218505859376,431.30778564453124,448.91218505859376
2022-05-26,1,455.6901904296875,474.2897900390625,455.6901904296875,474.2897900390625
2022-05-27,-1,461.34480957031246,480.17520996093754,461.34480957031246,480.17520996093754
2022-05-31,1,456.8956011962891,475.5444012451172,456.8956011962891,475.5444012451172
2022-06-01,1,447.8501904296875,466.1297900390625,447.8501904296875,466.1297900390625
2022-06-02,-1,477.85778564453125,497.36218505859375,477.85778564453125,497.36218505859375
2022-06-03,1,466.72499999999997,485.77500000000003,466.72499999999997,485.77500000000003
2022-06-06,1,463.0206011962891,481.9194012451172,463.0206011962891,481.9194012451172
2022-06-07,1,462.34439880371093,481.2155987548828,462.34439880371093,481.2155987548828
2022-06-08,1,458.6301904296875,477.3497900390625,458.6301904296875,477.3497900390625
2022-06-09,1,462.60898803710944,481.4909875488282,462.60898803710944,481.4909875488282
2022-06-10,1,454.0437976074219,472.5761975097656,454.0437976074219,472.5761975097656
2022-06-13,1,443.205,461.295,443.205,461.295
2022-06-14,1,445.7039880371094,463.8959875488282,445.7039880371094,463.8959875488282
2022-06-15,1,449.6142083740234,467.96580871582034,449.6142083740234,467.96580871582034
2022-06-16,1,442.7248095703125,460.7952099609375,442.7248095703125,460.7952099609375
2022-06-17,1,437.7562023925782,455.6238024902344,437.7562023925782,455.6238024902344
2022-06-21,1,453.84778564453126,472.37218505859374,453.84778564453126,472.37218505859374
2022-06-22,1,450.76079162597654,469.1591912841797,450.76079162597654,469.1591912841797
2022-06-23,1,465.5,484.5,465.5,484.5
2022-06-24,1,474.68259521484373,494.05739501953127,474.68259521484373,494.05739501953127
2022-06-27,1,472.115,491.385,472.115,491.385
2022-06-28,1,459.23778564453124,477.98218505859376,459.23778564453124,477.98218505859376
2022-06-29,1,460.4431964111328,479.23679626464843,460.4431964111328,479.23679626464843
2022-06-30,1,469.69439880371095,488.8655987548828,469.69439880371095,488.8655987548828
2022-07-01,-1,476.0448095703125,495.4752099609375,476.0448095703125,495.4752099609375
2022-07-05,1,478.4948095703125,498.0252099609375,478.4948095703125,498.0252099609375
2022-07-06,1,482.7969940185547,502.50299377441405,482.7969940185547,502.50299377441405
2022-07-07,1,485.0510119628907,504.8490124511719,485.0510119628907,504.8490124511719
2022-07-08,1,491.50920837402344,511.5708087158203,491.50920837402344,511.5708087158203
2022-07-11,1,488.9219940185547,508.87799377441405,488.9219940185547,508.87799377441405
2022-07-12,1,480.7586071777344,500.3814074707032,480.7586071777344,500.3814074707032
2022-07-13,1,482.37560119628904,502.0644012451172,482.37560119628904,502.0644012451172
2022-07-14,-1,501.7012023925782,522.1788024902345,501.7012023925782,522.1788024902345
2022-07-15,1,512.4910119628906,533.4090124511719,512.4910119628906,533.4090124511719
2022-07-18,-1,505.9739880371094,526.6259875488281,505.9739880371094,526.6259875488281
2022-07-19,1,509.825380859375,530.634580078125,509.825380859375,530.634580078125
2022-07-20,1,513.7160119628907,534.6840124511718,513.7160119628907,534.6840124511718
2022-07-21,1,518.8708215332031,540.0492224121094,518.8708215332031,540.0492224121094
