日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2015-08-27,1,137.4058,143.0142,137.4058,143.0142
2015-08-28,1,137.151,142.749,137.151,142.749
2015-08-31,1,137.24901,142.851,137.24901,142.851
2015-09-01,1,135.53401,141.066,135.53401,141.066
2015-09-02,1,137.6116,143.2284,137.6116,143.2284
2015-09-03,1,137.6704,143.2896,137.6704,143.2896
2015-09-04,1,135.7104,141.24959,135.7104,141.24959
2015-09-08,1,138.6014,144.25859,138.6014,144.25859
2015-09-09,1,136.8864,142.47359,136.8864,142.47359
2015-09-10,1,137.2098,142.8102,137.2098,142.8102
2015-09-11,1,138.229,143.871,138.229,143.871
2015-09-14,1,138.327,143.97299,138.327,143.97299
2015-09-15,1,139.58139,145.2786,139.58139,145.2786
2015-09-16,1,140.73781,146.4822,140.73781,146.4822
2015-09-17,1,140.483,146.21701,140.483,146.21701
2015-09-18,1,138.9738,144.6462,138.9738,144.6462
2015-09-21,1,140.34581,146.0742,140.34581,146.0742
2015-09-22,1,139.797,145.50299,139.797,145.50299
2015-09-23,1,142.5214,148.3386,142.5214,148.3386
2015-09-24,1,141.9726,147.7674,141.9726,147.7674
2015-09-25,1,142.639,148.461,142.639,148.461
2015-09-28,1,140.679,146.421,140.679,146.421
2015-09-29,1,140.8456,146.5944,140.8456,146.5944
2015-09-30,1,141.6786,147.46141,141.6786,147.46141
2015-10-01,0,141.66881,147.45119,141.66881,147.45119
2015-10-02,0,142.94281,148.77719,142.94281,148.77719
2015-10-05,0,145.10861,151.0314,145.10861,151.0314
2015-10-06,0,145.4418,151.3782,145.4418,151.3782
2015-10-07,0,145.00081,150.9192,145.00081,150.9192
2015-10-08,0,148.6268,154.6932,148.6268,154.6932
2015-10-09,0,150.89061,157.0494,150.89061,157.0494
2015-10-12,0,150.5574,156.7026,150.5574,156.7026
2015-10-13,0,149.2344,155.32559,149.2344,155.32559
2015-10-14,0,146.8432,152.83679,146.8432,152.83679
2015-10-15,0,148.7346,154.8054,148.7346,154.8054
2015-10-16,0,149.0188,155.1012,149.0188,155.1012
2015-10-19,0,150.15561,156.2844,150.15561,156.2844
2015-10-20,0,151.4688,157.6512,151.4688,157.6512
2015-10-21,0,152.1058,158.31421,152.1058,158.31421
2015-10-22,0,154.987,161.31299,154.987,161.31299
2015-10-23,0,152.62521,158.8548,152.62521,158.8548
2015-10-26,0,153.5954,159.8646,153.5954,159.8646
2015-10-27,0,154.6048,160.91519,154.6048,160.91519
2015-10-28,0,154.6048,160.91519,154.6048,160.91519
2015-10-29,0,155.1144,161.4456,155.1144,161.4456
2015-10-30,0,154.9576,161.2824,154.9576,161.2824
2015-11-02,0,155.967,162.333,155.967,162.333
2015-11-03,0,155.62401,161.976,155.62401,161.976
2015-11-04,1,154.007,160.29298,154.007,160.29298
2015-11-05,1,153.1446,159.3954,153.1446,159.3954
2015-11-06,1,154.399,160.701,154.399,160.701
2015-11-09,1,152.05681,158.2632,152.05681,158.2632
2015-11-10,1,153.2818,159.53821,153.2818,159.53821
2015-11-11,1,153.2622,159.51779,153.2622,159.51779
2015-11-12,1,152.88,159.12,152.88,159.12
2015-11-13,1,150.5966,156.7434,150.5966,156.7434
2015-11-16,1,153.321,159.579,153.321,159.579
2015-11-17,1,155.7122,162.0678,155.7122,162.0678
2015-11-18,1,158.02501,164.47499,158.02501,164.47499
2015-11-19,1,159.57341,166.0866,159.57341,166.0866
2015-11-20,1,159.83801,166.362,159.83801,166.362
2015-11-23,1,160.181,166.719,160.181,166.719
2015-11-24,1,158.94621,165.43379,158.94621,165.43379
2015-11-25,1,159.1422,165.6378,159.1422,165.6378
2015-11-27,0,160.30841,166.8516,160.30841,166.8516
2015-11-30,0,158.1916,164.64839,158.1916,164.64839
2015-12-01,1,158.0642,164.5158,158.0642,164.5158
2015-12-02,0,157.8682,164.3118,157.8682,164.3118
2015-12-03,0,160.3966,166.94339,160.3966,166.94339
2015-12-04,0,163.464,170.136,163.464,170.136
2015-12-07,0,163.7776,170.46239,163.7776,170.46239
2015-12-08,0,165.4926,172.24739,165.4926,172.24739
2015-12-09,0,156.5256,162.9144,156.5256,162.9144
2015-12-10,0,158.6228,165.0972,158.6228,165.0972
2015-12-11,0,156.81961,163.2204,156.81961,163.2204
2015-12-14,0,158.6032,165.0768,158.6032,165.0768
2015-12-15,0,158.0642,164.5158,158.0642,164.5158
2015-12-16,0,159.50479,166.0152,159.50479,166.0152
2015-12-17,0,157.4664,163.89359,157.4664,163.89359
2015-12-18,0,154.546,160.85399,154.546,160.85399
2015-12-21,0,156.20221,162.57779,156.20221,162.57779
2015-12-22,0,158.0054,164.45459,158.0054,164.45459
2015-12-23,0,158.47581,164.9442,158.47581,164.9442
2015-12-24,1,158.515,164.985,158.515,164.985
2015-12-28,0,157.93681,164.3832,157.93681,164.3832
2015-12-29,0,159.4068,165.91321,159.4068,165.91321
2015-12-30,1,159.45581,165.9642,159.45581,165.9642
2015-12-31,0,158.27,164.73,158.27,164.73
2016-01-04,0,156.3492,162.73079,156.3492,162.73079
2016-01-05,0,156.7314,163.12859,156.7314,163.12859
2016-01-06,0,155.281,161.61899,155.281,161.61899
2016-01-07,1,151.72362,157.9164,151.72362,157.9164
2016-01-08,0,149.06781,155.15219,149.06781,155.15219
2016-01-11,0,151.62561,157.81439,151.62561,157.81439
2016-01-12,0,152.9388,159.1812,152.9388,159.1812
2016-01-13,1,149.07759,155.1624,149.07759,155.1624
2016-01-14,0,150.1164,156.24359,150.1164,156.24359
2016-01-15,1,147.3822,153.3978,147.3822,153.3978
2016-01-19,0,147.4606,153.4794,147.4606,153.4794
2016-01-20,0,145.84361,151.7964,145.84361,151.7964
2016-01-21,0,147.3724,153.3876,147.3724,153.3876
2016-01-22,0,150.61621,156.7638,150.61621,156.7638
2016-01-25,0,147.7644,153.7956,147.7644,153.7956
2016-01-26,0,145.53,151.47,145.53,151.47
2016-01-27,0,144.7754,150.68459,144.7754,150.68459
2016-01-28,0,146.5982,152.58179,146.5982,152.58179
2016-01-29,0,148.0976,154.1424,148.0976,154.1424
2016-02-01,0,148.225,154.275,148.225,154.275
2016-02-02,0,145.53,151.47,145.53,151.47
2016-02-03,0,143.766,149.63399,143.766,149.63399
2016-02-04,0,140.4144,146.1456,140.4144,146.1456
2016-02-05,0,141.11021,146.8698,141.11021,146.8698
2016-02-08,0,144.0796,149.9604,144.0796,149.9604
2016-02-09,1,144.9812,150.8988,144.9812,150.8988
2016-02-10,1,145.089,151.011,145.089,151.011
2016-02-11,0,143.717,149.583,143.717,149.583
2016-02-12,0,145.677,151.62299,145.677,151.62299
2016-02-16,0,146.1278,152.0922,146.1278,152.0922
2016-02-17,0,147.8918,153.9282,147.8918,153.9282
2016-02-18,0,145.677,151.62299,145.677,151.62299
2016-02-19,0,145.726,151.674,145.726,151.674
2016-02-22,0,147.0588,153.06119,147.0588,153.06119
2016-02-23,0,147.3528,153.3672,147.3528,153.3672
2016-02-24,1,150.7926,156.94739,150.7926,156.94739
2016-02-25,0,151.62561,157.81439,151.62561,157.81439
2016-02-26,0,146.6864,152.67358,146.6864,152.67358
2016-02-29,0,147.0294,153.0306,147.0294,153.0306
2016-03-01,0,147.50961,153.5304,147.50961,153.5304
2016-03-02,0,149.73419,155.8458,149.73419,155.8458
2016-03-03,0,148.56801,154.632,148.56801,154.632
2016-03-04,0,147.882,153.91798,147.882,153.91798
2016-03-07,0,145.2066,151.13339,145.2066,151.13339
2016-03-08,0,147.931,153.969,147.931,153.969
2016-03-09,0,149.989,156.11101,149.989,156.11101
2016-03-10,0,149.81259,155.9274,149.81259,155.9274
2016-03-11,0,149.6558,155.7642,149.6558,155.7642
2016-03-14,0,149.61661,155.72339,149.61661,155.72339
2016-03-15,0,151.09639,157.2636,151.09639,157.2636
2016-03-16,0,150.9788,157.14119,150.9788,157.14119
2016-03-17,0,150.7632,156.9168,150.7632,156.9168
2016-03-18,0,150.08699,156.213,150.08699,156.213
2016-03-21,0,150.8612,157.0188,150.8612,157.0188
2016-03-22,0,149.1854,155.2746,149.1854,155.2746
2016-03-23,0,150.4398,156.58018,150.4398,156.58018
2016-03-24,0,148.4014,154.45859,148.4014,154.45859
2016-03-28,0,149.61661,155.72339,149.61661,155.72339
2016-03-29,0,152.1548,158.36519,152.1548,158.36519
2016-03-30,0,154.44801,160.752,154.44801,160.752
2016-03-31,1,154.4284,160.7316,154.4284,160.7316
2016-04-01,0,155.085,161.415,155.085,161.415
2016-04-04,0,154.5754,160.8846,154.5754,160.8846
2016-04-05,0,152.87021,159.1098,152.87021,159.1098
2016-04-06,1,153.63461,159.9054,153.63461,159.9054
2016-04-07,0,148.9894,155.0706,148.9894,155.0706
2016-04-08,1,148.617,154.68298,148.617,154.68298
2016-04-11,0,146.069,152.031,146.069,152.031
2016-04-12,0,147.50961,153.5304,147.50961,153.5304
2016-04-13,1,148.8424,154.9176,148.8424,154.9176
2016-04-14,0,148.372,154.428,148.372,154.428
2016-04-15,1,150.1066,156.2334,150.1066,156.2334
2016-04-18,0,150.23401,156.366,150.23401,156.366
2016-04-19,0,150.6064,156.75359,150.6064,156.75359
2016-04-20,0,149.68521,155.7948,149.68521,155.7948
2016-04-21,0,148.3916,154.4484,148.3916,154.4484
2016-04-22,0,146.9216,152.9184,146.9216,152.9184
2016-04-25,0,148.4798,154.54019,148.4798,154.54019
2016-04-26,0,149.548,155.65201,149.548,155.65201
2016-04-27,0,148.7346,154.8054,148.7346,154.8054
2016-04-28,0,148.41121,154.4688,148.41121,154.4688
