日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2022-01-10,0,98.0,102.0,98.0,102.0
2022-01-11,0,98.0,102.0,98.0,102.0
2022-01-12,0,98.0,102.0,98.0,102.0
2022-01-13,0,98.0,102.0,98.0,102.0
2022-01-14,0,97.79968651902516,101.79151045857722,97.79968651902516,101.79151045857722
2022-01-17,-1,97.25997017861394,101.22976487978187,97.25997017861394,101.22976487978187
2022-01-18,0,97.23037834743634,101.19896521876028,97.23037834743634,101.19896521876028
2022-01-19,1,98.73613560060346,102.76618195164849,98.73613560060346,102.76618195164849
2022-01-20,-1,96.67599006714147,100.62194884539215,96.67599006714147,100.62194884539215
2022-01-21,0,97.12870071494729,101.09313747882268,97.12870071494729,101.09313747882268
2022-01-24,1,98.02009524515942,102.02091545924758,98.02009524515942,102.02091545924758
2022-01-25,1,100.30615939995208,104.40028835505215,100.30615939995208,104.40028835505215
2022-01-26,-1,99.51572865390955,103.57759512957932,99.51572865390955,103.57759512957932
2022-01-27,0,99.8660852229079,103.94225196670006,99.8660852229079,103.94225196670006
2022-01-28,1,100.96756171724522,105.08868668529604,100.96756171724522,105.08868668529604
2022-01-31,0,101.41834744540255,105.55787183092919,101.41834744540255,105.55787183092919
2022-02-01,0,101.42509442167447,105.56489419398771,101.42509442167447,105.56489419398771
2022-02-02,1,104.62749069838252,108.8980005228063,104.62749069838252,108.8980005228063
2022-02-03,1,105.53748923278809,109.84514185453455,105.53748923278809,109.84514185453455
2022-02-04,0,105.58564764849982,109.89526591986717,105.58564764849982,109.89526591986717
2022-02-07,-1,104.16706690085448,108.4187839172159,104.16706690085448,108.4187839172159
2022-02-08,1,107.28024159865195,111.65902697002552,107.28024159865195,111.65902697002552
2022-02-09,0,107.00190317882712,111.3693277983711,107.00190317882712,111.3693277983711
2022-02-10,1,109.64538673866502,114.12070864636564,109.64538673866502,114.12070864636564
2022-02-11,1,111.19099083572081,115.7293986249339,111.19099083572081,115.7293986249339
2022-02-14,0,111.39719469919527,115.94401897263182,111.39719469919527,115.94401897263182
2022-02-15,0,111.94477372318022,116.51394816086105,111.94477372318022,116.51394816086105
2022-02-16,1,114.86398228420055,119.55230809171894,114.86398228420055,119.55230809171894
2022-02-17,1,116.35308646168198,121.10219203154656,116.35308646168198,121.10219203154656
2022-02-18,1,121.03435825745544,125.97453614551486,121.03435825745544,125.97453614551486
2022-02-21,1,121.91289535627985,126.88893190143412,121.91289535627985,126.88893190143412
2022-02-22,-1,120.0466203889821,124.94648244567524,120.0466203889821,124.94648244567524
2022-02-23,-1,116.92730882384564,121.69985204114545,116.92730882384564,121.69985204114545
2022-02-24,-1,115.51732781761683,120.23232078976446,115.51732781761683,120.23232078976446
2022-02-25,1,117.09161424363262,121.8708638045972,117.09161424363262,121.8708638045972
2022-02-28,1,118.90291201017659,123.75609209222462,118.90291201017659,123.75609209222462
2022-03-01,0,118.51226112574658,123.34949627373625,118.51226112574658,123.34949627373625
2022-03-02,1,120.05360741322835,124.9537546545846,120.05360741322835,124.9537546545846
2022-03-03,1,121.23828701294,126.18678852367226,121.23828701294,126.18678852367226
2022-03-04,0,121.71424922745828,126.68217776735455,121.71424922745828,126.68217776735455
2022-03-07,-1,119.78865111556914,124.67798381416381,119.78865111556914,124.67798381416381
2022-03-08,-1,117.32131364733728,122.10993869416738,117.32131364733728,122.10993869416738
2022-03-09,-1,116.72952289220387,121.49399321433464,116.72952289220387,121.49399321433464
2022-03-10,1,117.42929819626973,122.22233077570932,117.42929819626973,122.22233077570932
2022-03-11,1,118.22533223192248,123.05085599649074,118.22533223192248,123.05085599649074
2022-03-14,0,118.68159463569633,123.52574135552068,118.68159463569633,123.52574135552068
2022-03-15,0,119.08927767534415,123.95006451923574,119.08927767534415,123.95006451923574
2022-03-16,1,121.35253951172186,126.30570438975133,121.35253951172186,126.30570438975133
2022-03-17,-1,120.69744610955019,125.62387248136855,120.69744610955019,125.62387248136855
2022-03-18,0,120.73680931208013,125.66484234522626,120.73680931208013,125.66484234522626
2022-03-21,1,121.6336634898532,126.59830281596967,121.6336634898532,126.59830281596967
2022-03-22,-1,116.98580597152507,121.76073682750568,116.98580597152507,121.76073682750568
2022-03-23,-1,114.09742816562421,118.7544660499354,114.09742816562421,118.7544660499354
2022-03-24,1,115.81975819504659,120.54709526423217,115.81975819504659,120.54709526423217
2022-03-25,1,117.45689727285871,122.2510563452203,117.45689727285871,122.2510563452203
2022-03-28,-1,116.66600024433953,121.42787780533297,116.66600024433953,121.42787780533297
2022-03-29,-1,110.37275172027907,114.87776199457619,110.37275172027907,114.87776199457619
2022-03-30,1,111.5716516441657,116.12559660923368,111.5716516441657,116.12559660923368
2022-03-31,1,112.77093106058562,117.37382620591565,112.77093106058562,117.37382620591565
2022-04-01,1,113.90856143494736,118.55789047310847,113.90856143494736,118.55789047310847
2022-04-04,1,117.03785690187358,121.81491228562352,117.03785690187358,121.81491228562352
2022-04-05,0,117.10529117648453,121.88509897960635,117.10529117648453,121.88509897960635
2022-04-06,0,117.20608745099238,121.9900093877676,117.20608745099238,121.9900093877676
2022-04-07,-1,115.50031704143582,120.21461569618832,115.50031704143582,120.21461569618832
2022-04-08,1,117.36166688614013,122.15193900394176,117.36166688614013,122.15193900394176
2022-04-11,0,117.08535858994524,121.86435281810627,117.08535858994524,121.86435281810627
2022-04-12,0,116.92140159624581,121.69370370221505,116.92140159624581,121.69370370221505
2022-04-13,-1,116.02760102572077,120.76342147575019,116.02760102572077,120.76342147575019
2022-04-14,-1,114.18909219646496,118.84987146979005,114.18909219646496,118.84987146979005
2022-04-15,-1,112.8853953632806,117.49296252096553,112.8853953632806,117.49296252096553
2022-04-18,1,114.84509758716011,119.53265259071766,114.84509758716011,119.53265259071766
2022-04-19,0,115.37260945078074,120.08169555081261,115.37260945078074,120.08169555081261
2022-04-20,-1,113.69030334190697,118.3307238864746,113.69030334190697,118.3307238864746
2022-04-21,1,114.54518053893779,119.22049403032301,114.54518053893779,119.22049403032301
2022-04-22,1,117.68331127246473,122.48671173256535,117.68331127246473,122.48671173256535
2022-04-25,0,117.46933708155755,122.26400390121297,117.46933708155755,122.26400390121297
2022-04-26,0,117.62814732663817,122.4292961971132,117.62814732663817,122.4292961971132
2022-04-27,0,117.12043447336207,121.90086037023399,117.12043447336207,121.90086037023399
2022-04-28,0,117.66869526160411,122.47149914983285,117.66869526160411,122.47149914983285
2022-04-29,0,118.16066492989196,122.98354921274469,118.16066492989196,122.98354921274469
2022-05-02,1,118.88021298711098,123.73246657842162,118.88021298711098,123.73246657842162
2022-05-03,-1,118.236682808606,123.0626698620185,118.236682808606,123.0626698620185
2022-05-04,-1,115.59568065453288,120.31387170165667,115.59568065453288,120.31387170165667
2022-05-05,0,115.54192658577412,120.25792358927512,115.54192658577412,120.25792358927512
2022-05-06,1,116.35812654944539,121.10743783717786,116.35812654944539,121.10743783717786
2022-05-09,1,119.58963224865316,124.47084172819002,119.58963224865316,124.47084172819002
2022-05-10,0,120.1855782758069,125.0911120829827,120.1855782758069,125.0911120829827
2022-05-11,-1,119.02182472112973,123.87985838321667,119.02182472112973,123.87985838321667
2022-05-12,1,120.20091427352254,125.10707403978877,120.20091427352254,125.10707403978877
2022-05-13,1,121.6608433276423,126.626592034893,121.6608433276423,126.626592034893
2022-05-16,0,121.99953546789547,126.97910834413611,121.99953546789547,126.97910834413611
2022-05-17,1,125.61565358241108,130.74282311638706,125.61565358241108,130.74282311638706
2022-05-18,1,126.52991959684886,131.69440611100595,126.52991959684886,131.69440611100595
2022-05-19,1,129.52349278761702,134.81016596262182,129.52349278761702,134.81016596262182
2022-05-20,-1,128.10937636820017,133.33833050567773,128.10937636820017,133.33833050567773
2022-05-23,1,129.83567999612814,135.1350955061742,129.83567999612814,135.1350955061742
2022-05-24,-1,129.12294119288583,134.3932653232077,129.12294119288583,134.3932653232077
2022-05-25,0,128.7083223959672,133.96172331008833,128.7083223959672,133.96172331008833
2022-05-26,1,129.7648116164232,135.06133453954251,129.7648116164232,135.06133453954251
2022-05-27,-1,129.0315640389421,134.29815848951117,129.0315640389421,134.29815848951117
2022-05-30,-1,126.29744218145963,131.45243982151922,126.29744218145963,131.45243982151922
2022-05-31,-1,125.61063691428564,130.7376016862973,125.61063691428564,130.7376016862973
2022-06-01,1,128.229770567185,133.4636387536007,128.229770567185,133.4636387536007
2022-06-02,-1,126.39212863557917,131.5509910288681,126.39212863557917,131.5509910288681
2022-06-03,0,126.22853463865164,131.38071972594355,126.22853463865164,131.38071972594355
2022-06-06,-1,125.48481287215223,130.60664196897477,125.48481287215223,130.60664196897477
2022-06-07,0,125.76368554778118,130.89689720279267,125.76368554778118,130.89689720279267
2022-06-08,-1,122.76625221116028,127.7771196483505,122.76625221116028,127.7771196483505
2022-06-09,0,122.38118364630805,127.37633399921859,122.38118364630805,127.37633399921859
2022-06-10,0,122.10937787864937,127.09343411859423,122.10937787864937,127.09343411859423
2022-06-13,-1,120.18869596829006,125.09435702822029,120.18869596829006,125.09435702822029
