日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
1970-01-01 00:00:00.000012595,0,98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012596,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012597,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012598,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012599,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012600,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012601,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012602,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012603,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012604,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012605,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012606,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012607,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012608,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012609,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012610,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012611,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012612,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012613,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012614,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012615,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012616,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012617,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012618,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012619,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012620,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012621,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012622,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012623,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012624,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012625,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012626,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012627,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012628,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012629,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012630,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012631,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012632,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012633,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012634,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012635,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012636,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012637,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012638,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012639,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012640,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012641,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012642,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012643,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012644,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012645,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012646,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012647,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012648,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012649,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012650,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012651,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012652,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012653,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012654,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012655,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012656,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012657,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012658,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012659,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012660,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012661,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012662,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012663,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012664,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012665,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012666,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012667,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012668,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012669,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012670,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012671,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012672,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012673,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012674,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012675,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012676,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012677,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012678,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012679,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012680,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012681,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012682,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012683,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012684,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012685,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012686,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012687,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012688,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012689,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012690,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012691,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012692,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012693,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012694,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012695,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012696,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012697,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012698,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012699,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012700,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012701,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012702,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012703,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000012704,[-1.],98.0,102.0,98.0,102.0
