日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-26,1,302.1747517898293,314.50841512818965,302.1747517898293,314.50841512818965
2023-12-27,1,300.8656494379143,313.14588002721695,300.8656494379143,313.14588002721695
2023-12-28,0,302.8650140753071,315.2268513845033,302.8650140753071,315.2268513845033
2023-12-29,1,301.8100405660293,314.1288177319896,301.8100405660293,314.1288177319896
2024-01-01,1,295.6580002114615,307.72567368948035,295.6580002114615,307.72567368948035
2024-01-02,1,290.213719523054,302.05917746277055,290.213719523054,302.05917746277055
2024-01-03,-1,294.06002291025453,306.0624728249588,294.06002291025453,306.0624728249588
2024-01-04,0,297.4755109454607,309.6173685350713,297.4755109454607,309.6173685350713
2024-01-05,0,295.34779308492324,307.40280504757317,295.34779308492324,307.40280504757317
2024-01-08,-1,293.96454127021593,305.96309397512266,293.96454127021593,305.96309397512266
2024-01-09,0,294.66224510136755,306.6892755136683,294.66224510136755,306.6892755136683
2024-01-10,-1,298.44750133499986,310.6290320017346,298.44750133499986,310.6290320017346
2024-01-11,-1,303.177752625473,315.5523547734515,303.177752625473,315.5523547734515
2024-01-12,0,307.96028680327885,320.5300944279025,307.96028680327885,320.5300944279025
2024-01-15,-1,309.4419562369929,322.0722401650334,309.4419562369929,322.0722401650334
2024-01-16,0,311.77239400107925,324.49779783785806,311.77239400107925,324.49779783785806
2024-01-17,1,315.7053708183009,328.59130432108867,315.7053708183009,328.59130432108867
2024-01-18,1,318.37998194141966,331.3750832451511,318.37998194141966,331.3750832451511
2024-01-19,1,312.2390664979091,324.98351819170136,312.2390664979091,324.98351819170136
2024-01-22,1,308.9124609321658,321.5211328069481,308.9124609321658,321.5211328069481
2024-01-23,-1,311.3005712374128,324.00671700220516,311.3005712374128,324.00671700220516
2024-01-24,1,312.5454295933167,325.302385903248,312.5454295933167,325.302385903248
2024-01-25,1,312.5597179727971,325.3172574818909,312.5597179727971,325.3172574818909
2024-01-26,1,307.63145746733875,320.1878434864138,307.63145746733875,320.1878434864138
2024-01-29,0,305.69237534202534,318.16961515190394,305.69237534202534,318.16961515190394
2024-01-30,1,295.58759346869476,307.65239320211094,295.58759346869476,307.65239320211094
2024-01-31,1,293.99713572919296,305.9970188201805,293.99713572919296,305.9970188201805
2024-02-01,1,299.7012709031633,311.9339758379863,299.7012709031633,311.9339758379863
2024-02-02,0,304.82035201033915,317.2619990311693,304.82035201033915,317.2619990311693
2024-02-05,0,304.8935488127995,317.3381834582199,304.8935488127995,317.3381834582199
2024-02-06,0,302.88470815084634,315.2473492998605,302.88470815084634,315.2473492998605
2024-02-07,1,294.7367500778421,306.7668215095907,294.7367500778421,306.7668215095907
2024-02-08,1,294.25263303154935,306.2629445838575,294.25263303154935,306.2629445838575
2024-02-09,1,290.3695613153245,302.2213801445215,290.3695613153245,302.2213801445215
2024-02-12,-1,297.27178620635254,309.4053285004894,297.27178620635254,309.4053285004894
2024-02-13,0,295.52192221458347,307.58404148864815,295.52192221458347,307.58404148864815
2024-02-14,0,298.0975531711493,310.26480023935943,298.0975531711493,310.26480023935943
2024-02-15,0,302.9266791291223,315.2910333792906,302.9266791291223,315.2910333792906
2024-02-16,0,305.9908628536439,318.48028582726204,305.9908628536439,318.48028582726204
2024-02-19,0,309.6301903642785,322.2681573179226,309.6301903642785,322.2681573179226
2024-02-20,0,316.16144425950927,329.06599300479536,316.16144425950927,329.06599300479536
2024-02-21,1,310.43623623418205,323.10710301925076,310.43623623418205,323.10710301925076
