日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-19,0,43.28895,45.055843,43.28895,45.055843
2023-12-20,0,43.438667,45.21167,43.438667,45.21167
2023-12-21,0,44.440594,46.254498,44.440594,46.254498
2023-12-22,0,44.03402,45.83132,44.03402,45.83132
2023-12-25,0,44.863213,46.69436,44.863213,46.69436
2023-12-26,0,45.545437,47.40443,45.545437,47.40443
2023-12-27,0,44.986713,46.822903,44.986713,46.822903
2023-12-28,0,44.506756,46.323353,44.506756,46.323353
2023-12-29,0,44.186764,45.990307,44.186764,45.990307
2024-01-01,0,44.21522,46.019924,44.21522,46.019924
2024-01-02,0,43.856174,45.64622,43.856174,45.64622
2024-01-03,0,44.573795,46.39313,44.573795,46.39313
2024-01-04,0,44.91019,46.74326,44.91019,46.74326
2024-01-05,0,44.578583,46.398117,44.578583,46.398117
2024-01-08,0,45.510593,47.368168,45.510593,47.368168
2024-01-09,0,46.442493,48.3381,46.442493,48.3381
2024-01-10,0,46.47534,48.37229,46.47534,48.37229
2024-01-11,0,45.299854,47.148823,45.299854,47.148823
2024-01-12,0,44.8194,46.64876,44.8194,46.64876
2024-01-15,0,44.957092,46.792076,44.957092,46.792076
2024-01-16,-1,45.353745,47.204918,45.353745,47.204918
2024-01-17,-1,46.549633,48.44962,46.549633,48.44962
2024-01-18,-1,46.653244,48.557457,46.653244,48.557457
2024-01-19,-1,46.46912,48.365818,46.46912,48.365818
2024-01-22,-1,47.159676,49.084557,47.159676,49.084557
2024-01-23,-1,48.128983,50.09343,48.128983,50.09343
2024-01-24,-1,46.632553,48.53592,46.632553,48.53592
2024-01-25,-1,46.53753,48.43702,46.53753,48.43702
2024-01-26,-1,46.509933,48.408295,46.509933,48.408295
2024-01-29,-1,47.24582,49.174217,47.24582,49.174217
2024-01-30,-1,47.2143,49.141407,47.2143,49.141407
2024-01-31,-1,46.250435,48.138206,46.250435,48.138206
2024-02-01,-1,46.552418,48.45252,46.552418,48.45252
2024-02-02,-1,46.340557,48.232006,46.340557,48.232006
2024-02-05,-1,46.86219,48.774933,46.86219,48.774933
2024-02-06,-1,47.65276,49.597767,47.65276,49.597767
2024-02-07,-1,47.55517,49.496193,47.55517,49.496193
2024-02-08,-1,47.48033,49.418304,47.48033,49.418304
2024-02-09,-1,46.573013,48.473953,46.573013,48.473953
2024-02-12,-1,46.08999,47.971214,46.08999,47.971214
2024-02-13,-1,45.641144,47.504044,45.641144,47.504044
2024-02-14,-1,46.14475,48.02821,46.14475,48.02821
2024-02-15,-1,44.987244,46.823456,44.987244,46.823456
2024-02-16,-1,46.01642,47.894638,46.01642,47.894638
2024-02-19,-1,45.809734,47.679516,45.809734,47.679516
2024-02-20,-1,46.048912,47.92846,46.048912,47.92846
2024-02-21,-1,46.68885,48.594513,46.68885,48.594513
2024-02-22,-1,47.913986,49.86966,47.913986,49.86966
2024-02-23,-1,49.225815,51.23503,49.225815,51.23503
2024-02-26,-1,48.576855,50.55958,48.576855,50.55958
2024-02-27,-1,46.94201,48.85801,46.94201,48.85801
2024-02-28,-1,47.96333,49.921017,47.96333,49.921017
2024-02-29,-1,47.81696,49.768673,47.81696,49.768673
2024-03-01,-1,47.4216,49.357178,47.4216,49.357178
2024-03-04,-1,47.155487,49.0802,47.155487,49.0802
2024-03-05,-1,47.243916,49.172237,47.243916,49.172237
2024-03-06,-1,47.098167,49.02054,47.098167,49.02054
2024-03-07,-1,47.46961,49.40714,47.46961,49.40714
2024-03-08,-1,47.111813,49.03474,47.111813,49.03474
2024-03-11,-1,46.22178,48.108383,46.22178,48.108383
2024-03-12,-1,46.758183,48.666676,46.758183,48.666676
2024-03-13,-1,46.117607,47.999954,46.117607,47.999954
2024-03-14,-1,48.169678,50.135788,48.169678,50.135788
2024-03-15,-1,48.432384,50.409214,48.432384,50.409214
2024-03-18,-1,49.17209,51.179108,49.17209,51.179108
2024-03-19,-1,48.27429,50.244663,48.27429,50.244663
2024-03-20,-1,48.615265,50.599556,48.615265,50.599556
2024-03-21,-1,47.78661,49.73708,47.78661,49.73708
2024-03-22,-1,48.30736,50.279087,48.30736,50.279087
2024-03-25,-1,47.719936,49.66769,47.719936,49.66769
2024-03-26,-1,48.209293,50.17702,48.209293,50.17702
2024-03-27,-1,45.84534,47.71658,45.84534,47.71658
2024-03-28,-1,46.372925,48.265694,46.372925,48.265694
2024-03-29,-1,47.209347,49.136257,47.209347,49.136257
2024-04-01,-1,47.218895,49.146194,47.218895,49.146194
2024-04-02,-1,47.487984,49.42627,47.487984,49.42627
2024-04-03,-1,49.014957,51.015568,49.014957,51.015568
2024-04-04,-1,50.330032,52.384315,50.330032,52.384315
2024-04-05,-1,50.68428,52.75302,50.68428,52.75302
2024-04-08,-1,51.348106,53.443947,51.348106,53.443947
2024-04-09,-1,50.812687,52.88667,50.812687,52.88667
2024-04-10,-1,50.728817,52.79938,50.728817,52.79938
2024-04-11,-1,50.94756,53.02705,50.94756,53.02705
2024-04-12,-1,52.245598,54.378067,52.245598,54.378067
2024-04-15,-1,50.636288,52.703075,50.636288,52.703075
2024-04-16,-1,51.654293,53.76263,51.654293,53.76263
2024-04-17,-1,50.97842,53.05917,50.97842,53.05917
2024-04-18,-1,52.339878,54.4762,52.339878,54.4762
2024-04-19,-1,52.191692,54.321964,52.191692,54.321964
2024-04-22,-1,51.91128,54.03011,51.91128,54.03011
2024-04-23,-1,51.282467,53.37563,51.282467,53.37563
2024-04-24,-1,50.624054,52.69034,50.624054,52.69034
2024-04-25,-1,49.95224,51.991104,49.95224,51.991104
2024-04-26,-1,48.738106,50.727417,48.738106,50.727417
2024-04-29,-1,49.138416,51.144062,49.138416,51.144062
2024-04-30,-1,49.874516,51.910206,49.874516,51.910206
2024-05-01,-1,50.122467,52.16828,50.122467,52.16828
2024-05-02,-1,50.263073,52.314625,50.263073,52.314625
2024-05-03,-1,49.395905,51.412064,49.395905,51.412064
2024-05-06,-1,49.60065,51.625164,49.60065,51.625164
2024-05-07,-1,50.30811,52.3615,50.30811,52.3615
2024-05-08,-1,50.525967,52.588245,50.525967,52.588245
2024-05-09,-1,51.605743,53.712097,51.605743,53.712097
2024-05-10,-1,51.799408,53.913666,51.799408,53.913666
2024-05-13,-1,51.761475,53.874184,51.761475,53.874184
2024-05-14,-1,50.87279,52.94923,50.87279,52.94923
2024-05-15,-1,50.857906,52.933735,50.857906,52.933735
2024-05-16,-1,51.10254,53.188354,51.10254,53.188354
2024-05-17,-1,48.657833,50.643864,48.657833,50.643864
2024-05-20,-1,49.347134,51.3613,49.347134,51.3613
2024-05-21,-1,49.409603,51.42632,49.409603,51.42632
2024-05-22,-1,48.672318,50.658943,48.672318,50.658943
2024-05-23,-1,50.086643,52.130993,50.086643,52.130993
2024-05-24,-1,49.943424,51.98193,49.943424,51.98193
2024-05-27,-1,49.280178,51.291615,49.280178,51.291615
2024-05-28,-1,50.60573,52.671265,50.60573,52.671265
2024-05-29,-1,48.787163,50.778473,48.787163,50.778473
2024-05-30,-1,48.096252,50.059364,48.096252,50.059364
2024-05-31,-1,47.908176,49.863613,47.908176,49.863613
2024-06-03,-1,48.874184,50.86905,48.874184,50.86905
2024-06-04,-1,48.75996,50.750164,48.75996,50.750164
2024-06-05,-1,48.94129,50.938896,48.94129,50.938896
2024-06-06,-1,49.452557,51.471027,49.452557,51.471027
2024-06-07,-1,49.943825,51.982346,49.943825,51.982346
2024-06-10,-1,50.021027,52.0627,50.021027,52.0627
2024-06-11,-1,49.9027,51.93954,49.9027,51.93954
2024-06-12,-1,48.648487,50.634136,48.648487,50.634136
2024-06-13,-1,48.894302,50.889984,48.894302,50.889984
2024-06-14,-1,48.015743,49.975567,48.015743,49.975567
2024-06-17,-1,47.01172,48.930565,47.01172,48.930565
2024-06-18,-1,46.33505,48.226276,46.33505,48.226276
2024-06-19,-1,46.672043,48.57702,46.672043,48.57702
2024-06-20,-1,47.439022,49.37531,47.439022,49.37531
2024-06-21,-1,47.549187,49.489967,47.549187,49.489967
2024-06-24,-1,48.434902,50.41184,48.434902,50.41184
2024-06-25,-1,47.841324,49.79403,47.841324,49.79403
2024-06-26,-1,46.387794,48.281174,46.387794,48.281174
2024-06-27,-1,44.892918,46.725277,44.892918,46.725277
2024-06-28,-1,45.167927,47.011517,45.167927,47.011517
