日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2020-03-02,1,606.50244,631.25757,606.50244,631.25757
2020-03-03,1,602.8568,627.46313,602.8568,627.46313
2020-03-04,1,632.5802,658.3998,632.5802,658.3998
2020-03-05,1,604.3366,629.00336,604.3366,629.00336
2020-03-06,1,596.4966,620.8434,596.4966,620.8434
2020-03-09,1,562.5788,585.5412,562.5788,585.5412
2020-03-10,1,598.07446,622.4856,598.07446,622.4856
2020-03-11,1,586.824,610.776,586.824,610.776
2020-03-12,1,553.8274,576.4326,553.8274,576.4326
2020-03-13,1,608.6682,633.51184,608.6682,633.51184
2020-03-16,1,531.5814,553.27856,531.5814,553.27856
2020-03-17,1,563.6764,586.6836,563.6764,586.6836
2020-03-18,1,560.6972,583.5828,560.6972,583.5828
2020-03-19,1,539.0,561.0,539.0,561.0
2020-03-20,1,496.3896,516.6504,496.3896,516.6504
2020-03-23,1,479.35724,498.9228,479.35724,498.9228
2020-03-24,1,534.9722,556.8078,534.9722,556.8078
2020-03-25,1,542.8416,564.99835,542.8416,564.99835
2020-03-26,1,575.8284,599.3316,575.8284,599.3316
2020-03-27,1,582.38464,606.1554,582.38464,606.1554
2020-03-30,1,631.9726,657.7674,631.9726,657.7674
2020-03-31,1,612.0786,637.0614,612.0786,637.0614
2020-04-01,1,583.55084,607.3692,583.55084,607.3692
2020-04-02,1,613.627,638.67303,613.627,638.67303
2020-04-03,0,612.1962,637.1838,612.1962,637.1838
2020-04-06,0,639.1756,665.26434,639.1756,665.26434
2020-04-07,0,611.1476,636.0924,611.1476,636.0924
2020-04-08,0,650.9748,677.5452,650.9748,677.5452
2020-04-09,0,673.20123,700.6788,673.20123,700.6788
2020-04-13,0,644.0462,670.3338,644.0462,670.3338
2020-04-14,0,675.11224,702.6678,675.11224,702.6678
2020-04-15,0,662.0195,689.0406,662.0195,689.0406
2020-04-16,0,669.0852,696.3948,669.0852,696.3948
2020-04-17,0,681.051,708.849,681.051,708.849
2020-04-20,0,657.335,684.165,657.335,684.165
2020-04-21,0,658.75604,685.644,658.75604,685.644
2020-04-22,0,671.0942,698.4858,671.0942,698.4858
2020-04-23,0,671.7802,699.19977,671.7802,699.19977
2020-04-24,0,671.398,698.80194,671.398,698.80194
2020-04-27,0,687.96,716.04,687.96,716.04
2020-04-28,0,670.08484,697.4352,670.08484,697.4352
2020-04-29,0,665.73364,692.9064,665.73364,692.9064
2020-04-30,0,661.69604,688.704,661.69604,688.704
2020-05-01,0,657.433,684.26697,657.433,684.26697
2020-05-04,0,662.45056,689.4894,662.45056,689.4894
2020-05-05,0,672.66223,700.1178,672.66223,700.1178
2020-05-06,0,670.5062,697.8738,670.5062,697.8738
2020-05-07,1,661.83325,688.8468,661.83325,688.8468
2020-05-08,1,664.5968,691.72314,664.5968,691.72314
2020-05-11,1,664.44,691.56,664.44,691.56
2020-05-12,1,650.377,676.92303,650.377,676.92303
2020-05-13,1,665.224,692.376,665.224,692.376
2020-05-14,1,646.0748,672.4452,646.0748,672.4452
2020-05-15,1,645.4868,671.8331,645.4868,671.8331
2020-05-18,1,649.13245,675.62756,649.13245,675.62756
2020-05-19,1,637.12744,663.13257,637.12744,663.13257
2020-05-20,1,642.3704,668.58954,642.3704,668.58954
2020-05-21,1,631.512,657.288,631.512,657.288
2020-05-22,1,656.6196,683.4204,656.6196,683.4204
2020-05-26,1,644.8498,671.1702,644.8498,671.1702
2020-05-27,1,662.0292,689.0508,662.0292,689.0508
2020-05-28,1,679.483,707.217,679.483,707.217
2020-05-29,1,683.6774,711.5826,683.6774,711.5826
2020-06-01,1,695.9666,724.37335,695.9666,724.37335
2020-06-02,1,682.7562,710.6238,682.7562,710.6238
2020-06-03,0,675.2102,702.7698,675.2102,702.7698
2020-06-04,0,651.8764,678.4836,651.8764,678.4836
2020-06-05,1,660.03,686.97,660.03,686.97
2020-06-08,0,662.7152,689.7648,662.7152,689.7648
2020-06-09,0,677.39557,705.0444,677.39557,705.0444
2020-06-10,0,681.61945,709.4406,681.61945,709.4406
2020-06-11,0,647.486,673.914,647.486,673.914
2020-06-12,0,663.10724,690.1728,663.10724,690.1728
2020-06-15,0,680.63947,708.4206,680.63947,708.4206
