日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-19,1,335.34988,349.03763,335.34988,349.03763
2023-12-20,1,336.98575,350.74026,336.98575,350.74026
2023-12-21,1,330.9326,344.44003,330.9326,344.44003
2023-12-22,1,334.95602,348.62772,334.95602,348.62772
2023-12-25,1,335.7802,349.48553,335.7802,349.48553
2023-12-26,1,332.79443,346.37787,332.79443,346.37787
2023-12-27,1,326.30185,339.62027,326.30185,339.62027
2023-12-28,1,326.17484,339.48807,326.17484,339.48807
2023-12-29,1,327.33548,340.69608,327.33548,340.69608
2024-01-01,1,339.3614,353.2129,339.3614,353.2129
2024-01-02,1,343.4325,357.45013,343.4325,357.45013
2024-01-03,0,349.16977,363.4216,349.16977,363.4216
2024-01-04,0,357.07684,371.65137,357.07684,371.65137
2024-01-05,1,350.7755,365.0929,350.7755,365.0929
2024-01-08,1,349.90717,364.1891,349.90717,364.1891
2024-01-09,1,364.21347,379.0793,364.21347,379.0793
2024-01-10,1,361.46298,376.21658,361.46298,376.21658
2024-01-11,1,351.87213,366.23425,351.87213,366.23425
2024-01-12,1,347.0339,361.19852,347.0339,361.19852
2024-01-15,1,340.40524,354.29935,340.40524,354.29935
2024-01-16,0,328.26828,341.66696,328.26828,341.66696
2024-01-17,0,323.19308,336.3846,323.19308,336.3846
2024-01-18,0,324.41293,337.65427,324.41293,337.65427
2024-01-19,0,315.59042,328.47165,315.59042,328.47165
2024-01-22,0,311.52252,324.23773,311.52252,324.23773
2024-01-23,0,313.83832,326.648,313.83832,326.648
2024-01-24,0,312.21933,324.96298,312.21933,324.96298
2024-01-25,0,312.10367,324.84256,312.10367,324.84256
2024-01-26,0,304.99582,317.4446,304.99582,317.4446
2024-01-29,0,303.7304,316.12756,303.7304,316.12756
2024-01-30,0,298.3429,310.52014,298.3429,310.52014
2024-01-31,0,307.83475,320.39944,307.83475,320.39944
2024-02-01,0,311.20172,323.9038,311.20172,323.9038
2024-02-02,0,319.35458,332.38943,319.35458,332.38943
2024-02-05,0,328.30472,341.70493,328.30472,341.70493
2024-02-06,0,324.15842,337.38937,324.15842,337.38937
2024-02-07,0,314.0225,326.83975,314.0225,326.83975
2024-02-08,0,307.76584,320.32767,307.76584,320.32767
2024-02-09,0,303.5502,315.93997,303.5502,315.93997
2024-02-12,0,309.6293,322.26724,309.6293,322.26724
2024-02-13,1,310.27805,322.9424,310.27805,322.9424
2024-02-14,1,302.88037,315.2428,302.88037,315.2428
2024-02-15,1,298.61743,310.8059,298.61743,310.8059
2024-02-16,1,297.78592,309.94046,297.78592,309.94046
2024-02-19,1,297.11285,309.23987,297.11285,309.23987
2024-02-20,1,285.8379,297.50476,285.8379,297.50476
2024-02-21,1,284.81348,296.43848,284.81348,296.43848
2024-02-22,1,287.0187,298.73373,287.0187,298.73373
2024-02-23,1,285.3989,297.04782,285.3989,297.04782
2024-02-26,1,289.78583,301.61383,289.78583,301.61383
2024-02-27,1,290.5331,302.39157,290.5331,302.39157
2024-02-28,1,292.74097,304.68958,292.74097,304.68958
2024-02-29,1,292.09595,304.01825,292.09595,304.01825
2024-03-01,1,295.8567,307.93243,295.8567,307.93243
2024-03-04,1,300.05966,312.30698,300.05966,312.30698
2024-03-05,1,300.1507,312.40173,300.1507,312.40173
2024-03-06,1,293.05475,305.01617,293.05475,305.01617
2024-03-07,0,297.89352,310.05246,297.89352,310.05246
2024-03-08,0,300.89413,313.1755,300.89413,313.1755
