日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-19,0,69.90976,72.763214,69.90976,72.763214
2023-12-20,0,69.40987,72.24292,69.40987,72.24292
2023-12-21,0,70.029495,72.88783,70.029495,72.88783
2023-12-22,0,69.19576,72.02007,69.19576,72.02007
2023-12-25,0,71.87618,74.8099,71.87618,74.8099
2023-12-26,0,72.944954,75.922295,72.944954,75.922295
2023-12-27,0,73.47046,76.46925,73.47046,76.46925
2023-12-28,0,72.96531,75.94349,72.96531,75.94349
2023-12-29,0,74.09884,77.12328,74.09884,77.12328
2024-01-01,0,74.812874,77.86646,74.812874,77.86646
2024-01-02,0,76.64523,79.773605,76.64523,79.773605
2024-01-03,0,78.893845,82.114,78.893845,82.114
2024-01-04,0,78.15405,81.34401,78.15405,81.34401
2024-01-05,0,78.47788,81.68105,78.47788,81.68105
2024-01-08,0,79.778824,83.035095,79.778824,83.035095
2024-01-09,0,81.44478,84.76906,81.44478,84.76906
2024-01-10,0,82.23513,85.59167,82.23513,85.59167
2024-01-11,0,81.11678,84.427666,81.11678,84.427666
2024-01-12,0,80.233894,83.50875,80.233894,83.50875
2024-01-15,0,80.680405,83.97348,80.680405,83.97348
2024-01-16,-1,80.820076,84.11886,80.820076,84.11886
2024-01-17,-1,80.81627,84.11488,80.81627,84.11488
2024-01-18,-1,81.574524,84.9041,81.574524,84.9041
2024-01-19,-1,80.77024,84.06698,80.77024,84.06698
2024-01-22,-1,82.1556,85.50889,82.1556,85.50889
2024-01-23,-1,83.14665,86.54039,83.14665,86.54039
2024-01-24,-1,83.038506,86.42783,83.038506,86.42783
2024-01-25,-1,84.02012,87.4495,84.02012,87.4495
2024-01-26,-1,83.117935,86.5105,83.117935,86.5105
2024-01-29,-1,81.80377,85.1427,81.80377,85.1427
2024-01-30,-1,81.57902,84.908775,81.57902,84.908775
2024-01-31,-1,83.31377,86.714325,83.31377,86.714325
2024-02-01,-1,82.66738,86.04156,82.66738,86.04156
2024-02-02,-1,82.27596,85.63416,82.27596,85.63416
