日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
1970-01-01 00:00:00.000003869,0,98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003870,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003871,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003872,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003873,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003874,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003875,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003876,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003877,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003878,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003879,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003880,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003881,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003882,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003883,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003884,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003885,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003886,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003887,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003888,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003889,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003890,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003891,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003892,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003893,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003894,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003895,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003896,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003897,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003898,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003899,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003900,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003901,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003902,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003903,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003904,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003905,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003906,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003907,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003908,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003909,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003910,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003911,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003912,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003913,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003914,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003915,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003916,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003917,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003918,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003919,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003920,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003921,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003922,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003923,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003924,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003925,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003926,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003927,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003928,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003929,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003930,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003931,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003932,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003933,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003934,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003935,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003936,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003937,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003938,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003939,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003940,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003941,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003942,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003943,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003944,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003945,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003946,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003947,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003948,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003949,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003950,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003951,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003952,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003953,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003954,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000003955,[-1.],98.0,102.0,98.0,102.0
