日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-19,-1,2458.676,2559.03,2458.676,2559.03
2023-12-20,-1,2483.899,2585.2822,2483.899,2585.2822
2023-12-21,-1,2535.6638,2639.1604,2535.6638,2639.1604
2023-12-22,-1,2510.0688,2612.5205,2510.0688,2612.5205
2023-12-25,-1,2465.8896,2566.538,2465.8896,2566.538
2023-12-26,-1,2495.7664,2597.634,2495.7664,2597.634
2023-12-27,-1,2484.3484,2585.7502,2484.3484,2585.7502
2023-12-28,0,2463.2524,2563.7935,2463.2524,2563.7935
2023-12-29,0,2497.674,2599.6199,2497.674,2599.6199
2024-01-01,0,2479.5667,2580.7732,2479.5667,2580.7732
2024-01-02,0,2490.1692,2591.8088,2490.1692,2591.8088
2024-01-03,0,2478.3564,2579.5137,2478.3564,2579.5137
2024-01-04,0,2465.395,2566.0234,2465.395,2566.0234
2024-01-05,0,2495.5105,2597.368,2495.5105,2597.368
2024-01-08,0,2470.8508,2571.702,2470.8508,2571.702
2024-01-09,0,2464.6062,2565.2024,2464.6062,2565.2024
2024-01-10,0,2464.1724,2564.751,2464.1724,2564.751
2024-01-11,0,2452.103,2552.189,2452.103,2552.189
2024-01-12,0,2516.2456,2618.9492,2516.2456,2618.9492
2024-01-15,0,2546.438,2650.374,2546.438,2650.374
2024-01-16,0,2548.2634,2652.2742,2548.2634,2652.2742
2024-01-17,0,2525.3164,2628.3906,2525.3164,2628.3906
2024-01-18,0,2501.0867,2603.1716,2501.0867,2603.1716
2024-01-19,0,2539.6738,2643.334,2539.6738,2643.334
2024-01-22,0,2649.7034,2757.8542,2649.7034,2757.8542
2024-01-23,0,2600.7178,2706.8696,2600.7178,2706.8696
2024-01-24,0,2541.6873,2645.4294,2541.6873,2645.4294
2024-01-25,0,2592.7078,2698.5325,2592.7078,2698.5325
2024-01-26,0,2638.784,2746.4895,2638.784,2746.4895
2024-01-29,0,2636.7253,2744.347,2636.7253,2744.347
2024-01-30,0,2664.2153,2772.9585,2664.2153,2772.9585
2024-01-31,0,2715.4763,2826.3118,2715.4763,2826.3118
2024-02-01,0,2743.7039,2855.6917,2743.7039,2855.6917
2024-02-02,0,2796.3289,2910.4646,2796.3289,2910.4646
2024-02-05,0,2820.8787,2936.0164,2820.8787,2936.0164
2024-02-06,0,2893.7573,3011.8696,2893.7573,3011.8696
2024-02-07,0,2873.7646,2991.061,2873.7646,2991.061
2024-02-08,0,2903.5828,3022.0964,2903.5828,3022.0964
2024-02-09,0,2925.5054,3044.9136,2925.5054,3044.9136
2024-02-12,0,2887.7566,3005.6243,2887.7566,3005.6243
2024-02-13,0,2959.8848,3080.6963,2959.8848,3080.6963
2024-02-14,0,2902.369,3020.8328,2902.369,3020.8328
2024-02-15,0,2921.6165,3040.866,2921.6165,3040.866
2024-02-16,0,2974.1924,3095.588,2974.1924,3095.588
2024-02-19,0,2913.7288,3032.6565,2913.7288,3032.6565
2024-02-20,0,2926.5867,3046.0393,2926.5867,3046.0393
2024-02-21,0,2923.8083,3043.1472,2923.8083,3043.1472
2024-02-22,0,2899.3967,3017.7395,2899.3967,3017.7395
2024-02-23,0,2907.4556,3026.127,2907.4556,3026.127
2024-02-26,0,2858.037,2974.6914,2858.037,2974.6914
2024-02-27,0,2781.5862,2895.1204,2781.5862,2895.1204
2024-02-28,0,2813.8025,2928.6516,2813.8025,2928.6516
2024-02-29,0,2808.419,2923.0483,2808.419,2923.0483
2024-03-01,0,2749.0989,2861.307,2749.0989,2861.307
2024-03-04,0,2712.9792,2823.7131,2712.9792,2823.7131
2024-03-05,0,2722.364,2833.4807,2722.364,2833.4807
2024-03-06,0,2823.4846,2938.7288,2823.4846,2938.7288
2024-03-07,0,2803.6401,2918.0742,2803.6401,2918.0742
2024-03-08,0,2816.9211,2931.8972,2816.9211,2931.8972
2024-03-11,0,2822.7585,2937.973,2822.7585,2937.973
2024-03-12,0,2906.475,3025.1064,2906.475,3025.1064
2024-03-13,0,2939.388,3059.363,2939.388,3059.363
2024-03-14,0,2906.568,3025.2034,2906.568,3025.2034
2024-03-15,0,2904.032,3022.5637,2904.032,3022.5637
2024-03-18,0,2933.693,3053.4358,2933.693,3053.4358
2024-03-19,0,2963.2063,3084.1536,2963.2063,3084.1536
2024-03-20,0,2960.5984,3081.4392,2960.5984,3081.4392
2024-03-21,0,3010.109,3132.9702,3010.109,3132.9702
2024-03-22,0,3004.6184,3127.2556,3004.6184,3127.2556
2024-03-25,0,2957.1353,3077.8345,2957.1353,3077.8345
2024-03-26,0,2934.8623,3054.6523,2934.8623,3054.6523
2024-03-27,0,2968.9424,3090.1235,2968.9424,3090.1235
2024-03-28,0,2909.621,3028.3809,2909.621,3028.3809
2024-03-29,0,2820.5388,2935.6628,2820.5388,2935.6628
2024-04-01,0,2810.1548,2924.855,2810.1548,2924.855
2024-04-02,0,2786.1545,2899.8752,2786.1545,2899.8752
2024-04-03,0,2777.7334,2891.1104,2777.7334,2891.1104
2024-04-04,0,2752.7969,2865.1558,2752.7969,2865.1558
2024-04-05,0,2813.3352,2928.1653,2813.3352,2928.1653
2024-04-08,0,2794.8481,2908.9233,2794.8481,2908.9233
2024-04-09,0,2853.3105,2969.772,2853.3105,2969.772
2024-04-10,0,2991.7495,3113.8618,2991.7495,3113.8618
2024-04-11,0,3005.9028,3128.5928,3005.9028,3128.5928
2024-04-12,0,2982.706,3104.4492,2982.706,3104.4492
2024-04-15,0,3013.2683,3136.2585,3013.2683,3136.2585
2024-04-16,0,2990.1511,3112.198,2990.1511,3112.198
2024-04-17,0,2983.7861,3105.5732,2983.7861,3105.5732
2024-04-18,0,2935.9392,3055.7732,2935.9392,3055.7732
2024-04-19,0,2955.3792,3076.0066,2955.3792,3076.0066
2024-04-22,0,2990.9138,3112.992,2990.9138,3112.992
2024-04-23,0,3047.7156,3172.112,3047.7156,3172.112
2024-04-24,0,3083.7139,3209.5796,3083.7139,3209.5796
2024-04-25,0,3077.0757,3202.6704,3077.0757,3202.6704
2024-04-26,0,3034.785,3158.6536,3034.785,3158.6536
2024-04-29,0,3011.323,3134.2341,3011.323,3134.2341
2024-04-30,0,2977.333,3098.8564,2977.333,3098.8564
2024-05-01,0,2996.4116,3118.7139,2996.4116,3118.7139
2024-05-02,0,3005.984,3128.6768,3005.984,3128.6768
2024-05-03,0,2978.3845,3099.951,2978.3845,3099.951
2024-05-06,0,3085.3562,3211.2888,3085.3562,3211.2888
2024-05-07,0,3073.039,3198.4692,3073.039,3198.4692
2024-05-08,0,3077.3955,3203.0034,3077.3955,3203.0034
2024-05-09,0,3071.5012,3196.8684,3071.5012,3196.8684
2024-05-10,0,3098.9885,3225.4778,3098.9885,3225.4778
2024-05-13,0,3152.191,3280.8516,3152.191,3280.8516
2024-05-14,0,3164.5107,3293.6743,3164.5107,3293.6743
2024-05-15,0,3137.6377,3265.7046,3137.6377,3265.7046
2024-05-16,0,3189.775,3319.9697,3189.775,3319.9697
2024-05-17,0,3213.1975,3344.3484,3213.1975,3344.3484
2024-05-20,0,3226.6982,3358.4,3226.6982,3358.4
2024-05-21,0,3230.767,3362.6348,3230.767,3362.6348
2024-05-22,0,3261.6199,3394.7473,3261.6199,3394.7473
2024-05-23,0,3227.1892,3358.911,3227.1892,3358.911
2024-05-24,0,3260.295,3393.3682,3260.295,3393.3682
2024-05-27,0,3262.166,3395.3154,3262.166,3395.3154
2024-05-28,0,3222.8142,3354.3577,3222.8142,3354.3577
2024-05-29,0,3225.6428,3357.3015,3225.6428,3357.3015
2024-05-30,0,3255.8472,3388.7388,3255.8472,3388.7388
2024-05-31,0,3235.7048,3367.7742,3235.7048,3367.7742
2024-06-03,0,3176.315,3305.9604,3176.315,3305.9604
2024-06-04,0,3153.717,3282.4402,3153.717,3282.4402
2024-06-05,0,3149.4448,3277.9937,3149.4448,3277.9937
2024-06-06,0,3164.9575,3294.1392,3164.9575,3294.1392
2024-06-07,0,3242.0242,3374.3518,3242.0242,3374.3518
2024-06-10,0,3276.4143,3410.1453,3276.4143,3410.1453
2024-06-11,0,3251.1082,3383.8064,3251.1082,3383.8064
2024-06-12,0,3268.8203,3402.2412,3268.8203,3402.2412
2024-06-13,0,3182.8018,3312.712,3182.8018,3312.712
2024-06-14,0,3234.7932,3366.8254,3234.7932,3366.8254
2024-06-17,0,3271.7458,3405.2864,3271.7458,3405.2864
2024-06-18,0,3229.6506,3361.473,3229.6506,3361.473
2024-06-19,0,3258.929,3391.9465,3258.929,3391.9465
2024-06-20,0,3236.0586,3368.1426,3236.0586,3368.1426
2024-06-21,0,3287.8167,3422.013,3287.8167,3422.013
2024-06-24,0,3324.6633,3460.3635,3324.6633,3460.3635
2024-06-25,0,3295.5842,3430.098,3295.5842,3430.098
2024-06-26,0,3290.7537,3425.07,3290.7537,3425.07
2024-06-27,0,3330.639,3466.5833,3330.639,3466.5833
2024-06-28,0,3211.7075,3342.7974,3211.7075,3342.7974
