日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-19,1,276.74048,288.036,276.74048,288.036
2023-12-20,0,277.57944,288.9092,277.57944,288.9092
2023-12-21,0,275.26715,286.50256,275.26715,286.50256
2023-12-22,0,279.96994,291.39725,279.96994,291.39725
2023-12-25,0,286.54636,298.2421,286.54636,298.2421
2023-12-26,0,290.5449,302.40384,290.5449,302.40384
2023-12-27,0,280.63858,292.09323,280.63858,292.09323
2023-12-28,0,282.0792,293.59262,282.0792,293.59262
2023-12-29,0,281.1701,292.64642,281.1701,292.64642
2024-01-01,0,282.13678,293.65253,282.13678,293.65253
2024-01-02,0,278.207,289.56235,278.207,289.56235
2024-01-03,0,270.22723,281.2569,270.22723,281.2569
2024-01-04,0,275.34302,286.58148,275.34302,286.58148
2024-01-05,0,277.95694,289.3021,277.95694,289.3021
2024-01-08,0,276.5617,287.8499,276.5617,287.8499
2024-01-09,0,268.61395,279.57776,268.61395,279.57776
2024-01-10,0,271.36044,282.43637,271.36044,282.43637
2024-01-11,0,268.41446,279.37015,268.41446,279.37015
2024-01-12,0,260.91498,271.56458,260.91498,271.56458
2024-01-15,0,262.84143,273.56964,262.84143,273.56964
2024-01-16,0,257.93552,268.46347,257.93552,268.46347
2024-01-17,0,254.4593,264.8454,254.4593,264.8454
2024-01-18,0,253.7173,264.0731,253.7173,264.0731
2024-01-19,0,247.26524,257.3577,247.26524,257.3577
2024-01-22,0,251.64297,261.9141,251.64297,261.9141
2024-01-23,0,255.32039,265.7416,255.32039,265.7416
2024-01-24,0,259.29822,269.88184,259.29822,269.88184
2024-01-25,0,265.25797,276.0848,265.25797,276.0848
2024-01-26,0,264.03516,274.81207,264.03516,274.81207
2024-01-29,0,259.62726,270.2243,259.62726,270.2243
2024-01-30,0,254.4251,264.80978,254.4251,264.80978
2024-01-31,0,258.0834,268.6174,258.0834,268.6174
2024-02-01,0,259.39786,269.9855,259.39786,269.9855
2024-02-02,0,257.49963,268.00983,257.49963,268.00983
2024-02-05,0,259.99554,270.6076,259.99554,270.6076
2024-02-06,0,260.34814,270.9746,260.34814,270.9746
2024-02-07,0,267.95874,278.8958,267.95874,278.8958
2024-02-08,0,263.48074,274.23508,263.48074,274.23508
2024-02-09,0,267.05783,277.95816,267.05783,277.95816
2024-02-12,0,270.5721,281.61588,270.5721,281.61588
2024-02-13,0,269.48947,280.48904,269.48947,280.48904
2024-02-14,0,269.62198,280.62692,269.62198,280.62692
2024-02-15,0,271.4047,282.48245,271.4047,282.48245
2024-02-16,0,270.9293,281.98764,270.9293,281.98764
2024-02-19,0,273.31876,284.47464,273.31876,284.47464
2024-02-20,0,273.65466,284.82422,273.65466,284.82422
2024-02-21,0,275.75,287.00507,275.75,287.00507
2024-02-22,0,286.07626,297.75284,286.07626,297.75284
2024-02-23,0,287.6117,299.35095,287.6117,299.35095
2024-02-26,0,288.87903,300.66998,288.87903,300.66998
2024-02-27,0,289.35208,301.16238,289.35208,301.16238
