日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-19,0,143.46173,149.31729,143.46173,149.31729
2023-12-20,0,144.77986,150.68922,144.77986,150.68922
2023-12-21,0,140.11607,145.8351,140.11607,145.8351
2023-12-22,0,140.38844,146.11858,140.38844,146.11858
2023-12-25,0,141.74342,147.52885,141.74342,147.52885
2023-12-26,0,145.13022,151.0539,145.13022,151.0539
2023-12-27,0,145.20097,151.12755,145.20097,151.12755
2023-12-28,0,144.90428,150.81874,144.90428,150.81874
2023-12-29,0,142.98196,148.81796,142.98196,148.81796
2024-01-01,0,140.37555,146.10516,140.37555,146.10516
2024-01-02,0,142.77159,148.59898,142.77159,148.59898
2024-01-03,0,142.51393,148.33083,142.51393,148.33083
2024-01-04,0,139.41019,145.1004,139.41019,145.1004
2024-01-05,0,135.92836,141.47646,135.92836,141.47646
2024-01-08,0,132.43452,137.84001,132.43452,137.84001
2024-01-09,0,132.73929,138.15723,132.73929,138.15723
2024-01-10,0,136.12234,141.67834,136.12234,141.67834
2024-01-11,0,136.16518,141.72295,136.16518,141.72295
2024-01-12,0,141.04028,146.79703,141.04028,146.79703
2024-01-15,0,140.2265,145.95001,140.2265,145.95001
2024-01-16,-1,141.13889,146.89966,141.13889,146.89966
2024-01-17,-1,140.9058,146.65706,140.9058,146.65706
2024-01-18,-1,140.81793,146.56558,140.81793,146.56558
2024-01-19,-1,140.93918,146.6918,140.93918,146.6918
2024-01-22,-1,143.33952,149.19011,143.33952,149.19011
2024-01-23,-1,145.17041,151.09573,145.17041,151.09573
2024-01-24,-1,146.58353,152.56653,146.58353,152.56653
2024-01-25,-1,145.11835,151.04153,145.11835,151.04153
2024-01-26,-1,144.65329,150.5575,144.65329,150.5575
2024-01-29,-1,141.1253,146.88553,141.1253,146.88553
2024-01-30,-1,133.9009,139.36623,133.9009,139.36623
2024-01-31,-1,133.4686,138.91629,133.4686,138.91629
2024-02-01,-1,132.78639,138.20625,132.78639,138.20625
2024-02-02,-1,133.78409,139.24466,133.78409,139.24466
2024-02-05,-1,135.08525,140.59892,135.08525,140.59892
2024-02-06,-1,133.53381,138.98416,133.53381,138.98416
2024-02-07,-1,134.63641,140.13177,134.63641,140.13177
2024-02-08,-1,132.19905,137.59492,132.19905,137.59492
2024-02-09,-1,132.33182,137.73312,132.33182,137.73312
2024-02-12,-1,136.16115,141.71873,136.16115,141.71873
2024-02-13,-1,137.85066,143.47722,137.85066,143.47722
2024-02-14,-1,134.37296,139.85757,134.37296,139.85757
2024-02-15,-1,133.96977,139.43791,133.96977,139.43791
2024-02-16,-1,133.12851,138.56232,133.12851,138.56232
2024-02-19,-1,131.97934,137.36624,131.97934,137.36624
2024-02-20,-1,134.23056,139.70935,134.23056,139.70935
2024-02-21,-1,133.72922,139.18756,133.72922,139.18756
2024-02-22,-1,133.44014,138.88667,133.44014,138.88667
2024-02-23,-1,132.48352,137.89099,132.48352,137.89099
2024-02-26,-1,135.57219,141.10573,135.57219,141.10573
2024-02-27,-1,129.26065,134.53659,129.26065,134.53659
2024-02-28,-1,130.20772,135.52232,130.20772,135.52232
2024-02-29,-1,132.88611,138.31003,132.88611,138.31003
2024-03-01,-1,132.28265,137.68195,132.28265,137.68195
2024-03-04,-1,133.18394,138.62001,133.18394,138.62001
2024-03-05,-1,132.39827,137.80226,132.39827,137.80226
2024-03-06,-1,128.89815,134.15929,128.89815,134.15929
2024-03-07,-1,129.06665,134.33469,129.06665,134.33469
2024-03-08,-1,131.33157,136.69205,131.33157,136.69205
2024-03-11,-1,131.99149,137.37888,131.99149,137.37888
2024-03-12,-1,131.97226,137.35889,131.97226,137.35889
2024-03-13,-1,132.54256,137.95244,132.54256,137.95244
2024-03-14,-1,131.89316,137.27655,131.89316,137.27655
2024-03-15,-1,130.80612,136.14514,130.80612,136.14514
2024-03-18,-1,131.45638,136.82195,131.45638,136.82195
2024-03-19,-1,131.80237,137.18204,131.80237,137.18204
2024-03-20,-1,132.28928,137.68884,132.28928,137.68884
2024-03-21,-1,129.756,135.05217,129.756,135.05217
2024-03-22,-1,131.30014,136.65933,131.30014,136.65933
2024-03-25,-1,130.72447,136.06017,130.72447,136.06017
2024-03-26,-1,128.31566,133.55302,128.31566,133.55302
2024-03-27,-1,130.38681,135.70871,130.38681,135.70871
2024-03-28,-1,128.39935,133.64014,128.39935,133.64014
2024-03-29,-1,125.68272,130.81262,125.68272,130.81262
2024-04-01,-1,128.06757,133.2948,128.06757,133.2948
2024-04-02,-1,126.75486,131.92853,126.75486,131.92853
2024-04-03,-1,129.89986,135.20189,129.89986,135.20189
2024-04-04,-1,125.98346,131.12564,125.98346,131.12564
2024-04-05,-1,123.95435,129.0137,123.95435,129.0137
2024-04-08,-1,123.72873,128.77887,123.72873,128.77887
2024-04-09,-1,123.12279,128.14821,123.12279,128.14821
2024-04-10,-1,121.542465,126.50337,121.542465,126.50337
2024-04-11,-1,120.60724,125.52998,120.60724,125.52998
2024-04-12,-1,124.95689,130.05716,124.95689,130.05716
2024-04-15,-1,124.43174,129.51057,124.43174,129.51057
2024-04-16,-1,124.215866,129.2859,124.215866,129.2859
2024-04-17,-1,123.61696,128.66254,123.61696,128.66254
2024-04-18,-1,122.08349,127.06649,122.08349,127.06649
2024-04-19,-1,118.55032,123.389114,118.55032,123.389114
2024-04-22,-1,116.400986,121.15204,116.400986,121.15204
2024-04-23,-1,115.09177,119.78938,115.09177,119.78938
2024-04-24,-1,116.368454,121.11818,116.368454,121.11818
2024-04-25,-1,117.475655,122.27058,117.475655,122.27058
2024-04-26,-1,116.53613,121.29271,116.53613,121.29271
2024-04-29,-1,116.9383,121.71128,116.9383,121.71128
2024-04-30,-1,117.79188,122.59971,117.79188,122.59971
2024-05-01,-1,117.12433,121.90491,117.12433,121.90491
2024-05-02,-1,115.555756,120.27231,115.555756,120.27231
2024-05-03,-1,115.04873,119.74459,115.04873,119.74459
2024-05-06,-1,119.65085,124.534546,119.65085,124.534546
2024-05-07,-1,122.923935,127.94124,122.923935,127.94124
2024-05-08,-1,120.674355,125.59983,120.674355,125.59983
2024-05-09,-1,119.68081,124.56574,119.68081,124.56574
2024-05-10,-1,115.99313,120.72754,115.99313,120.72754
2024-05-13,-1,115.91954,120.65094,115.91954,120.65094
2024-05-14,-1,116.39689,121.14777,116.39689,121.14777
2024-05-15,-1,118.37828,123.21004,118.37828,123.21004
2024-05-16,-1,116.18124,120.92332,116.18124,120.92332
2024-05-17,-1,117.84341,122.65334,117.84341,122.65334
2024-05-20,-1,120.17244,125.07744,120.17244,125.07744
2024-05-21,-1,121.07435,126.01615,121.07435,126.01615
2024-05-22,-1,120.14542,125.0493,120.14542,125.0493
2024-05-23,-1,122.38219,127.37738,122.38219,127.37738
2024-05-24,-1,123.59004,128.63452,123.59004,128.63452
2024-05-27,-1,125.609055,130.73595,125.609055,130.73595
2024-05-28,-1,126.538704,131.70354,126.538704,131.70354
2024-05-29,-1,127.79723,133.01344,127.79723,133.01344
2024-05-30,-1,128.45428,133.69733,128.45428,133.69733
2024-05-31,-1,126.58606,131.75284,126.58606,131.75284
2024-06-03,-1,124.92618,130.0252,124.92618,130.0252
2024-06-04,-1,124.01805,129.08,124.01805,129.08
2024-06-05,-1,125.3273,130.4427,125.3273,130.4427
2024-06-06,-1,125.71144,130.84251,125.71144,130.84251
2024-06-07,-1,123.20629,128.2351,123.20629,128.2351
2024-06-10,-1,120.24605,125.15405,120.24605,125.15405
2024-06-11,-1,122.413536,127.409996,122.413536,127.409996
2024-06-12,-1,123.391075,128.42744,123.391075,128.42744
2024-06-13,-1,125.7735,130.9071,125.7735,130.9071
2024-06-14,-1,123.4999,128.54071,123.4999,128.54071
2024-06-17,-1,127.23505,132.42831,127.23505,132.42831
2024-06-18,-1,125.70643,130.8373,125.70643,130.8373
2024-06-19,-1,126.88799,132.0671,126.88799,132.0671
2024-06-20,-1,123.57951,128.62357,123.57951,128.62357
2024-06-21,-1,123.62427,128.67015,123.62427,128.67015
2024-06-24,-1,127.82264,133.03989,127.82264,133.03989
2024-06-25,-1,126.55309,131.71852,126.55309,131.71852
2024-06-26,-1,125.41247,130.53134,125.41247,130.53134
2024-06-27,-1,124.81737,129.91196,124.81737,129.91196
2024-06-28,-1,124.12422,129.1905,124.12422,129.1905
