日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-19,1,231.8785223006472,241.34295178230627,231.8785223006472,241.34295178230627
2023-12-20,1,229.86264198375514,239.24479063615334,229.86264198375514,239.24479063615334
2023-12-21,1,225.8313361080786,235.04894166351042,225.8313361080786,235.04894166351042
2023-12-22,1,227.56049678126806,236.84868032336067,227.56049678126806,236.84868032336067
2023-12-25,1,223.02253693525543,232.12549762649033,223.02253693525543,232.12549762649033
2023-12-26,1,226.3802706771866,235.620281725235,226.3802706771866,235.620281725235
2023-12-27,1,230.5761873495961,239.98746030264087,230.5761873495961,239.98746030264087
2023-12-28,1,229.6742821779683,239.04874267502825,229.6742821779683,239.04874267502825
2023-12-29,1,233.97178698495875,243.52165584148767,233.97178698495875,243.52165584148767
2024-01-01,1,233.28417671305297,242.805979844198,233.28417671305297,242.805979844198
2024-01-02,1,233.6608749536571,243.19805352319415,233.6608749536571,243.19805352319415
2024-01-03,1,232.68032499231978,242.17748111445528,232.68032499231978,242.17748111445528
2024-01-04,1,231.50711229136678,240.95638218081032,231.50711229136678,240.95638218081032
2024-01-05,1,224.87805258309848,234.05674860689842,224.87805258309848,234.05674860689842
2024-01-08,1,221.53417593954296,230.57638720238148,221.53417593954296,230.57638720238148
2024-01-09,1,228.89756858558644,238.24032648703894,228.89756858558644,238.24032648703894
2024-01-10,1,230.07936429877512,239.47035875994962,230.07936429877512,239.47035875994962
2024-01-11,1,223.70155885689192,232.83223472860178,223.70155885689192,232.83223472860178
2024-01-12,1,220.91025393647124,229.92699899510274,220.91025393647124,229.92699899510274
2024-01-15,1,222.5624660556025,231.64664834358626,222.5624660556025,231.64664834358626
2024-01-16,1,220.4801253746227,229.47931416542363,220.4801253746227,229.47931416542363
2024-01-17,1,215.5299496958675,224.32709049978044,215.5299496958675,224.32709049978044
2024-01-18,1,217.04436467707947,225.90331833736846,217.04436467707947,225.90331833736846
2024-01-19,1,210.13125784940527,218.7080438840749,210.13125784940527,218.7080438840749
2024-01-22,1,210.10613823086206,218.6818989749789,210.10613823086206,218.6818989749789
2024-01-23,1,213.16333211270953,221.86387628057523,213.16333211270953,221.86387628057523
2024-01-24,1,208.0316442102804,216.52273172906737,208.0316442102804,216.52273172906737
2024-01-25,1,210.04752372072076,218.62089203585222,210.04752372072076,218.62089203585222
2024-01-26,1,211.3830494912346,220.01092906230542,211.3830494912346,220.01092906230542
2024-01-29,1,213.98966759963758,222.7239397465616,213.98966759963758,222.7239397465616
2024-01-30,1,212.28526039218406,220.9499648979875,212.28526039218406,220.9499648979875
2024-01-31,1,212.41998910914413,221.09019274625206,212.41998910914413,221.09019274625206
2024-02-01,1,214.48429852979308,223.23875969427445,214.48429852979308,223.23875969427445
2024-02-02,1,210.78795138484733,219.3915412372901,210.78795138484733,219.3915412372901
2024-02-05,1,215.41349837246693,224.20588606113907,215.41349837246693,224.20588606113907
2024-02-06,1,215.73650073774382,224.54207219642723,215.73650073774382,224.54207219642723
2024-02-07,1,218.17257300136956,227.0775759810173,218.17257300136956,227.0775759810173
2024-02-08,1,221.72652489920296,230.77658713998676,221.72652489920296,230.77658713998676
2024-02-09,1,227.73415651915883,237.0294282138184,227.73415651915883,237.0294282138184
2024-02-12,1,224.9114558480151,234.09151527038304,224.9114558480151,234.09151527038304
2024-02-13,1,221.011799725921,230.0326895106525,221.011799725921,230.0326895106525
2024-02-14,1,215.32075627901233,224.1093585761149,215.32075627901233,224.1093585761149
2024-02-15,1,216.25558478587905,225.082343348568,216.25558478587905,225.082343348568
2024-02-16,1,219.161087782363,228.1064383040921,219.161087782363,228.1064383040921
2024-02-19,1,216.49259955294644,225.32903218776062,216.49259955294644,225.32903218776062
2024-02-20,1,217.21128335546877,226.0770500230389,217.21128335546877,226.0770500230389
2024-02-21,1,218.8755715700636,227.8092683688417,218.8755715700636,227.8092683688417
2024-02-22,1,217.61043017024747,226.49248854454328,217.61043017024747,226.49248854454328
2024-02-23,1,221.26353846808698,230.29470330351913,221.26353846808698,230.29470330351913
2024-02-26,1,225.48011938799203,234.68338956709374,225.48011938799203,234.68338956709374
2024-02-27,1,224.4911199254734,233.6540227795744,224.4911199254734,233.6540227795744
2024-02-28,1,226.7745271196128,236.03063026735208,226.7745271196128,236.03063026735208
2024-02-29,1,226.91307788680103,236.17483616789497,226.91307788680103,236.17483616789497
2024-03-01,1,229.35061021324364,238.7118596097026,229.35061021324364,238.7118596097026
2024-03-04,1,225.80355432966738,235.02002593495993,225.80355432966738,235.02002593495993
2024-03-05,1,231.492463179195,240.94113514569278,231.492463179195,240.94113514569278
2024-03-06,1,232.3749828040064,241.85967597968013,232.3749828040064,241.85967597968013
2024-03-07,1,233.23349310392086,242.7532275163258,233.23349310392086,242.7532275163258
2024-03-08,1,232.725254685873,242.22424467305152,232.725254685873,242.22424467305152
2024-03-11,1,228.94063503727003,238.28515075307698,228.94063503727003,238.28515075307698
2024-03-12,1,225.86772501137162,235.08681582816232,225.86772501137162,235.08681582816232
2024-03-13,1,234.01035599929475,243.5617991013068,234.01035599929475,243.5617991013068
2024-03-14,1,234.35149643471325,243.91686363613016,234.35149643471325,243.91686363613016
2024-03-15,1,237.21767319591046,246.90002720390683,237.21767319591046,246.90002720390683
2024-03-18,1,245.63212460575852,255.6579256100752,245.63212460575852,255.6579256100752
2024-03-19,1,247.39872478429913,257.4966319183522,247.39872478429913,257.4966319183522
2024-03-20,1,245.67690275109942,255.7045314348178,245.67690275109942,255.7045314348178
2024-03-21,1,250.8378550790309,261.076134878175,250.8378550790309,261.076134878175
2024-03-22,1,256.52582554105777,266.9962673998765,256.52582554105777,266.9962673998765
2024-03-25,1,256.7620155538217,267.2420978213246,256.7620155538217,267.2420978213246
2024-03-26,1,257.01857569426255,267.5091298042325,257.01857569426255,267.5091298042325
2024-03-27,1,254.64948190604048,265.04333831036865,254.64948190604048,265.04333831036865
2024-03-28,1,254.0150423537475,264.38300326614535,254.0150423537475,264.38300326614535
2024-03-29,1,262.08232721575376,272.7795650612947,262.08232721575376,272.7795650612947
2024-04-01,1,265.5362238362593,276.37443705406577,265.5362238362593,276.37443705406577
2024-04-02,1,268.1549356022421,279.1000350145785,268.1549356022421,279.1000350145785
2024-04-03,1,266.26662328392996,277.13464872409037,266.26662328392996,277.13464872409037
2024-04-04,1,267.3635031584896,278.2762992057749,267.3635031584896,278.2762992057749
2024-04-05,1,270.77060089889756,281.82246216007707,270.77060089889756,281.82246216007707
2024-04-08,1,275.3899581415201,286.63036459627597,275.3899581415201,286.63036459627597
2024-04-09,1,273.6630970721946,284.83301940167195,273.6630970721946,284.83301940167195
2024-04-10,1,271.32388955539966,282.3983340270487,271.32388955539966,282.3983340270487
2024-04-11,1,270.0707567463289,281.0940529400566,270.0707567463289,281.0940529400566
2024-04-12,1,274.65202000815805,285.8623065391033,274.65202000815805,285.8623065391033
2024-04-15,1,281.4344265956351,292.9215460485182,281.4344265956351,292.9215460485182
2024-04-16,1,288.23116834055133,299.9957058238391,288.23116834055133,299.9957058238391
2024-04-17,1,286.26357821865497,297.94780590104904,286.26357821865497,297.94780590104904
2024-04-18,1,287.61182476114544,299.3510829146616,287.61182476114544,299.3510829146616
2024-04-19,1,288.37444304854415,300.14482847909693,288.37444304854415,300.14482847909693
2024-04-22,1,287.57773016447385,299.3155967017993,287.57773016447385,299.3155967017993
2024-04-23,1,292.64549274483204,304.59020673441705,292.64549274483204,304.59020673441705
2024-04-24,1,293.8613281082006,305.85566803098436,293.8613281082006,305.85566803098436
2024-04-25,1,292.7133593080166,304.660843361405,292.7133593080166,304.660843361405
2024-04-26,1,299.86173961773324,312.1009942960081,299.86173961773324,312.1009942960081
2024-04-29,1,298.69799663872806,310.8897516035741,298.69799663872806,310.8897516035741
2024-04-30,1,291.25447440303935,303.1424121337757,291.25447440303935,303.1424121337757
2024-05-01,1,291.84939972110345,303.7616201178832,291.84939972110345,303.7616201178832
2024-05-02,1,285.5566211932994,297.21199348690345,285.5566211932994,297.21199348690345
2024-05-03,1,285.4798577699624,297.1320968626139,285.4798577699624,297.1320968626139
2024-05-06,1,275.527361980136,286.77337675483545,275.527361980136,286.77337675483545
2024-05-07,1,278.7405461074675,290.117711254711,278.7405461074675,290.117711254711
2024-05-08,1,269.7239813980414,280.73312349592067,269.7239813980414,280.73312349592067
2024-05-09,1,268.6749475083834,279.6412718964807,268.6749475083834,279.6412718964807
2024-05-10,1,274.57149204061545,285.7784917157426,274.57149204061545,285.7784917157426
2024-05-13,1,279.198122587139,290.5939643253896,279.198122587139,290.5939643253896
2024-05-14,1,273.39527108773405,284.5542617443763,273.39527108773405,284.5542617443763
2024-05-15,1,271.7015199451056,282.7913779020487,271.7015199451056,282.7913779020487
2024-05-16,1,266.4514059084775,277.32697349657866,266.4514059084775,277.32697349657866
2024-05-17,1,261.4799797357094,272.15263196982,261.4799797357094,272.15263196982
2024-05-20,1,263.43696366741057,274.1894927966926,263.43696366741057,274.1894927966926
2024-05-21,1,261.44997191037095,272.121399335284,261.44997191037095,272.121399335284
2024-05-22,1,266.92904691379704,277.82411005313566,266.92904691379704,277.82411005313566
2024-05-23,1,257.2665376985009,267.767212706603,257.2665376985009,267.767212706603
2024-05-24,1,251.77391756188146,262.05040399297866,251.77391756188146,262.05040399297866
2024-05-27,1,250.28841342399815,260.50426703314093,250.28841342399815,260.50426703314093
2024-05-28,1,251.32488007775945,261.58303844828026,251.32488007775945,261.58303844828026
2024-05-29,1,252.1445455003181,262.4361596023719,252.1445455003181,262.4361596023719
2024-05-30,1,254.20204908353418,264.5776429236784,254.20204908353418,264.5776429236784
2024-05-31,1,252.09199063231512,262.38145963771575,252.09199063231512,262.38145963771575
2024-06-03,1,248.71300812657543,258.8645594786806,248.71300812657543,258.8645594786806
2024-06-04,1,257.20300938721374,267.70109140301844,257.20300938721374,267.70109140301844
2024-06-05,1,262.5366206311806,273.2524010651063,262.5366206311806,273.2524010651063
2024-06-06,1,259.28438539748356,269.86742153615637,259.28438539748356,269.86742153615637
2024-06-07,1,258.381565107213,268.9277514381196,258.381565107213,268.9277514381196
2024-06-10,1,259.1510886534272,269.7286841086692,259.1510886534272,269.7286841086692
2024-06-11,1,259.3269892430282,269.9117643141722,259.3269892430282,269.9117643141722
2024-06-12,1,259.63327855022857,270.2305552257481,259.63327855022857,270.2305552257481
2024-06-13,1,257.0363838871143,267.5276648620986,257.0363838871143,267.5276648620986
2024-06-14,1,257.17886001007855,267.6759563370206,257.17886001007855,267.6759563370206
2024-06-17,1,258.8782570845493,269.4447165573881,258.8782570845493,269.4447165573881
2024-06-18,1,261.4604920157447,272.13234883271383,261.4604920157447,272.13234883271383
2024-06-19,1,264.72182798727454,275.5268005581837,264.72182798727454,275.5268005581837
2024-06-20,1,275.7509274795004,287.00606737662287,275.7509274795004,287.00606737662287
2024-06-21,1,283.4879747718454,295.058912517635,283.4879747718454,295.058912517635
2024-06-24,1,281.4537966589187,292.9417067266297,281.4537966589187,292.9417067266297
2024-06-25,1,280.18065221670986,291.61659720514706,280.18065221670986,291.61659720514706
2024-06-26,1,276.0748383182915,287.3431990659769,276.0748383182915,287.3431990659769
2024-06-27,1,271.927510376155,283.02659243232455,271.927510376155,283.02659243232455
2024-06-28,1,271.9266740914146,283.02572201351313,271.9266740914146,283.02572201351313
