日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-19,0,231.87852,241.34294,231.87852,241.34294
2023-12-20,0,229.86264,239.24478,229.86264,239.24478
2023-12-21,0,225.83134,235.04893,225.83134,235.04893
2023-12-22,0,227.5605,236.84868,227.5605,236.84868
2023-12-25,0,223.02254,232.1255,223.02254,232.1255
2023-12-26,0,226.38028,235.62027,226.38028,235.62027
2023-12-27,0,230.5762,239.98746,230.5762,239.98746
2023-12-28,0,229.67429,239.04874,229.67429,239.04874
2023-12-29,0,233.97179,243.52165,233.97179,243.52165
2024-01-01,0,233.28418,242.80597,233.28418,242.80597
2024-01-02,0,233.66087,243.19804,233.66087,243.19804
2024-01-03,0,232.68033,242.17749,232.68033,242.17749
2024-01-04,0,231.50713,240.95638,231.50713,240.95638
2024-01-05,0,224.87807,234.05675,224.87807,234.05675
2024-01-08,0,221.53418,230.57639,221.53418,230.57639
2024-01-09,0,228.89758,238.24033,228.89758,238.24033
2024-01-10,0,230.07936,239.47035,230.07936,239.47035
2024-01-11,0,223.70155,232.83223,223.70155,232.83223
2024-01-12,0,220.91026,229.92699,220.91026,229.92699
2024-01-15,0,222.56247,231.64664,222.56247,231.64664
2024-01-16,0,220.48013,229.47931,220.48013,229.47931
2024-01-17,0,215.52995,224.32707,215.52995,224.32707
2024-01-18,0,217.04437,225.90332,217.04437,225.90332
2024-01-19,-1,210.13126,218.70804,210.13126,218.70804
2024-01-22,0,210.10614,218.68188,210.10614,218.68188
2024-01-23,0,213.16335,221.86388,213.16335,221.86388
2024-01-24,0,208.03165,216.52274,208.03165,216.52274
2024-01-25,0,210.04753,218.6209,210.04753,218.6209
2024-01-26,0,211.38306,220.01093,211.38306,220.01093
2024-01-29,0,213.98967,222.72392,213.98967,222.72392
2024-01-30,0,212.28526,220.94997,212.28526,220.94997
2024-01-31,0,212.42,221.0902,212.42,221.0902
2024-02-01,0,214.4843,223.23875,214.4843,223.23875
2024-02-02,0,210.78796,219.39154,210.78796,219.39154
2024-02-05,0,215.4135,224.20589,215.4135,224.20589
2024-02-06,0,215.7365,224.54207,215.7365,224.54207
2024-02-07,0,218.17258,227.07758,218.17258,227.07758
2024-02-08,0,221.72653,230.77658,221.72653,230.77658
2024-02-09,0,227.73416,237.02942,227.73416,237.02942
2024-02-12,0,224.91145,234.0915,224.91145,234.0915
2024-02-13,0,221.01181,230.03268,221.01181,230.03268
2024-02-14,0,215.32076,224.10936,215.32076,224.10936
2024-02-15,0,216.25558,225.08234,216.25558,225.08234
2024-02-16,0,219.16109,228.10643,219.16109,228.10643
2024-02-19,0,216.4926,225.32903,216.4926,225.32903
2024-02-20,0,217.21129,226.07704,217.21129,226.07704
2024-02-21,0,218.87558,227.80927,218.87558,227.80927
2024-02-22,-1,217.61043,226.49248,217.61043,226.49248
2024-02-23,0,221.26353,230.2947,221.26353,230.2947
2024-02-26,0,225.48013,234.68338,225.48013,234.68338
2024-02-27,0,224.49112,233.65402,224.49112,233.65402
2024-02-28,0,226.77452,236.03062,226.77452,236.03062
2024-02-29,0,226.91309,236.17484,226.91309,236.17484
2024-03-01,0,229.35062,238.71185,229.35062,238.71185
2024-03-04,0,225.80356,235.02002,225.80356,235.02002
2024-03-05,0,231.49246,240.94113,231.49246,240.94113
2024-03-06,0,232.37498,241.85966,232.37498,241.85966
2024-03-07,0,233.2335,242.75322,233.2335,242.75322
2024-03-08,0,232.72525,242.22424,232.72525,242.22424
2024-03-11,0,228.94064,238.28516,228.94064,238.28516
2024-03-12,0,225.86772,235.0868,225.86772,235.0868
2024-03-13,0,234.01036,243.56178,234.01036,243.56178
2024-03-14,-1,234.3515,243.91687,234.3515,243.91687
2024-03-15,-1,237.21768,246.90002,237.21768,246.90002
2024-03-18,0,245.63213,255.65791,245.63213,255.65791
2024-03-19,0,247.39873,257.4966,247.39873,257.4966
2024-03-20,0,245.67691,255.70453,245.67691,255.70453
2024-03-21,-1,250.83786,261.07614,250.83786,261.07614
2024-03-22,0,256.52582,266.99628,256.52582,266.99628
2024-03-25,0,256.76202,267.24207,256.76202,267.24207
2024-03-26,-1,257.0186,267.50912,257.0186,267.50912
2024-03-27,0,254.64948,265.04333,254.64948,265.04333
2024-03-28,0,254.01506,264.38303,254.01506,264.38303
2024-03-29,0,262.08234,272.77954,262.08234,272.77954
2024-04-01,0,265.53622,276.37442,265.53622,276.37442
2024-04-02,0,268.15494,279.1,268.15494,279.1
2024-04-03,0,266.2666,277.13464,266.2666,277.13464
2024-04-04,0,267.36353,278.2763,267.36353,278.2763
2024-04-05,-1,270.7706,281.82248,270.7706,281.82248
2024-04-08,0,275.38995,286.63037,275.38995,286.63037
2024-04-09,-1,273.6631,284.833,273.6631,284.833
2024-04-10,0,271.32388,282.39835,271.32388,282.39835
