日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-19,-1,128.80527,134.06262,128.80527,134.06262
2023-12-20,0,125.56167,130.68663,125.56167,130.68663
2023-12-21,0,124.862305,129.95872,124.862305,129.95872
2023-12-22,0,126.638756,131.80768,126.638756,131.80768
2023-12-25,0,126.4241,131.58426,126.4241,131.58426
2023-12-26,0,126.84558,132.02295,126.84558,132.02295
2023-12-27,0,125.947495,131.08821,125.947495,131.08821
2023-12-28,0,126.29717,131.45215,126.29717,131.45215
2023-12-29,0,129.84677,135.14664,129.84677,135.14664
2024-01-01,0,124.908295,130.00659,124.908295,130.00659
2024-01-02,0,122.83146,127.84498,122.83146,127.84498
2024-01-03,0,123.70321,128.75232,123.70321,128.75232
2024-01-04,0,121.67583,126.64218,121.67583,126.64218
2024-01-05,0,118.457214,123.29219,118.457214,123.29219
2024-01-08,0,117.49203,122.28762,117.49203,122.28762
2024-01-09,0,120.699394,125.62589,120.699394,125.62589
2024-01-10,0,121.517075,126.476944,121.517075,126.476944
2024-01-11,0,121.485374,126.44396,121.485374,126.44396
2024-01-12,0,122.137596,127.122795,122.137596,127.122795
2024-01-15,0,119.26351,124.1314,119.26351,124.1314
2024-01-16,0,120.54402,125.46419,120.54402,125.46419
2024-01-17,0,119.87275,124.76551,119.87275,124.76551
2024-01-18,0,119.128746,123.99114,119.128746,123.99114
2024-01-19,0,119.63143,124.514336,119.63143,124.514336
2024-01-22,0,119.65759,124.541565,119.65759,124.541565
2024-01-23,0,118.59997,123.44077,118.59997,123.44077
2024-01-24,0,118.12904,122.95064,118.12904,122.95064
2024-01-25,0,116.86091,121.63073,116.86091,121.63073
2024-01-26,0,119.16019,124.023865,119.16019,124.023865
2024-01-29,0,117.358795,122.14894,117.358795,122.14894
2024-01-30,0,117.54037,122.33793,117.54037,122.33793
2024-01-31,0,114.59784,119.2753,114.59784,119.2753
2024-02-01,0,114.320915,118.98707,114.320915,118.98707
2024-02-02,0,113.798004,118.44281,113.798004,118.44281
2024-02-05,0,112.527985,117.12096,112.527985,117.12096
2024-02-06,0,114.17773,118.838036,114.17773,118.838036
2024-02-07,0,116.25815,121.00337,116.25815,121.00337
2024-02-08,0,117.6901,122.49378,117.6901,122.49378
2024-02-09,0,117.51458,122.31109,117.51458,122.31109
2024-02-12,0,114.69148,119.37276,114.69148,119.37276
2024-02-13,0,116.0677,120.80516,116.0677,120.80516
2024-02-14,0,118.850266,123.701294,118.850266,123.701294
2024-02-15,0,118.857994,123.70934,118.857994,123.70934
2024-02-16,0,120.762726,125.69182,120.762726,125.69182
2024-02-19,0,120.75825,125.68716,120.75825,125.68716
2024-02-20,0,119.66081,124.54492,119.66081,124.54492
2024-02-21,0,119.93493,124.83022,119.93493,124.83022
2024-02-22,0,119.7878,124.6771,119.7878,124.6771
2024-02-23,0,119.77201,124.66065,119.77201,124.66065
2024-02-26,0,123.09127,128.1154,123.09127,128.1154
2024-02-27,0,122.81214,127.82488,122.81214,127.82488
2024-02-28,0,119.00417,123.86149,119.00417,123.86149
2024-02-29,0,120.57138,125.49266,120.57138,125.49266
2024-03-01,0,115.98617,120.7203,115.98617,120.7203
2024-03-04,0,113.80689,118.452065,113.80689,118.452065
2024-03-05,0,114.56452,119.24062,114.56452,119.24062
2024-03-06,0,120.33749,125.249214,120.33749,125.249214
2024-03-07,0,118.83572,123.68615,118.83572,123.68615
2024-03-08,0,115.789764,120.51587,115.789764,120.51587
2024-03-11,0,116.11118,120.85041,116.11118,120.85041
2024-03-12,0,115.514786,120.229675,115.514786,120.229675
2024-03-13,0,116.85693,121.6266,116.85693,121.6266
2024-03-14,0,116.93219,121.704926,116.93219,121.704926
2024-03-15,0,118.23936,123.06545,118.23936,123.06545
2024-03-18,0,119.26163,124.12944,119.26163,124.12944
2024-03-19,0,120.75256,125.68123,120.75256,125.68123
2024-03-20,0,122.57551,127.57859,122.57551,127.57859
2024-03-21,0,122.71269,127.721375,122.71269,127.721375
2024-03-22,0,124.02535,129.0876,124.02535,129.0876
2024-03-25,0,123.636734,128.68312,123.636734,128.68312
2024-03-26,0,124.0213,129.08339,124.0213,129.08339
2024-03-27,0,124.6589,129.74701,124.6589,129.74701
2024-03-28,0,126.711624,131.88353,126.711624,131.88353
2024-03-29,0,126.35793,131.5154,126.35793,131.5154
2024-04-01,0,128.8959,134.15695,128.8959,134.15695
2024-04-02,0,129.10666,134.37631,129.10666,134.37631
2024-04-03,0,127.36293,132.56142,127.36293,132.56142
2024-04-04,0,127.45271,132.65486,127.45271,132.65486
