日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2022-01-25,0,164.2774,170.9826,164.2774,170.9826
2022-01-26,0,165.0124,171.7476,165.0124,171.7476
2022-01-27,0,167.17819,174.0018,167.17819,174.0018
2022-01-28,0,168.3542,175.22578,168.3542,175.22578
2022-01-31,0,168.8442,175.7358,168.8442,175.7358
2022-02-01,0,167.4624,174.2976,167.4624,174.2976
2022-02-02,0,169.3146,176.2254,169.3146,176.2254
2022-02-03,0,169.3048,176.2152,169.3048,176.2152
2022-02-04,0,168.1974,175.0626,168.1974,175.0626
2022-02-07,0,167.6388,174.4812,167.6388,174.4812
2022-02-08,0,168.0798,174.94019,168.0798,174.94019
2022-02-09,0,168.06021,174.9198,168.06021,174.9198
2022-02-10,0,166.0316,172.8084,166.0316,172.8084
2022-02-11,0,164.3558,171.06421,164.3558,171.06421
2022-02-14,0,162.28801,168.912,162.28801,168.912
2022-02-15,0,163.9638,170.65619,163.9638,170.65619
2022-02-16,0,163.86581,170.5542,163.86581,170.5542
2022-02-17,0,162.86621,169.5138,162.86621,169.5138
2022-02-18,0,160.0928,166.6272,160.0928,166.6272
2022-02-22,0,157.9172,164.3628,157.9172,164.3628
2022-02-23,-1,157.9956,164.4444,157.9956,164.4444
2022-02-24,0,154.9772,161.3028,154.9772,161.3028
2022-02-25,-1,162.68001,169.31999,162.68001,169.31999
2022-02-28,-1,161.27861,167.8614,161.27861,167.8614
2022-03-01,-1,160.72,167.28,160.72,167.28
2022-03-02,-1,162.7192,169.3608,162.7192,169.3608
2022-03-03,-1,165.1104,171.8496,165.1104,171.8496
2022-03-04,-1,166.0904,172.8696,166.0904,172.8696
2022-03-07,-1,168.76581,175.6542,168.76581,175.6542
2022-03-08,-1,165.34561,172.09439,165.34561,172.09439
2022-03-09,-1,165.97281,172.7472,165.97281,172.7472
2022-03-10,-1,166.2668,173.0532,166.2668,173.0532
2022-03-11,-1,165.96301,172.737,165.96301,172.737
2022-03-14,-1,168.25621,175.1238,168.25621,175.1238
2022-03-15,-1,172.6172,179.6628,172.6172,179.6628
2022-03-16,-1,171.0296,178.0104,171.0296,178.0104
2022-03-17,-1,173.264,180.336,173.264,180.336
2022-03-18,-1,171.3432,178.33679,171.3432,178.33679
2022-03-21,-1,172.3134,179.3466,172.3134,179.3466
2022-03-22,-1,171.5,178.5,171.5,178.5
2022-03-23,-1,170.8532,177.8268,170.8532,177.8268
2022-03-24,-1,171.73521,178.7448,171.73521,178.7448
2022-03-25,-1,173.3816,180.45839,173.3816,180.45839
2022-03-28,-1,174.2734,181.3866,174.2734,181.3866
2022-03-29,-1,174.18521,181.2948,174.18521,181.2948
2022-03-30,-1,175.9982,183.1818,175.9982,183.1818
2022-03-31,-1,173.6854,180.7746,173.6854,180.7746
2022-04-01,-1,174.6262,181.7538,174.6262,181.7538
2022-04-04,-1,172.9406,179.9994,172.9406,179.9994
2022-04-05,-1,174.0578,181.1622,174.0578,181.1622
2022-04-06,-1,178.5854,185.87459,178.5854,185.87459
2022-04-07,-1,178.1248,185.39519,178.1248,185.39519
2022-04-08,-1,178.4776,185.76239,178.4776,185.76239
2022-04-11,-1,176.2432,183.4368,176.2432,183.4368
2022-04-12,-1,176.302,183.49799,176.302,183.49799
2022-04-13,-1,177.04681,184.2732,177.04681,184.2732
2022-04-14,-1,176.302,183.49799,176.302,183.49799
2022-04-18,-1,174.10681,181.2132,174.10681,181.2132
2022-04-19,-1,179.41841,186.7416,179.41841,186.7416
2022-04-20,-1,180.2122,187.5678,180.2122,187.5678
2022-04-21,-1,179.69281,187.02719,179.69281,187.02719
2022-04-22,-1,177.9092,185.17079,177.9092,185.17079
2022-04-25,-1,182.2898,189.7302,182.2898,189.7302
2022-04-26,-1,180.98639,188.3736,180.98639,188.3736
2022-04-27,-1,178.45801,185.742,178.45801,185.742
2022-04-28,-1,179.79082,187.1292,179.79082,187.1292
2022-04-29,-1,176.85081,184.0692,176.85081,184.0692
2022-05-02,-1,175.0672,182.2128,175.0672,182.2128
2022-05-03,-1,174.7242,181.85579,174.7242,181.85579
2022-05-04,-1,176.596,183.804,176.596,183.804
2022-05-05,-1,173.2248,180.2952,173.2248,180.2952
2022-05-06,-1,172.8426,179.89738,172.8426,179.89738
2022-05-09,-1,173.7834,180.8766,173.7834,180.8766
2022-05-10,-1,173.5482,180.63179,173.5482,180.63179
2022-05-11,-1,172.6074,179.6526,172.6074,179.6526
2022-05-12,-1,174.31259,181.4274,174.31259,181.4274
2022-05-13,-1,173.313,180.38701,173.313,180.38701
2022-05-16,-1,174.5184,181.6416,174.5184,181.6416
2022-05-17,-1,175.2436,182.39641,175.2436,182.39641
2022-05-18,-1,171.99,179.01,171.99,179.01
2022-05-19,-1,170.46121,177.4188,170.46121,177.4188
2022-05-20,-1,173.4404,180.51959,173.4404,180.51959
