日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2022-05-11,-1,172.6074,179.6526,172.6074,179.6526
2022-05-12,0,174.31259,181.4274,174.31259,181.4274
2022-05-13,0,173.313,180.38701,173.313,180.38701
2022-05-16,0,174.5184,181.6416,174.5184,181.6416
2022-05-17,0,175.2436,182.39641,175.2436,182.39641
2022-05-18,0,171.99,179.01,171.99,179.01
2022-05-19,0,170.46121,177.4188,170.46121,177.4188
2022-05-20,0,173.4404,180.51959,173.4404,180.51959
2022-05-23,0,175.85121,183.0288,175.85121,183.0288
2022-05-24,0,177.772,185.02798,177.772,185.02798
2022-05-25,0,176.0276,183.21239,176.0276,183.21239
2022-05-26,0,175.8708,183.04921,175.8708,183.04921
2022-05-27,0,177.4682,184.71179,177.4682,184.71179
2022-05-31,0,175.9394,183.12059,175.9394,183.12059
2022-06-01,0,174.1558,181.2642,174.1558,181.2642
2022-06-02,0,173.607,180.693,173.607,180.693
2022-06-03,0,172.8916,179.9484,172.8916,179.9484
2022-06-06,0,172.872,179.928,172.872,179.928
2022-06-07,0,174.7732,181.9068,174.7732,181.9068
2022-06-08,0,173.7344,180.82559,173.7344,180.82559
2022-06-09,0,170.23581,177.1842,170.23581,177.1842
2022-06-10,0,169.099,176.001,169.099,176.001
2022-06-13,0,167.3938,174.2262,167.3938,174.2262
2022-06-14,0,164.8262,171.5538,164.8262,171.5538
2022-06-15,0,166.59021,173.3898,166.59021,173.3898
2022-06-16,0,166.6784,173.4816,166.6784,173.4816
2022-06-17,0,166.07082,172.8492,166.07082,172.8492
2022-06-21,0,169.5498,176.47018,169.5498,176.47018
2022-06-22,0,172.2252,179.2548,172.2252,179.2548
2022-06-23,0,176.0668,183.2532,176.0668,183.2532
2022-06-24,0,178.6442,185.93579,178.6442,185.93579
2022-06-27,0,178.4776,185.76239,178.4776,185.76239
2022-06-28,0,173.4012,180.4788,173.4012,180.4788
2022-06-29,0,173.45021,180.5298,173.45021,180.5298
2022-06-30,0,173.9598,181.0602,173.9598,181.0602
2022-07-01,0,175.92961,183.1104,175.92961,183.1104
2022-07-05,0,174.57721,181.70279,174.57721,181.70279
2022-07-06,0,174.73401,181.866,174.73401,181.866
2022-07-07,0,174.93001,182.06999,174.93001,182.06999
2022-07-08,0,174.7144,181.8456,174.7144,181.8456
2022-07-11,0,174.783,181.917,174.783,181.917
2022-07-12,0,172.33301,179.367,172.33301,179.367
2022-07-13,0,171.9312,178.9488,171.9312,178.9488
2022-07-14,0,172.1664,179.19359,172.1664,179.19359
2022-07-15,0,174.6654,181.79459,174.6654,181.79459
2022-07-18,0,170.74539,177.7146,170.74539,177.7146
2022-07-19,0,168.25621,175.1238,168.25621,175.1238
