日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2020-01-02,0,138.2682,143.91179,138.2682,143.91179
2020-01-03,1,135.5732,141.1068,135.5732,141.1068
2020-01-06,1,135.4654,140.9946,135.4654,140.9946
2020-01-07,1,133.16241,138.5976,133.16241,138.5976
2020-01-08,1,134.2012,139.6788,134.2012,139.6788
2020-01-09,1,134.69121,140.1888,134.69121,140.1888
2020-01-10,1,133.3486,138.79141,133.3486,138.79141
2020-01-13,1,134.456,139.944,134.456,139.944
2020-01-14,1,136.024,141.576,136.024,141.576
2020-01-15,1,133.98561,139.45439,133.98561,139.45439
2020-01-16,1,134.505,139.995,134.505,139.995
2020-01-17,1,135.436,140.96399,135.436,140.96399
2020-01-21,1,134.1032,139.5768,134.1032,139.5768
2020-01-22,1,133.9464,139.41359,133.9464,139.41359
2020-01-23,1,133.80919,139.2708,133.80919,139.2708
2020-01-24,1,130.487,135.81299,130.487,135.81299
2020-01-27,1,129.3894,134.6706,129.3894,134.6706
2020-01-28,1,131.7414,137.11859,131.7414,137.11859
2020-01-29,1,131.5454,136.9146,131.5454,136.9146
2020-01-30,1,133.1722,138.6078,133.1722,138.6078
2020-01-31,1,129.7128,135.0072,129.7128,135.0072
2020-02-03,1,130.70259,136.0374,130.70259,136.0374
2020-02-04,1,132.5842,137.99579,132.5842,137.99579
2020-02-05,0,134.8382,140.3418,134.8382,140.3418
2020-02-06,1,134.8578,140.3622,134.8578,140.3622
2020-02-07,0,134.4266,139.91339,134.4266,139.91339
2020-02-10,0,134.98521,140.4948,134.98521,140.4948
2020-02-11,0,135.24,140.76,135.24,140.76
2020-02-12,0,135.24,140.76,135.24,140.76
2020-02-13,0,135.1224,140.6376,135.1224,140.6376
2020-02-14,0,134.71082,140.2092,134.71082,140.2092
2020-02-18,0,132.9272,138.3528,132.9272,138.3528
2020-02-19,0,134.7402,140.2398,134.7402,140.2398
2020-02-20,0,134.7402,140.2398,134.7402,140.2398
2020-02-21,0,133.0938,138.5262,133.0938,138.5262
2020-02-24,0,129.5168,134.8032,129.5168,134.8032
2020-02-25,0,123.7348,128.7852,123.7348,128.7852
2020-02-26,0,124.1072,129.17279,124.1072,129.17279
2020-02-27,0,118.942604,123.7974,118.942604,123.7974
2020-02-28,0,113.7878,118.4322,113.7878,118.4322
2020-03-02,0,119.0896,123.95039,119.0896,123.95039
2020-03-03,0,114.620804,119.299194,114.620804,119.299194
2020-03-04,0,117.453,122.246994,117.453,122.246994
2020-03-05,0,111.690605,116.2494,111.690605,116.2494
2020-03-06,0,105.9184,110.2416,105.9184,110.2416
2020-03-09,0,91.571205,95.3088,91.571205,95.3088
2020-03-10,0,98.686,102.714,98.686,102.714
2020-03-11,0,94.0408,97.879196,94.0408,97.879196
2020-03-12,1,86.289,89.811005,86.289,89.811005
2020-03-13,0,101.8318,105.988205,101.8318,105.988205
2020-03-16,1,86.592804,90.1272,86.592804,90.1272
2020-03-17,0,91.8848,95.6352,91.8848,95.6352
2020-03-18,1,82.212204,85.567795,82.212204,85.567795
2020-03-19,1,83.594,87.006004,83.594,87.006004
2020-03-20,0,81.83,85.17,81.83,85.17
2020-03-23,1,77.4494,80.610596,77.4494,80.610596
2020-03-24,0,86.6614,90.1986,86.6614,90.1986
2020-03-25,0,89.89541,93.5646,89.89541,93.5646
2020-03-26,0,96.15761,100.0824,96.15761,100.0824
2020-03-27,0,89.307396,92.9526,89.307396,92.9526
2020-03-30,0,91.630005,95.369995,91.630005,95.369995
2020-03-31,0,88.2294,91.8306,88.2294,91.8306
2020-04-01,0,82.672806,86.047195,82.672806,86.047195
2020-04-02,0,85.7598,89.2602,85.7598,89.2602
2020-04-03,0,82.369,85.731,82.369,85.731
2020-04-06,0,87.6708,91.2492,87.6708,91.2492
2020-04-07,0,88.8272,92.4528,88.8272,92.4528
2020-04-08,0,92.414,96.186005,92.414,96.186005
2020-04-09,1,100.7048,104.8152,100.7048,104.8152
2020-04-13,0,96.226204,100.1538,96.226204,100.1538
2020-04-14,1,93.590004,97.409996,93.590004,97.409996
2020-04-15,0,88.974205,92.6058,88.974205,92.6058
2020-04-16,0,85.583405,89.0766,85.583405,89.0766
2020-04-17,0,93.276405,97.083595,93.276405,97.083595
2020-04-20,1,89.8758,93.5442,89.8758,93.5442
2020-04-21,0,87.269005,90.831,87.269005,90.831
2020-04-22,0,87.5532,91.12679,87.5532,91.12679
2020-04-23,0,87.6022,91.177795,87.6022,91.177795
2020-04-24,0,88.8958,92.5242,88.8958,92.5242
2020-04-27,0,92.72761,96.5124,92.72761,96.5124
2020-04-28,0,93.3842,97.1958,93.3842,97.1958
2020-04-29,1,95.9028,99.8172,95.9028,99.8172
2020-04-30,0,93.8448,97.6752,93.8448,97.6752
2020-05-01,0,91.385,95.115,91.385,95.115
2020-05-04,1,90.2972,93.982796,90.2972,93.982796
2020-05-05,0,90.16,93.84,90.16,93.84
2020-05-06,0,88.4646,92.07539,88.4646,92.07539
2020-05-07,1,89.3858,93.034195,89.3858,93.034195
2020-05-08,0,90.846,94.55399,90.846,94.55399
2020-05-11,0,88.1706,91.7694,88.1706,91.7694
2020-05-12,0,85.2894,88.7706,85.2894,88.7706
2020-05-13,0,82.3494,85.710594,82.3494,85.710594
2020-05-14,1,85.7696,89.27039,85.7696,89.27039
2020-05-15,1,84.18201,87.618,84.18201,87.618
2020-05-18,0,88.641,92.258995,88.641,92.258995
2020-05-19,1,86.8966,90.4434,86.8966,90.4434
2020-05-20,0,89.5034,93.1566,89.5034,93.1566
2020-05-21,0,88.3666,91.9734,88.3666,91.9734
2020-05-22,0,87.6806,91.2594,87.6806,91.2594
2020-05-26,0,93.9036,97.7364,93.9036,97.7364
2020-05-27,0,99.342606,103.3974,99.342606,103.3974
2020-05-28,0,97.8628,101.8572,97.8628,101.8572
2020-05-29,0,95.3638,99.256195,95.3638,99.256195
2020-06-01,0,96.628,100.572,96.628,100.572
2020-06-02,0,96.9514,100.9086,96.9514,100.9086
2020-06-03,0,102.1846,106.35539,102.1846,106.35539
2020-06-04,0,104.3112,108.5688,104.3112,108.5688
2020-06-05,0,109.0054,113.454605,109.0054,113.454605
2020-06-08,0,111.181,115.718994,111.181,115.718994
2020-06-09,0,108.3292,112.7508,108.3292,112.7508
2020-06-10,0,103.9388,108.1812,103.9388,108.1812
2020-06-11,0,95.2658,99.1542,95.2658,99.1542
2020-06-12,0,97.872604,101.8674,97.872604,101.8674
2020-06-15,0,99.225,103.275,99.225,103.275
2020-06-16,0,100.0188,104.1012,100.0188,104.1012
2020-06-17,1,97.4904,101.469604,97.4904,101.469604
2020-06-18,0,96.961205,100.9188,96.961205,100.9188
2020-06-19,0,95.8538,99.7662,95.8538,99.7662
2020-06-22,0,94.815,98.685,94.815,98.685
2020-06-23,0,95.971405,99.888596,95.971405,99.888596
2020-06-24,0,92.76681,96.5532,92.76681,96.5532
2020-06-25,1,96.0008,99.9192,96.0008,99.9192
2020-06-26,0,90.7382,94.441795,90.7382,94.441795
2020-06-29,1,91.14,94.86,91.14,94.86
2020-06-30,0,92.1788,95.94119,92.1788,95.94119
2020-07-01,1,91.394806,95.1252,91.394806,95.1252
2020-07-02,0,90.80681,94.5132,90.80681,94.5132
2020-07-06,1,93.1,96.9,93.1,96.9
2020-07-07,0,90.4736,94.1664,90.4736,94.1664
2020-07-08,0,91.434006,95.166,91.434006,95.166
2020-07-09,0,89.4544,93.1056,89.4544,93.1056
2020-07-10,0,94.3446,98.1954,94.3446,98.1954
2020-07-13,1,95.69701,99.603,95.69701,99.603
2020-07-14,1,96.245804,100.174194,96.245804,100.174194
2020-07-15,0,97.735405,101.7246,97.735405,101.7246
2020-07-16,0,98.0098,102.0102,98.0098,102.0102
2020-07-17,0,96.19681,100.1232,96.19681,100.1232
