日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
1970-01-01 00:00:00.000013207,0,98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000013208,[1.],98.00132980688477,102.00138408471682,98.00132980688477,102.00138408471682
1970-01-01 00:00:00.000013209,[1.],98.02441359091952,102.02541006401827,98.02441359091952,102.02541006401827
1970-01-01 00:00:00.000013210,[1.],98.03082547210236,102.03208365463716,98.03082547210236,102.03208365463716
1970-01-01 00:00:00.000013211,[1.],98.02312305214845,102.02406685019533,98.02312305214845,102.02406685019533
1970-01-01 00:00:00.000013212,[1.],97.79805850535888,101.78981599537354,97.79805850535888,101.78981599537354
1970-01-01 00:00:00.000013213,[1.],97.72689870049057,101.71575170867386,97.72689870049057,101.71575170867386
1970-01-01 00:00:00.000013214,[1.],97.79353866908798,101.78511167598953,97.79353866908798,101.78511167598953
1970-01-01 00:00:00.000013215,[1.],97.94033314883269,101.93789776715239,97.94033314883269,101.93789776715239
1970-01-01 00:00:00.000013216,[1.],98.04202877091214,102.04374423094939,98.04202877091214,102.04374423094939
1970-01-01 00:00:00.000013217,[1.],98.0463016740173,102.04819153826291,98.0463016740173,102.04819153826291
1970-01-01 00:00:00.000013218,[1.],98.07046814989772,102.07334440091395,98.07046814989772,102.07334440091395
1970-01-01 00:00:00.000013219,[1.],98.11452568686975,102.11920020470119,98.11452568686975,102.11920020470119
1970-01-01 00:00:00.000013220,[1.],97.94827192006525,101.94616056986385,97.94827192006525,101.94616056986385
1970-01-01 00:00:00.000013221,[1.],97.90511860763925,101.90124589774697,97.90511860763925,101.90124589774697
1970-01-01 00:00:00.000013222,[1.],98.00152049921181,102.00158256040413,98.00152049921181,102.00158256040413
1970-01-01 00:00:00.000013223,[1.],97.88172820839989,101.87690078833458,97.88172820839989,101.87690078833458
1970-01-01 00:00:00.000013224,[1.],97.8644507210708,101.85891809744103,97.8644507210708,101.85891809744103
1970-01-01 00:00:00.000013225,[1.],97.93086678349678,101.92804501955789,97.93086678349678,101.92804501955789
1970-01-01 00:00:00.000013226,[1.],97.86321481984933,101.85763175127175,97.86321481984933,101.85763175127175
1970-01-01 00:00:00.000013227,[1.],97.64895846794808,101.63463024215004,97.64895846794808,101.63463024215004
1970-01-01 00:00:00.000013228,[1.],97.56809095356591,101.55046201289512,97.56809095356591,101.55046201289512
1970-01-01 00:00:00.000013229,[1.],97.5523972013633,101.53412769937813,97.5523972013633,101.53412769937813
1970-01-01 00:00:00.000013230,[1.],97.07620193178857,101.03849588818812,97.07620193178857,101.03849588818812
1970-01-01 00:00:00.000013231,[1.],97.17910915479503,101.14560340601115,97.17910915479503,101.14560340601115
1970-01-01 00:00:00.000013232,[1.],97.03152476265329,100.99199516112894,97.03152476265329,100.99199516112894
1970-01-01 00:00:00.000013233,[1.],97.12267403217385,101.08686480899726,97.12267403217385,101.08686480899726
1970-01-01 00:00:00.000013234,[1.],97.45813373929514,101.43601674906228,97.45813373929514,101.43601674906228
1970-01-01 00:00:00.000013235,[1.],97.58101908863824,101.56391782695002,97.58101908863824,101.56391782695002
1970-01-01 00:00:00.000013236,[1.],97.78788568852686,101.77922796152795,97.78788568852686,101.77922796152795
1970-01-01 00:00:00.000013237,[1.],98.12831921965554,102.13355673882515,98.12831921965554,102.13355673882515
1970-01-01 00:00:00.000013238,[1.],98.08820710315315,102.09180739307779,98.08820710315315,102.09180739307779
1970-01-01 00:00:00.000013239,[1.],97.89002225019371,101.88553336244652,97.89002225019371,101.88553336244652
1970-01-01 00:00:00.000013240,[1.],98.0349421529403,102.0363683632644,98.0349421529403,102.0363683632644
1970-01-01 00:00:00.000013241,[1.],98.09430350062938,102.09815262310404,98.09430350062938,102.09815262310404
1970-01-01 00:00:00.000013242,[1.],98.59789609289088,102.6223000150497,98.59789609289088,102.6223000150497
1970-01-01 00:00:00.000013243,[1.],98.20918570724788,102.21772389938045,98.20918570724788,102.21772389938045
1970-01-01 00:00:00.000013244,[1.],98.25570395055843,102.26614084649958,98.25570395055843,102.26614084649958
1970-01-01 00:00:00.000013245,[1.],98.06888253255991,102.07169406450114,98.06888253255991,102.07169406450114
1970-01-01 00:00:00.000013246,[1.],98.15617183960413,102.16254620040431,98.15617183960413,102.16254620040431
1970-01-01 00:00:00.000013247,[1.],98.07715276853784,102.08030186113123,98.07715276853784,102.08030186113123
1970-01-01 00:00:00.000013248,[1.],97.96804977262187,101.96674568170849,97.96804977262187,101.96674568170849
