日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
1970-01-01 00:00:00.000007411,0,98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007412,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007413,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007414,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007415,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007416,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007417,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007418,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007419,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007420,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007421,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007422,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007423,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007424,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007425,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007426,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007427,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007428,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007429,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007430,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007431,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007432,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007433,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007434,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007435,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007436,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007437,[-1.],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000007438,[-1.],98.0,102.0,98.0,102.0
