日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2022-01-25,1,282.72018,294.2598,282.72018,294.2598
2022-01-26,0,290.7758,302.6442,290.7758,302.6442
2022-01-27,1,293.8432,305.8368,293.8432,305.8368
2022-01-28,1,302.09482,314.4252,302.09482,314.4252
2022-01-31,1,304.7604,317.19962,304.7604,317.19962
2022-02-01,1,302.5848,314.9352,302.5848,314.9352
2022-02-02,0,307.1908,319.7292,307.1908,319.7292
2022-02-03,0,295.225,307.275,295.225,307.275
2022-02-04,1,299.8212,312.0588,299.8212,312.0588
2022-02-07,0,294.93103,306.969,294.93103,306.969
2022-02-08,0,298.4688,310.65118,298.4688,310.65118
2022-02-09,1,304.9858,317.43417,304.9858,317.43417
2022-02-10,1,296.3324,308.4276,296.3324,308.4276
2022-02-11,0,289.13922,300.9408,289.13922,300.9408
2022-02-14,0,289.1,300.9,289.1,300.9
2022-02-15,0,294.4606,306.4794,294.4606,306.4794
2022-02-16,0,293.51,305.49,293.51,305.49
2022-02-17,0,284.9154,296.54462,284.9154,296.54462
2022-02-18,0,282.1714,293.6886,282.1714,293.6886
2022-02-22,0,281.9656,293.4744,281.9656,293.4744
2022-02-23,0,274.66458,285.8754,274.66458,285.8754
2022-02-24,0,288.6982,300.48178,288.6982,300.48178
2022-02-25,1,291.3638,303.2562,291.3638,303.2562
2022-02-28,1,292.8142,304.7658,292.8142,304.7658
2022-03-01,1,289.05103,300.849,289.05103,300.849
2022-03-02,1,294.18622,306.1938,294.18622,306.1938
2022-03-03,1,290.00162,301.8384,290.00162,301.8384
2022-03-04,1,284.0628,295.65717,284.0628,295.65717
2022-03-07,1,273.33182,284.4882,273.33182,284.4882
2022-03-08,1,270.333,281.367,270.333,281.367
2022-03-09,1,282.73,294.27,282.73,294.27
2022-03-10,1,279.8782,291.3018,279.8782,291.3018
2022-03-11,1,274.4686,285.67142,274.4686,285.67142
2022-03-14,1,270.9112,281.9688,270.9112,281.9688
2022-03-15,1,281.407,292.89297,281.407,292.89297
2022-03-16,1,288.50223,300.2778,288.50223,300.2778
2022-03-17,1,289.3156,301.1244,289.3156,301.1244
2022-03-18,1,294.4214,306.4386,294.4214,306.4386
2022-03-21,1,293.17682,305.1432,293.17682,305.1432
2022-03-22,1,297.9788,310.1412,297.9788,310.1412
2022-03-23,1,293.50018,305.4798,293.50018,305.4798
2022-03-24,1,298.018,310.182,298.018,310.182
2022-03-25,1,297.60638,309.7536,297.60638,309.7536
2022-03-28,0,304.48602,316.914,304.48602,316.914
2022-03-29,0,309.1018,321.7182,309.1018,321.7182
2022-03-30,0,307.5828,320.13718,307.5828,320.13718
2022-03-31,0,302.1438,314.4762,302.1438,314.4762
2022-04-01,0,303.23163,315.6084,303.23163,315.6084
2022-04-04,0,308.6706,321.2694,308.6706,321.2694
2022-04-05,0,304.6624,317.0976,304.6624,317.0976
2022-04-06,0,293.51,305.49,293.51,305.49
2022-04-07,0,295.3426,307.3974,295.3426,307.3974
2022-04-08,0,291.0306,302.9094,291.0306,302.9094
2022-04-11,0,279.5548,290.9652,279.5548,290.9652
2022-04-12,0,276.4188,287.7012,276.4188,287.7012
2022-04-13,0,281.8676,293.37238,281.8676,293.37238
2022-04-14,0,274.2334,285.42657,274.2334,285.42657
2022-04-18,0,274.9096,286.13037,274.9096,286.13037
2022-04-19,0,279.594,291.00598,279.594,291.00598
2022-04-20,0,280.63278,292.0872,280.63278,292.0872
2022-04-21,0,275.19382,286.42618,275.19382,286.42618
2022-04-22,0,268.5494,279.5106,268.5494,279.5106
2022-04-25,1,275.10562,286.33438,275.10562,286.33438
2022-04-26,1,264.8156,275.6244,264.8156,275.6244
2022-04-27,1,277.5556,288.8844,277.5556,288.8844
2022-04-28,1,283.8374,295.4226,283.8374,295.4226
2022-04-29,1,271.9696,283.07037,271.9696,283.07037
2022-05-02,1,278.7806,290.1594,278.7806,290.1594
2022-05-03,1,276.1444,287.4156,276.1444,287.4156
2022-05-04,1,284.18042,295.7796,284.18042,295.7796
2022-05-05,1,271.803,282.897,271.803,282.897
2022-05-06,1,269.2354,280.2246,269.2354,280.2246
2022-05-09,1,259.2884,269.87158,259.2884,269.87158
2022-05-10,1,264.11002,274.88998,264.11002,274.88998
2022-05-11,1,255.33899,265.761,255.33899,265.761
2022-05-12,1,250.24301,260.457,250.24301,260.457
2022-05-13,1,255.8976,266.34238,255.8976,266.34238
2022-05-16,1,256.27002,266.72998,256.27002,266.72998
2022-05-17,1,261.4836,272.1564,261.4836,272.1564
2022-05-18,0,248.99841,259.1616,248.99841,259.1616
2022-05-19,0,248.07721,258.2028,248.07721,258.2028
2022-05-20,0,247.5088,257.6112,247.5088,257.6112
2022-05-23,0,255.437,265.86298,255.437,265.86298
2022-05-24,0,254.4276,264.81238,254.4276,264.81238
2022-05-25,0,257.2696,267.7704,257.2696,267.7704
2022-05-26,0,260.582,271.218,260.582,271.218
2022-05-27,0,267.7752,278.70477,267.7752,278.70477
2022-05-31,0,266.4326,277.3074,266.4326,277.3074
2022-06-01,0,266.97162,277.8684,266.97162,277.8684
2022-06-02,0,269.08838,280.0716,269.08838,280.0716
2022-06-03,0,264.6196,275.42038,264.6196,275.42038
2022-06-06,0,263.375,274.125,263.375,274.125
2022-06-07,0,267.05002,277.94998,267.05002,277.94998
2022-06-08,0,265.0018,275.8182,265.0018,275.8182
2022-06-09,0,259.4942,270.08582,259.4942,270.08582
2022-06-10,0,247.9302,258.0498,247.9302,258.0498
2022-06-13,0,237.4148,247.1052,237.4148,247.1052
2022-06-14,0,239.6002,249.3798,239.6002,249.3798
2022-06-15,0,246.7248,256.7952,246.7248,256.7952
2022-06-16,1,240.0706,249.8694,240.0706,249.8694
2022-06-17,1,242.697,252.60298,242.697,252.60298
2022-06-21,1,248.6652,258.8148,248.6652,258.8148
