日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2022-05-11,0,162.974,169.626,162.974,169.626
2022-05-12,0,158.515,164.985,158.515,164.985
2022-05-13,0,173.5188,180.6012,173.5188,180.6012
2022-05-16,0,169.18721,176.09279,169.18721,176.09279
2022-05-17,0,178.13461,185.4054,178.13461,185.4054
2022-05-18,0,165.9924,172.76761,165.9924,172.76761
2022-05-19,0,167.81522,174.6648,167.81522,174.6648
2022-05-20,0,163.60121,170.2788,163.60121,170.2788
2022-05-23,0,165.6004,172.35959,165.6004,172.35959
2022-05-24,0,158.3092,164.77078,158.3092,164.77078
2022-05-25,0,166.355,173.145,166.355,173.145
2022-05-26,1,174.9398,182.08018,174.9398,182.08018
2022-05-27,1,184.34781,191.8722,184.34781,191.8722
2022-05-31,1,182.98561,190.45439,182.98561,190.45439
2022-06-01,1,179.536,186.864,179.536,186.864
2022-06-02,1,192.0016,199.8384,192.0016,199.8384
2022-06-03,1,183.456,190.944,183.456,190.944
2022-06-06,1,184.1028,191.6172,184.1028,191.6172
2022-06-07,1,185.4748,193.0452,185.4748,193.0452
2022-06-08,1,182.7504,190.2096,182.7504,190.2096
2022-06-09,1,176.87039,184.0896,176.87039,184.0896
2022-06-10,1,166.34521,173.1348,166.34521,173.1348
2022-06-13,1,153.3406,159.5994,153.3406,159.5994
2022-06-14,1,155.19281,161.52719,155.19281,161.52719
2022-06-15,1,161.96461,168.5754,161.96461,168.5754
2022-06-16,1,152.8898,159.13019,152.8898,159.13019
2022-06-17,1,155.62401,161.976,155.62401,161.976
2022-06-21,1,162.3468,168.9732,162.3468,168.9732
2022-06-22,1,160.328,166.87201,160.328,166.87201
2022-06-23,1,159.005,165.495,159.005,165.495
2022-06-24,1,167.8348,174.6852,167.8348,174.6852
2022-06-27,0,165.31621,172.0638,165.31621,172.0638
2022-06-28,0,156.62361,163.0164,156.62361,163.0164
2022-06-29,0,152.3116,158.5284,152.3116,158.5284
2022-06-30,0,148.5582,154.6218,148.5582,154.6218
2022-07-01,0,142.3254,148.1346,142.3254,148.1346
2022-07-05,0,146.6472,152.6328,146.6472,152.6328
2022-07-06,0,148.274,154.326,148.274,154.326
2022-07-07,0,155.4084,161.7516,155.4084,161.7516
2022-07-08,0,155.2124,161.5476,155.2124,161.5476
2022-07-11,0,148.48961,154.5504,148.48961,154.5504
2022-07-12,0,147.8036,153.83641,147.8036,153.83641
2022-07-13,0,148.60721,154.67279,148.60721,154.67279
2022-07-14,0,150.6456,156.7944,150.6456,156.7944
2022-07-15,0,154.4676,160.77238,154.4676,160.77238
2022-07-18,0,157.7898,164.2302,157.7898,164.2302
2022-07-19,0,166.5216,173.31839,166.5216,173.31839
2022-07-20,0,174.5086,181.63141,174.5086,181.63141
2022-07-21,0,176.89,184.11,176.89,184.11
2022-07-22,0,169.72621,176.6538,169.72621,176.6538
2022-07-25,1,166.8352,173.6448,166.8352,173.6448
2022-07-26,1,162.0234,168.6366,162.0234,168.6366
2022-07-27,1,174.342,181.458,174.342,181.458
2022-07-28,1,176.2432,183.4368,176.2432,183.4368
2022-07-29,1,177.9974,185.2626,177.9974,185.2626
2022-08-01,1,180.7218,188.0982,180.7218,188.0982
2022-08-02,1,181.5548,188.9652,181.5548,188.9652
2022-08-03,1,185.1514,192.70859,185.1514,192.70859
2022-08-04,1,188.30699,195.993,188.30699,195.993
2022-08-05,1,186.09221,193.68779,186.09221,193.68779
2022-08-08,1,174.3714,181.48859,174.3714,181.48859
2022-08-09,1,167.44281,174.27719,167.44281,174.27719
2022-08-10,1,177.3506,184.5894,177.3506,184.5894
2022-08-11,1,175.8316,183.00839,175.8316,183.00839
2022-08-12,1,183.3482,190.83179,183.3482,190.83179
2022-08-15,1,186.51361,194.1264,186.51361,194.1264
2022-08-16,1,185.01419,192.5658,185.01419,192.5658
2022-08-17,0,179.68301,187.017,179.68301,187.017
2022-08-18,0,183.9754,191.48459,183.9754,191.48459
2022-08-19,0,174.92021,182.0598,174.92021,182.0598
2022-08-22,0,166.9332,173.7468,166.9332,173.7468
2022-08-23,0,168.3738,175.2462,168.3738,175.2462
2022-08-24,0,168.7756,175.6644,168.7756,175.6644
2022-08-25,0,175.54741,182.7126,175.54741,182.7126
2022-08-26,0,159.348,165.852,159.348,165.852
2022-08-29,0,154.8498,161.1702,154.8498,161.1702
2022-08-30,0,151.5864,157.77359,151.5864,157.77359
2022-08-31,0,147.9212,153.9588,147.9212,153.9588
2022-09-01,0,136.5826,142.1574,136.5826,142.1574
2022-09-02,0,133.7406,139.1994,133.7406,139.1994
2022-09-06,0,131.957,137.34299,131.957,137.34299
