日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2022-01-25,0,86.7594,90.3006,86.7594,90.3006
2022-01-26,0,88.2098,91.8102,88.2098,91.8102
2022-01-27,0,87.906,91.493996,87.906,91.493996
2022-01-28,0,87.131805,90.6882,87.131805,90.6882
2022-01-31,0,85.946,89.453995,85.946,89.453995
2022-02-01,0,88.2588,91.8612,88.2588,91.8612
2022-02-02,0,88.5528,92.1672,88.5528,92.1672
2022-02-03,0,87.1122,90.6678,87.1122,90.6678
2022-02-04,0,90.062004,93.738,90.062004,93.738
2022-02-07,0,91.2772,95.0028,91.2772,95.0028
2022-02-08,0,93.0608,96.8592,93.0608,96.8592
2022-02-09,0,92.6296,96.41039,92.6296,96.41039
2022-02-10,0,90.993004,94.70699,90.993004,94.70699
2022-02-11,0,87.327805,90.8922,87.327805,90.8922
2022-02-14,0,85.9852,89.4948,85.9852,89.4948
2022-02-15,0,87.8472,91.4328,87.8472,91.4328
2022-02-16,0,87.5434,91.1166,87.5434,91.1166
2022-02-17,0,84.2996,87.740395,84.2996,87.740395
2022-02-18,0,83.897804,87.3222,83.897804,87.3222
2022-02-22,0,82.8786,86.2614,82.8786,86.2614
2022-02-23,1,80.899,84.201004,80.899,84.201004
2022-02-24,1,80.624596,83.9154,80.624596,83.9154
2022-02-25,1,84.035,87.465,84.035,87.465
2022-02-28,1,82.7708,86.1492,82.7708,86.1492
2022-03-01,1,76.3028,79.4172,76.3028,79.4172
2022-03-02,1,80.1738,83.4462,80.1738,83.4462
2022-03-03,1,79.0958,82.324196,79.0958,82.324196
2022-03-04,1,77.6454,80.814606,77.6454,80.814606
2022-03-07,1,74.8328,77.8872,74.8328,77.8872
2022-03-08,1,74.1762,77.203804,74.1762,77.203804
2022-03-09,1,77.8022,80.9778,77.8022,80.9778
2022-03-10,1,78.057,81.243004,78.057,81.243004
2022-03-11,1,78.6352,81.844795,78.6352,81.844795
2022-03-14,1,81.5948,84.9252,81.5948,84.9252
2022-03-15,1,81.5066,84.8334,81.5066,84.8334
2022-03-16,0,87.1612,90.7188,87.1612,90.7188
2022-03-17,-1,87.9844,91.5756,87.9844,91.5756
2022-03-18,-1,88.200005,91.799995,88.200005,91.799995
2022-03-21,-1,87.229805,90.7902,87.229805,90.7902
2022-03-22,-1,90.355995,94.044,90.355995,94.044
2022-03-23,-1,87.955,91.545,87.955,91.545
2022-03-24,-1,89.111404,92.7486,89.111404,92.7486
2022-03-25,-1,89.5328,93.1872,89.5328,93.1872
2022-03-28,-1,89.964005,93.636,89.964005,93.636
2022-03-29,-1,89.3956,93.0444,89.3956,93.0444
2022-03-30,-1,86.9848,90.5352,86.9848,90.5352
2022-03-31,0,82.6238,85.99619,82.6238,85.99619
2022-04-01,0,81.8692,85.2108,81.8692,85.2108
2022-04-04,1,80.65401,83.946,80.65401,83.946
2022-04-05,1,80.2228,83.4972,80.2228,83.4972
2022-04-06,1,79.2526,82.487404,79.2526,82.487404
2022-04-07,1,78.4294,81.6306,78.4294,81.6306
2022-04-08,0,80.056206,83.3238,80.056206,83.3238
2022-04-11,0,79.9484,83.2116,79.9484,83.2116
2022-04-12,1,78.468605,81.671394,78.468605,81.671394
2022-04-13,-1,82.153404,85.5066,82.153404,85.5066
2022-04-14,0,81.095,84.405,81.095,84.405
2022-04-18,1,73.4412,76.438805,73.4412,76.438805
2022-04-19,1,75.362,78.438,75.362,78.438
2022-04-20,1,74.921,77.979,74.921,77.979
2022-04-21,1,71.804596,74.7354,71.804596,74.7354
2022-04-22,1,68.913605,71.726395,68.913605,71.726395
2022-04-25,1,68.9038,71.716194,68.9038,71.716194
2022-04-26,1,67.169205,69.9108,67.169205,69.9108
2022-04-27,1,67.208405,69.9516,67.208405,69.9516
2022-04-28,1,67.7376,70.5024,67.7376,70.5024
2022-04-29,1,65.0034,67.6566,65.0034,67.6566
2022-05-02,1,66.5322,69.247795,66.5322,69.247795
2022-05-03,1,68.0708,70.8492,68.0708,70.8492
2022-05-04,1,69.9328,72.7872,69.9328,72.7872
2022-05-05,1,68.453,71.246994,68.453,71.246994
2022-05-06,1,66.0716,68.768394,66.0716,68.768394
2022-05-09,1,62.847397,65.4126,62.847397,65.4126
2022-05-10,1,63.288403,65.8716,63.288403,65.8716
2022-05-11,1,63.817604,66.4224,63.817604,66.4224
2022-05-12,1,63.650997,66.24899,63.650997,66.24899
2022-05-13,1,64.2978,66.9222,64.2978,66.9222
2022-05-16,1,62.7592,65.3208,62.7592,65.3208
2022-05-17,1,63.896,66.504,63.896,66.504
2022-05-18,1,62.0046,64.5354,62.0046,64.5354
2022-05-19,1,61.4068,63.9132,61.4068,63.9132
2022-05-20,1,62.0144,64.5456,62.0144,64.5456
2022-05-23,1,63.9646,66.57539,63.9646,66.57539
2022-05-24,1,62.6612,65.218796,62.6612,65.218796
2022-05-25,1,64.484,67.116005,64.484,67.116005
2022-05-26,1,67.4436,70.196396,67.4436,70.196396
2022-05-27,1,69.1782,72.00179,69.1782,72.00179
2022-05-31,1,68.698,71.502,68.698,71.502
2022-06-01,1,68.178604,70.961395,68.178604,70.961395
2022-06-02,0,70.2366,73.10339,70.2366,73.10339
2022-06-03,1,68.6686,71.4714,68.6686,71.4714
2022-06-06,1,66.6988,69.421196,66.6988,69.421196
2022-06-07,1,66.1402,68.8398,66.1402,68.8398
2022-06-08,1,64.415405,67.0446,64.415405,67.0446
2022-06-09,1,62.965,65.534996,62.965,65.534996
2022-06-10,1,60.9756,63.4644,60.9756,63.4644
2022-06-13,1,59.035202,61.4448,59.035202,61.4448
2022-06-14,1,59.887802,62.3322,59.887802,62.3322
2022-06-15,1,60.2798,62.740196,60.2798,62.740196
