timestamp,ticker,strategy,run_id,success,description,lookback,lookahead,stride,depth,total_return,annualized_return,sharpe_ratio,max_drawdown,volatility,num_trades,gp_expression,Discovered Expressions,Expression Complexities,final_portfolio_value,algorithm
20260306_200900,GE,buy_and_hold,1,True,买入持有策略,50,10,1,300,0.1292103850758759,0.22987196789551412,0.7967623339974786,0.23633896533288562,0.32684562175331916,0.0,,,,,
20260306_200900,GE,macd,1,True,MACD交叉策略,50,10,1,300,0.3326927998664908,0.630715486354223,2.154969251221548,0.16953595499078702,0.2405112484002495,6.0,,,,,
20260306_200900,GE,arima,1,True,ARIMA时间序列预测,50,10,1,300,0.1022035336851772,0.18020997101637737,0.6694079180203519,0.14869756445796364,0.32696647510118776,18.0,,,,,
20260306_200900,GE,gp,1,True,遗传编程策略,50,10,1,300,0.4528458100492039,0.8889115582504246,2.125487812633423,0.1494041434364596,0.3243624837120615,32.0,X15,,,,
20260306_200900,GE,gbdt,1,True,GBDT梯度提升决策树策略,50,10,1,300,-0.015850654675042652,-0.027763668683016607,0.06558697647458382,0.2557502338304901,0.3101482352410718,55.0,,,,,
20260306_200900,GE,lstm,1,True,LSTM神经网络策略,50,10,1,300,-0.1022801518754195,-0.1678286496060395,-0.4347850204161355,0.1830704259259036,0.3114225048874258,9.0,,,,,
20260306_200900,GE,transformer,1,True,Transformer模型策略,50,10,1,300,-0.016241349782304626,-0.02749612840274329,-0.16192277178294193,0.11749823408049372,0.12415954980087594,27.0,,,,,
20260306_200900,GE,eata,1,True,EATA强化学习策略,50,10,1,300,1.2704834232028306,0.34856656688359156,0.8645205443201146,0.3160716818051985,0.4297659675039946,,,"['sin(1.1655*x5)', 'sin(0.9047*x5)', 'sin(x5)', 'sin(0.0546*x5) + sin(x5)', 'sin(0.0157*x5) + sin(x5)', 'x3*x4 + 0.312*x3 + sin(0.4111*x5)', 'x3*x4 + 0.3354*x3 + sin(0.3142*x5)', '0.3936*x3 + x4', 'x3*x4 + 0.3875*x3 + sin(0.0554*x5)', 'x3*x4 + 0.4002*x3 + sin(0.0425*x5)', 'x3*x4 + 0.3715*x3 + sin(0.1809*x5)', 'x3*x4 + sin(0.0216*x5) + 0.0283*x3*exp(sin(sin(x2)))**(1/4)/x2', 'x3*x4 + 0.3897*x3 + sin(0.0155*x5)', 'sin(0.4727*x3 + x4)', 'x3*x4 + 0.3714*x3 - sin(0.337*x5)', 'x3*x4 + 0.4044*x3 - sin(0.4469*x5)', 'x3*x4 + 0.3939*x3 + x5 - sin(1.4772*x5)', 'sin(0.4632*x3 + x4)', 'x3*x4 + 0.4159*x3 + x5 - sin(1.5131*x5)', 'x3*x4 + 0.4903*x3 + x5 - sin(1.3727*x5)', 'x3*x4 + 0.542*x3 + x5 - sin(1.6512*x5)', 'sin(0.5489*x3 + x4)', '0.5449*x3 + x4', 'sin(0.5497*x3 + x4)', 'x3', 'x3', 'sin(0.6094*x3 + x4)', '-1.1655*x3 + sin(2.09*x3 + x4)', '-1.2853*x3 + sin(2.297*x3 + x4)', '-1.304*x3 + sin(2.2598*x3 + x4)', '-1.2386*x3 + sin(2.1189*x3 + x4)', 'x3', 'sin(0.5873*x3 + x4)', 'sin(0.5589*x3 + x4)', '-1.3423*x3 + sin(2.2019*x3 + x4)', '-1.3352*x3 + sin(2.1756*x3 + x4)', 'x3', 'sin(0.5446*x3 + x4)', 'sin(0.5464*x3 + x4)', '0.52440968*x3 + x4', '0.5029*x3 + x4', 'sin(0.5606*x3 + x4)', 'sin(0.575*x3 + x4)', 'sin(0.6177*x3 + x4)', '-1.5207*x3 + sin(2.969*x3 + x4)', 'sin(0.625*x3 + x4)', 'sin(0.6157*x3 + x4)', '-1.3766*x3 + sin(2.6097*x3 + x4)', '-1.455*x3 + sin(2.8244*x3 + x4)', '-1.3058*x3 + sin(2.5258*x3 + x4)', '-1.0748*x3 + sin(2.1316*x3 + x4)', 'sin(sin(0.7855*x3 + x4))', '1.0722*x3 - 0.2452*sin(1.4595*x3 + x4)', 'sin(sin(0.7889*x3 + x4))', '1.4069*x3 - 0.3193*sin(2.7538*x3 + x4)', '1.2252*x3 - 0.2308*sin(2.7638*x3 + x4)', '0.7368*x3 + x4', 'sin(0.7633*x3 + x4)', 'sin(0.7688*x3 + x4)', 'x3', 'sin(0.8109*x3 + x4)', '0.8275*x3 + x4 - 1.0547*x5', '0.8355*x3 + x4 - 1.0116*x5', '0.8095*x3 + x4 - 0.9461*x5', '0.835*x3 + x4 - 1.0006*x5', '0.80111988*x3 + x4 - 1.0458*x5', '0.7047*x3 + x4', '0.9156*x3 + 0.1347*sin(11.9068*x3 + x4)', '0.8694*x3 + 0.1026*sin(11.6523*x3 + x4)', '0.6985*x3 + x4', '0.72158346*x3 + x4 - 1.1772*x5', '0.6662*x3 + 0.1285*sin(176.9807*x3 + x4)', '-0.2602*x0 + 0.7433*x3 - 0.15097646*sin(0.0811*x3 + x4)', '-0.3145*x0 + 0.6054*x3 + 0.239902*sin(0.5938*x3 - x4)', '-0.5086*x3 + 0.6133*sin(2.3367*x3 - x4)', '-0.3354*x0 + 0.5698*x3 + 0.10959078*sin(4.7051*x3 + x4)', '-0.3405*x0 + 0.5922*x3 + 0.08696664*sin(4.3816*x3 + x4)', '-0.3548*x0 + 0.6262*x3 + 0.07110896*sin(4.3021*x3 + x4)', '-0.3184*x0 + 0.5785*x3 + 0.09053306*sin(5.6605*x3 + x4)', '-0.3338*x0 + 0.5703*x3 + 0.0622804*sin(5.1311*x3 + x4)', '0.6432*x3 + x4 - 1.4659*x5', '-0.3434*x0 + 0.7435*x3 + 0.07390915*sin(24.1758*x3 - x4)', '-0.3359*x0 + 0.704*x3 + 0.06758184*sin(24.5255*x3 - x4)', '-0.28*x0 + 0.792*x3 - 0.39749567*sin(0.295*x3 + x4)', 'sin(0.4933*x3 + 0.1751*sin(6.4954*x3 + x4))', '0.5511*x3 + 0.15169013*sin(6.7955*x3 + x4)', '0.3753*x3 + 0.20913425*sin(5.9066*x3 + x4)', '0.4107*x3 + 0.20104931*sin(6.0284*x3 + x4)', '-0.9439*x3 + 0.69846348*sin(3.1082*x3 - x4)', '0.2756*sin(4.7566*x3 + x4)', 'sin(sin(0.5724*x3 + x4))', '-0.1896*x0 - 1.4009*x3 + 1.02576936*sin(2.5483*x3 - x4)', '0.2977*sin(3.6106*x3 + x4)', 'log(exp(sin(0.6415*x3 + x4)))', '-0.0612*x0 + 0.2622*x3 + 0.4138397*sin(1.2287*x3 - x4)', '-0.0446*x0 + 0.0906*x3 + 0.4572348*sin(1.4891*x3 - x4)', '-0.0617*x0 + 0.2189*x3 + 0.42680303*sin(1.2189*x3 - x4)', '1.3887*x3 - 0.335*sin(2.2455*x3 + x4)', '1.6675*x3 - 0.4744*sin(2.2744*x3 + x4)', '-0.0757*x0 + 2.0015*x3 - 0.6461268*sin(2.5043*x3 + x4)', '-0.1108*x0 + 2.2718*x3 - 0.77914452*sin(2.5667*x3 + x4)', 'sin(3.5898*x3 - 1.4231*sin(2.5811*x3 + x4))', 'sin(2.4847*x3 - 0.9382*sin(2.2189*x3 + x4))', '2.5654*x3 - 0.9723*sin(2.2942*x3 + x4)', 'x3', '2.2436*x3 - 0.77409024*sin(2.3843*x3 + x4)', '1.9486*x3 - 0.6566732*sin(2.1599*x3 + x4)', 'x3', '2.1959*x3 - 0.70421016*sin(2.6939*x3 + x4)', '2.2115*x3 - 0.7120009*sin(2.6933*x3 + x4)', '2.4569*x3 - 0.86195*sin(2.5722*x3 + x4)', '-0.1839*x0 + 0.5252*x3 + 0.41047928*sin(0.5097*x3 - x4)', '-0.2073*x0 + 0.5638*x3 + 0.35202382*sin(0.5162*x3 - x4)', '1.4601*x3 - 0.40924622*sin(2.1061*x3 + x4)', '1.0988*x3 - 0.28668092*sin(1.401*x3 + x4)', '1.6779*x3 - 0.4582*sin(2.2615*x3 + x4)', '1.6985*x3 - 0.4451*sin(2.5592*x3 + x4)', '2.1525*x3 - 0.7429*sin(2.1186*x3 + x4)', '1.9889*x3 - 0.68659239572*sin(1.9761*x3 + x4)', '2.2095*x3 - 0.811542472416*sin(2.0472*x3 + x4)', '2.1409*x3 - 0.8536*sin(1.7619*x3 + x4)', '2.2986*x3 - 0.9415*sin(1.7786*x3 + x4)', 'sin(2.2674*x3 - 0.9519*sin(1.6406*x3 + x4))', 'x3', 'x3', '1.9018*x3 - 0.77200445*sin(1.4985*x3 + x4)', '-1.601*x5 + sin(0.8851*x3 + x4)', 'x3', '1.516*x3 - 0.29945904*sin(2.7499*x3 + x4)', '-0.7801*x5 + sin(0.8632*x3 + x4)', '-0.791*x5 + sin(0.8621*x3 + x4)', '-0.8358*x5 + sin(0.8587*x3 + x4)', '0.8179*x3', '0.8023*x3 - 0.08919673*sin(0.0329*x3 - x4)', '0.7833*x3 + 0.09727344*sin(x4)', '0.8006*x3 + 0.0617609*sin(0.0568*x3 + x4)', '1.4286*x3 - 0.28446182*sin(3.4167*x3 + x4)', '1.6824*x3 - 0.41962905*sin(3.4955*x3 + x4)', '1.5292*x3 - 0.36587519*sin(3.7922*x3 + x4)', '0.668*x3 - 0.09340548*sin(8.0347*x3 - x4)', 'x3 - 0.2033*sin(5.5465*x3 - x4)', '-0.7364*x5 + sin(0.753*x3 + x4)', '1.7887*x3 - 0.47724417*sin(3.5493*x3 - x4)', '-0.55636598*x5 + sin(0.7923*x3 + x4)', '-0.9023*x5 + sin(0.7457*x3 + x4)', '0.6611*x3 + 0.0661155*sin(0.8003*x3 + x4)', '-0.9129*x5 + sin(0.7317*x3 + x4)', '-0.9911*x5 + sin(0.6901*x3 + x4)', '-1.0222*x5 + sin(0.6922*x3 + x4)', '-1.0194*x5 + sin(0.6948*x3 + x4)', '-1.0765*x5 + sin(0.6969*x3 + x4)', '-1.0335*x5 + sin(0.6811*x3 + x4)', '-1.1385*x5 + sin(0.6715*x3 + x4)', '-1.18*x5 + sin(0.6947*x3 + x4)', '2.0295*x3 - 0.61735103*sin(3.2441*x3 + x4)', 'x5 + sin(6.5662*x3 + x4) - sin(sin(7.339*x3 - x4))', 'x5 + sin(6.5983*x3 + x4) - sin(sin(7.3753*x3 - x4))', 'x5 + sin(6.5698*x3 + x4) - sin(sin(7.3458*x3 - x4))', '2.0*x3 - 0.5891*sin(3.8182*x3 - x4)', '-1.22325147*x5 + sin(0.7663*x3 + x4)', '2.1759*x3 - 0.65896743*sin(3.012*x3 + x4)', 'x5 + sin(6.5826*x3 + x4) - sin(sin(7.4227*x3 - x4))', 'x5 + sin(6.5595*x3 + x4) - sin(sin(7.3962*x3 - x4))', '-1.41108128*x5 + sin(0.7871*x3 + x4)', '-1.35185785*x5 + sin(0.841*x3 + x4)', 'x3', 'x3', 'x3', 'x3', 'x3', 'x3', '-1.23605292*x5 + sin(0.8319*x3 + x4)', '-1.0976*x5 + sin(0.8464*x3 + x4)', 'x3', '2.0*x3 - 0.5448*sin(3.7861*x3 - x4)', '2.0*x3 - 0.564*sin(3.9357*x3 - x4)', '2.3488*x3 - 0.72292326*sin(3.5758*x3 + x4)', '3.1597*x3 - 1.178401193472*sin(2.7323*x3 + x4)', '3.0*x3 - 1.0327*sin(3.5772*x3 - x4)', '-1.39112172*x5 + sin(0.7846*x3 + x4)', 'x3 - 0.2445*sin(6.2309*x3 - x4)', 'x3 - 0.2766*sin(6.3406*x3 - x4)', 'x3 - 0.2651*sin(5.9833*x3 - x4)', '2.5445*x3 - 0.86714784*sin(3.0861*x3 + x4)', '2.4764*x3 - 0.832082008779*sin(3.1782*x3 + x4)', '2.5032*x3 - 0.84825196491*sin(3.176*x3 + x4)', '2.8099*x3 - 1.00286976*sin(3.122*x3 + x4)', 'x3 - 0.2749*sin(5.7838*x3 - x4)', 'x3 - 0.2745*sin(5.7523*x3 - x4)', 'x3 - 0.248*sin(5.5947*x3 - x4)', 'x3 - 0.2835*sin(5.5859*x3 - x4)', 'x3 - 0.2705*sin(5.5723*x3 - x4)', 'x3 - 0.239*sin(5.3569*x3 - x4)', 'x3 - 0.2625*sin(5.5647*x3 - x4)', 'x3 - 0.2938*sin(5.6653*x3 - x4)', 'x3 - 0.3076*sin(5.7482*x3 - x4)', '0.0472*x3 - 0.36338436*sin(10.5799*x3 + x4)', '0.1271*x3 - 0.317943*sin(10.5686*x3 + x4)', '0.1553*x3 - 0.30102975*sin(10.6295*x3 + x4)', 'x3 - 0.2453*sin(5.3388*x3 - x4)', 'x3 - 0.2068*sin(4.5016*x3 - x4)', 'x3 - 0.2357*sin(4.9772*x3 - x4)', '0.2582*x3 - 0.2126832*sin(10.279*x3 + x4)', '0.5427*x3 + 0.5725824*sin(0.1834*x3 + x4)', '0.5421*x3 + 0.5174178*sin(0.2177*x3 + x4)', 'x3 - 0.2493*sin(5.4019*x3 - x4)', 'x3 - 0.2746*sin(5.521*x3 - x4)', '0.54*x3 + 0.43505406*sin(0.198*x3 + x4)', '0.4008*x3 - 0.2125942*sin(9.6255*x3 + x4)', 'x3 - 0.2314*sin(5.9625*x3 - x4)', 'x3 - 0.2408*sin(5.9423*x3 - x4)', 'x3 - 0.2418*sin(5.9524*x3 - x4)', 'x3 - 0.1987*sin(5.8338*x3 - x4)', 'x3 - 0.2184*sin(5.9425*x3 - x4)', '2.0*x3 - 0.59075735*sin(3.3959*x3 - x4)', '2.0*x3 - 0.5953932*sin(3.3843*x3 - x4)', '2.0*x3 - 0.61292069*sin(3.7637*x3 - x4)', '2.0*x3 - 0.6070154*sin(3.6115*x3 - x4)', '2.0*x3 - 0.61121697*sin(3.5796*x3 - x4)', '2.0*x3 - 0.6074488*sin(3.5284*x3 - x4)', '0.865*x3 - 0.20033365896687*sin(6.1373*x3 + x4)', '0.7791*x3 - 0.19372748*sin(6.5619*x3 + x4)', 'x3 - 0.2389*sin(5.363*x3 - x4)', '1.4412*x3 - 0.37786051956*sin(4.3862*x3 + x4)', 'x3 - 0.2469*sin(5.5327*x3 - x4)', 'x3 - 0.2488*sin(5.6112*x3 - x4)', '2.859*x3 - 1.06717222428*sin(2.6987*x3 + x4)', '2.5141*x3 - 0.9981529501468*sin(2.2162*x3 + x4)', '2.7369*x3 - 1.07770109915481*sin(2.3442*x3 + x4)', '-1.7062504*x5 + sin(0.6855*x3 + x4)', '-1.48823354375*x5 + sin(0.7207*x3 + x4)', '-1.47408896*x5 + sin(0.712*x3 + x4)', '-1.469038166297*x5 + sin(0.7261*x3 + x4)', 'x3 - 0.1975*sin(4.7651*x3 - x4)', 'x3 - 0.2011*sin(4.8586*x3 - x4)', 'x3 - 0.1958*sin(4.7894*x3 - x4)', 'x3 - 0.1965*sin(4.6951*x3 - x4)', 'x3 - 0.2335*sin(5.0047*x3 - x4)', 'x3 - 0.2295*sin(5.2649*x3 - x4)', 'x3 - 0.2797*sin(5.4963*x3 - x4)', 'x3 - 0.3192*sin(5.5746*x3 - x4)', 'x3 - 0.2799*sin(5.4345*x3 - x4)', 'x3 - 0.2205*sin(4.91*x3 - x4)', 'x3 - 0.2197*sin(4.988*x3 - x4)', '3.0113*x3 - 1.21062370742352*sin(2.5638*x3 + x4)', 'x3 - 0.2651*sin(5.3531*x3 - x4)', 'x3 - 0.2203*sin(5.1278*x3 - x4)', 'x3 - 0.2379*sin(5.2189*x3 - x4)', 'x3 - 0.264*sin(5.2383*x3 - x4)', '0.5775*x3 - 6.70184525329482*sin(0.1307*x3 - x4)*sin(3.2306*sin(4.0161*x3 + x4))', '2.9628*x3 - 1.09332648214908*sin(3.1953*x3 + x4)', '2.0*x3 - 0.6482*sin(3.8728*x3 - x4)', '2.0*x3 - 0.629*sin(3.7865*x3 - x4)', '2.0*x3 - 0.643057*sin(3.6946*x3 - x4)', '3.0*x3 - 1.1291*sin(2.9128*x3 - x4)', 'x3 - 0.2565*sin(4.7613*x3 - x4)', 'x3 - 0.2545*sin(4.734*x3 - x4)', '2.3054*x3 - 0.837655937834912*sin(3.1627*x3 + x4)', '1.8533*x3 - 0.620552380769779*sin(3.3741*x3 + x4)', 'x3 - 0.3125*sin(5.0917*x3 - x4)', '3.004*x3 - 1.14691991928745*sin(3.0662*x3 + x4)', 'x3 - 0.3111*sin(5.3256*x3 - x4)', 'x3 - 0.2892*sin(5.2597*x3 - x4)', '2.0*x3 - 0.6664*sin(3.8203*x3 - x4)', '3.1594*x3 - 1.23304932*sin(2.7598*x3 + x4)', '2.869*x3 - 1.10357504*sin(2.5436*x3 + x4)', '2.8523*x3 - 1.10538142*sin(2.422*x3 + x4)', 'sin(2.7285*x3 - 1.038975277851*sin(2.3823*x3 + x4))', '2.0*x3 - 0.62196056*sin(3.1692*x3 - x4)', '2.0*x3 - 0.6279*sin(3.265*x3 - x4)', '2.0*x3 - 0.6025*sin(3.4583*x3 - x4)', 'sin(1.6412*x3 - 0.451491247152*sin(3.0673*x3 + x4))', 'sin(1.6461*x3 - 0.4540896741*sin(3.2935*x3 + x4))', '2.0257*x3 - 0.65132292297744*sin(3.1181*x3 + x4)', 'sin(2.6419*x3 - 0.928720713949879*sin(3.1279*x3 + x4))', '-0.9481*x5 + sin(0.6702*x3 + x4)', '1.9714*x3 - 0.605897503836735*sin(3.1929*x3 + x4)', '2.0454*x3 - 0.648897509340561*sin(3.0951*x3 + x4)', '2.0684*x3 - 0.650489296667748*sin(3.0916*x3 + x4)', 'sin(2.654*x3 - 0.907101576522*sin(3.1743*x3 + x4))', 'sin(1.8061*x3 - 0.49645950744*sin(3.8387*x3 + x4))', '2.0*x3 - 0.585*sin(3.2896*x3 - x4)', '0.691*x3 + 0.102113080289703*sin(0.2641*x3 + x4)', 'sin(1.969*x3 - 0.574622632702633*sin(3.6194*x3 + x4))', '2.1443*x3 - 0.680549543158831*sin(3.3091*x3 + x4)', '2.2511*x3 - 0.730732189755711*sin(3.4984*x3 + x4)', '2.0017*x3 - 0.621008898002691*sin(3.4434*x3 + x4)', '2.234*x3 - 0.745625732568*sin(3.1959*x3 + x4)', '1.429*x3 - 0.376290603506209*sin(3.6717*x3 + x4)', '1.8587*x3 - 0.578603751434488*sin(3.3658*x3 + x4)', '2.0*x3 - 0.63242256*sin(3.3102*x3 - x4)', '2.0*x3 - 0.65296951*sin(3.3188*x3 - x4)', '2.0*x3 - 0.6436*sin(3.4935*x3 - x4)']","[5, 5, 3, 9, 9, 13, 13, 5, 13, 13, 13, 30, 13, 7, 13, 13, 15, 7, 15, 15, 15, 7, 5, 7, 1, 1, 7, 11, 11, 11, 11, 1, 7, 7, 11, 11, 1, 7, 7, 5, 5, 7, 7, 7, 11, 7, 7, 11, 11, 11, 11, 9, 13, 9, 13, 13, 5, 7, 7, 1, 7, 9, 9, 9, 9, 9, 5, 13, 13, 5, 9, 13, 17, 17, 13, 17, 17, 17, 17, 17, 9, 17, 17, 17, 15, 13, 13, 13, 13, 9, 9, 17, 9, 11, 17, 17, 17, 13, 13, 17, 17, 15, 15, 13, 1, 13, 13, 1, 13, 13, 13, 17, 17, 13, 13, 13, 13, 13, 13, 13, 13, 13, 15, 1, 1, 13, 11, 1, 13, 11, 11, 11, 3, 13, 9, 13, 13, 13, 13, 13, 11, 11, 13, 11, 11, 13, 11, 11, 11, 11, 11, 11, 11, 11, 13, 19, 19, 19, 13, 11, 13, 19, 19, 11, 11, 1, 1, 1, 1, 1, 1, 11, 11, 1, 13, 13, 13, 13, 13, 11, 11, 11, 11, 13, 13, 13, 13, 11, 11, 11, 11, 11, 11, 11, 11, 11, 13, 13, 13, 11, 11, 11, 13, 13, 13, 11, 11, 13, 13, 11, 11, 11, 11, 11, 13, 13, 13, 13, 13, 13, 13, 13, 11, 13, 11, 11, 13, 13, 13, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 13, 11, 11, 11, 11, 25, 13, 13, 13, 13, 13, 11, 11, 13, 13, 11, 13, 11, 11, 13, 13, 13, 13, 15, 13, 13, 13, 15, 15, 13, 15, 11, 13, 13, 13, 15, 15, 13, 13, 15, 13, 13, 13, 13, 13, 13, 13, 13, 13]",,
20260306_200900,GE,finrl_ppo,1,True,FinRL PPO强化学习策略,50,10,1,300,0.0,0.0,0.0,0.0,,149.0,,,,1000000.0,PPO
20260306_200900,GE,finrl_a2c,1,True,FinRL A2C强化学习策略,50,10,1,300,0.12584465202127038,0.2219804464786339,1.1651424716010848,0.1485839624662638,0.18836911044619983,149.0,,,,1125844.6520212705,A2C
