timestamp,ticker,strategy,run_id,success,description,lookback,lookahead,stride,depth,total_return,annualized_return,sharpe_ratio,max_drawdown,num_trades,volatility,final_portfolio_value,algorithm
20260126_051933,HD,buy_and_hold,1,True,买入持有策略,50,10,1,300,0.1128160716269595,0.21555088980363935,0.9424142738738254,0.14896027091461145,0.0,,,
20260126_051933,HD,macd,1,True,MACD交叉策略,50,10,1,300,0.1394665307837637,0.26923489438929593,1.46675111080937,0.0860174140880295,9.0,,,
20260126_051933,HD,arima,1,True,ARIMA时间序列预测,50,10,1,300,0.012080162980125264,0.022169419681568714,0.2111797169230211,0.16494155054578039,12.0,,,
20260126_051933,HD,gp,1,True,遗传编程策略,50,10,1,300,0.29442291291110023,0.6019939519731419,2.1216509316600995,0.08753696637532932,32.0,,,
20260126_051933,HD,gbdt,1,True,GBDT梯度提升决策树策略,50,10,1,300,0.09296562814955966,0.18344796218360093,0.8688550805671555,0.16494155054578125,28.0,,,
20260126_051933,HD,lstm,1,True,LSTM神经网络策略,50,10,1,300,-0.18298181558616533,-0.3086029953273606,-1.6351250137553048,0.25424713319351133,1.0,,,
20260126_051933,HD,transformer,1,True,Transformer模型策略,50,10,1,300,-0.056794277514281566,-0.10127023039274774,-1.0078255614913438,0.0660623101021339,2.0,,,
20260126_051933,HD,eata,1,True,EATA强化学习策略,50,10,1,300,0.43436304980802465,0.15185210193894516,0.6030323843568244,0.33032687180596604,,,,
20260126_051933,HD,finrl_ppo,1,True,FinRL PPO强化学习策略,50,10,1,300,0.09763065978774343,0.18398201887186527,1.0193156659102485,0.13242179586627267,139.0,0.18330429204513146,1097630.6597877434,PPO
20260126_051933,HD,finrl_a2c,1,True,FinRL A2C强化学习策略,50,10,1,300,0.14871375308223667,0.2857632211078589,1.3134517511237973,0.13244165458608909,139.0,0.20938513889765306,1148713.7530822367,A2C
20260126_051933,HD,finrl_sac,1,True,FinRL SAC强化学习策略,50,10,1,300,0.0,0.0,0.0,0.0,139.0,,1000000.0,SAC
20260126_051933,HD,finrl_td3,1,True,FinRL TD3强化学习策略,50,10,1,300,0.0,0.0,0.0,0.0,139.0,,1000000.0,TD3
20260126_051933,HD,finrl_ddpg,1,True,FinRL DDPG强化学习策略,50,10,1,300,0.0,0.0,0.0,0.0,139.0,,1000000.0,DDPG
