Method,AR (%),SR,MDD (%),Win Rate,Calmar,N_stocks,N_records
MACD,15.419965568510992,0.5922564274638458,15.94717304976998,66.27906976744185,0.9669403799900076,58,86
DDPG (FinRL),10.725590299887935,0.5415100576817086,17.652293149517018,70.0,0.6076032280362055,10,10
EATA,17.606487278267746,0.540604207459987,33.967603834349916,78.02197802197803,0.518331742331,58,91
Buy \& Hold,13.788859594687894,0.5143629567124112,24.57431883563199,63.95348837209303,0.561108516859254,58,86
A2C (FinRL),9.829946031180311,0.4693243954611756,21.26194884113065,58.139534883720934,0.46232573056353865,33,43
PPO (FinRL),7.995292317167856,0.3997380569604862,16.585721782657192,65.51724137931035,0.4820587504083246,42,58
SAC (FinRL),11.172553664103768,0.3983078800125593,20.80463853269901,56.666666666666664,0.5370222436954948,24,30
GBDT,11.36448072553842,0.31679415566957647,20.647033822677635,51.94805194805194,0.5504171118786206,54,77
TD3 (FinRL),5.701282449594338,0.24376548966854478,21.21920592611949,56.75675675675676,0.2686850049641312,32,37
ARIMA,8.522016048823238,0.2353931940325721,25.43480927380944,58.139534883720934,0.33505327117190026,58,86
LightGBM,0.16480026000474196,0.18116479871054514,51.742770995233926,55.55555555555556,0.003184991001350157,9,9
Transformer,3.4628911043414083,0.09732074550094154,9.985624523961203,53.75,0.3467876341666923,55,80
GP,4.644547490931424,0.08452555053426368,27.2301532556252,47.674418604651166,0.1705663367859288,58,86
LSTM,-7.48623427774264,-0.3410220419979305,25.977624282398015,36.04651162790697,-0.28818009670018907,58,86
