,value
2014-02-05,1000823.36
2014-02-06,991766.4
2014-02-07,963978.0
2014-02-10,927132.6400000001
2014-02-11,954006.0800000001
2014-02-12,958175.9800000001
2014-02-13,969779.1800000002
2014-02-14,985733.5800000001
2014-02-18,990447.3800000001
2014-02-19,969235.2800000001
2014-02-20,976305.9800000001
2014-02-21,981563.68
2014-02-24,982107.5800000003
2014-02-25,993529.4800000003
2014-02-26,995523.7800000004
2014-02-27,988634.3800000004
2014-02-28,991897.7800000003
2014-03-03,996974.1800000003
2014-03-04,943853.2800000004
2014-03-05,940408.5800000003
2014-03-06,929123.8400000004
2014-03-07,933638.7800000004
2014-03-10,938822.6000000003
2014-03-11,933638.7800000004
2014-03-12,925445.0000000002
2014-03-13,943170.3200000003
2014-03-14,940717.5600000004
2014-03-17,953259.9600000004
2014-03-18,953434.1600000004
2014-03-19,953608.3600000005
2014-03-20,964757.1600000003
2014-03-21,994719.5600000002
2014-03-24,1012487.9600000003
2014-03-25,1012487.9600000003
2014-03-26,1035822.6600000001
2014-03-27,1029331.5600000002
2014-03-28,1054312.4600000004
2014-03-31,1051755.3600000003
2014-04-01,1053328.9600000004
2014-04-02,1058836.5600000003
2014-04-03,1045645.9600000003
2014-04-04,1025502.0600000004
2014-04-07,1033518.5100000004
2014-04-08,1008441.4100000004
2014-04-09,987269.7600000001
2014-04-10,1013580.1600000001
2014-04-11,1023035.4600000002
2014-04-14,1040918.31
2014-04-15,1036601.76
2014-04-16,1017280.0600000002
2014-04-17,1010085.81
2014-04-21,988503.0600000002
2014-04-22,978636.66
2014-04-23,979458.86
2014-04-24,984392.06
2014-04-25,988708.6100000001
2014-04-28,991586.3100000002
2014-04-29,1012963.5100000001
2014-04-30,997136.16
2014-05-01,1008852.51
2014-05-02,1003097.1100000002
2014-05-05,998369.4600000001
2014-05-06,979869.9600000001
2014-05-07,983158.76
2014-05-08,983775.41
2014-05-09,974731.2100000002
2014-05-12,976946.1799999999
2014-05-13,980327.1199999999
2014-05-14,979012.3099999999
2014-05-15,919094.5399999999
2014-05-16,916277.09
2014-05-19,926795.5700000001
2014-05-20,915901.4299999999
2014-05-21,914962.28
2014-05-22,908388.23
2014-05-23,908576.0599999999
2014-05-27,906697.7599999999
2014-05-28,911581.3399999999
2014-05-29,894864.4699999999
2014-05-30,890732.2099999998
2014-06-02,873317.03
2014-06-03,871360.1299999999
2014-06-04,887015.3299999998
2014-06-05,892530.2299999999
2014-06-06,891818.6299999999
2014-06-09,903560.0299999998
2014-06-10,897867.23
2014-06-11,896977.7299999999
2014-06-12,898400.9299999998
2014-06-13,894665.0299999998
2014-06-16,891462.8299999998
2014-06-17,888082.7299999999
2014-06-18,877408.7299999999
2014-06-19,881322.5299999998
2014-06-20,886572.9499999998
2014-06-23,890468.6599999998
2014-06-24,896033.9599999997
2014-06-25,922561.8899999998
2014-06-26,919222.7099999997
2014-06-27,909947.2099999997
2014-06-30,899929.6699999998
2014-07-01,892694.7799999998
2014-07-02,894920.8999999998
2014-07-03,898631.0999999997
2014-07-07,890654.1699999998
2014-07-08,887871.5199999998
2014-07-09,888984.5799999998
2014-07-10,899929.6699999998
2014-07-11,901970.2799999998
2014-07-14,910503.7399999998
2014-07-15,903639.8699999998
2014-07-16,905309.4599999997
2014-07-17,911245.7799999998
2014-07-18,911245.7799999998
2014-07-21,907535.5799999998
2014-07-22,911245.7799999998
2014-07-23,914955.9799999997
2014-07-24,917553.1199999998
2014-07-25,916254.5499999998
2014-07-28,923860.4599999997
2014-07-29,946307.1699999998
2014-07-30,948347.7799999998
2014-07-31,939072.2799999998
2014-08-01,924045.9699999999
2014-08-04,927199.6399999998
2014-08-05,915698.0199999998
2014-08-06,908277.6199999996
2014-08-07,923674.9499999996
2014-08-08,913657.4099999997
2014-08-11,915512.5099999995
2014-08-12,916435.2899999996
2014-08-13,919990.1899999997
2014-08-14,932151.6899999996
2014-08-15,929532.2899999997
2014-08-18,933461.3899999995
2014-08-19,927661.2899999996
2014-08-20,932525.8899999995
2014-08-21,933461.3899999995
2014-08-22,929906.4899999995
2014-08-25,919615.9899999996
2014-08-26,918867.5899999995
2014-08-27,928596.7899999996
2014-08-28,923170.8899999995
2014-08-29,921112.7899999996
2014-09-02,922422.4899999996
2014-09-03,923357.9899999995
2014-09-04,922983.7899999996
2014-09-05,912319.0899999996
2014-09-08,911009.3899999997
2014-09-09,924293.4899999996
2014-09-10,931540.4899999996
2014-09-11,924246.0899999996
2014-09-12,916586.9699999996
2014-09-15,910933.8099999997
2014-09-16,932817.0099999997
2014-09-17,927893.2899999997
2014-09-18,932269.9299999996
2014-09-19,939381.9699999996
2014-09-22,942299.7299999996
2014-09-23,935370.0499999996
2014-09-24,947588.1699999997
2014-09-25,941387.9299999996
2014-09-26,931905.2099999996
2014-09-29,943029.1699999997
2014-09-30,933364.0899999996
2014-10-01,921510.6899999997
2014-10-02,915675.1699999997
2014-10-03,927346.2099999996
2014-10-06,932087.5699999996
2014-10-07,907651.3299999997
2014-10-08,915675.1699999997
2014-10-09,902727.6099999996
2014-10-10,916951.6899999997
2014-10-13,895250.8499999997
