,value
2014-02-05,1000000.0
2014-02-06,1000000.0
2014-02-07,1000000.0
2014-02-10,1000000.0
2014-02-11,985770.3600000001
2014-02-12,991183.81
2014-02-13,999071.9800000001
2014-02-14,986389.04
2014-02-18,982763.7600000002
2014-02-19,977201.5500000002
2014-02-20,975998.9100000001
2014-02-21,972390.9900000002
2014-02-24,998548.4100000001
2014-02-25,1000051.7100000001
2014-02-26,1009221.84
2014-02-27,1007417.8799999999
2014-02-28,1010006.0399999997
2014-03-03,1007120.3199999997
2014-03-04,1010006.0399999997
2014-03-05,1006968.4399999996
2014-03-06,1014714.3199999996
2014-03-07,1012891.7599999995
2014-03-10,1007120.3199999996
2014-03-11,1012587.9999999997
2014-03-12,1023748.1299999997
2014-03-13,1020363.4299999994
2014-03-14,1024671.2299999994
2014-03-17,1035286.8799999997
2014-03-18,1047748.7299999994
2014-03-19,1038517.7299999995
2014-03-20,1044671.7299999996
2014-03-21,1038210.0299999996
2014-03-24,1039440.8299999996
2014-03-25,1052210.3799999994
2014-03-26,1055441.2299999995
2014-03-27,1066056.8799999997
2014-03-28,1082364.9799999995
2014-03-31,1082364.9799999995
2014-04-01,1081749.5799999996
2014-04-02,1090672.8799999994
2014-04-03,1080057.2299999995
2014-04-04,1080364.9299999995
2014-04-07,1068980.0299999996
2014-04-08,1078057.1799999995
2014-04-09,1100673.1299999997
2014-04-10,1072518.5799999994
2014-04-11,1090365.1799999997
2014-04-14,1100211.5799999996
2014-04-15,1122212.1299999994
2014-04-16,1135135.5299999996
2014-04-17,1150366.6799999995
2014-04-21,1147751.2299999995
2014-04-22,1141135.6799999995
2014-04-23,1138827.9299999995
2014-04-24,1146058.8799999994
2014-04-25,1144674.2299999995
2014-04-28,1148520.4799999995
2014-04-29,1148982.0299999996
2014-04-30,1143289.5799999996
2014-05-01,1154366.7799999996
2014-05-02,1177290.4299999995
2014-05-05,1182982.8799999994
2014-05-06,1185906.0299999996
2014-05-07,1201752.5799999996
2014-05-08,1184829.0799999996
2014-05-09,1194521.6299999994
2014-05-12,1206368.0799999994
2014-05-13,1209906.6299999994
2014-05-14,1208214.2799999996
2014-05-15,1201752.5799999996
2014-05-16,1200983.3299999996
2014-05-19,1206675.7799999996
2014-05-20,1208368.1299999997
2014-05-21,1208214.2799999996
2014-05-22,1207137.3299999994
2014-05-23,1206675.7799999996
2014-05-27,1216060.6299999997
2014-05-28,1224214.6799999995
2014-05-29,1223906.9799999995
2014-05-30,1229907.1299999994
2014-06-02,1222830.0299999996
2014-06-03,1228060.9299999995
2014-06-04,1227753.2299999995
2014-06-05,1231599.4799999995
2014-06-06,1243753.6299999997
2014-06-09,1243907.4799999995
2014-06-10,1255907.7799999993
2014-06-11,1260830.9799999995
2014-06-12,1274831.3299999996
2014-06-13,1278216.0299999996
2014-06-16,1287600.8799999994
2014-06-17,1288523.9799999995
2014-06-18,1296062.6299999994
2014-06-19,1304216.6799999995
2014-06-20,1313293.8299999996
