,value
2014-02-05,997988.8999999999
2014-02-06,989352.9999999999
2014-02-07,975985.0999999999
2014-02-10,966521.0999999999
2014-02-11,965338.1
2014-02-12,971962.8999999998
2014-02-13,979735.9999999999
2014-02-14,979621.88
2014-02-18,971176.9999999999
2014-02-19,961933.28
2014-02-20,971405.24
2014-02-21,966498.08
2014-02-24,970948.7599999999
2014-02-25,979507.7599999999
2014-02-26,979076.6299999998
2014-02-27,986272.9699999999
2014-02-28,967237.4899999994
2014-03-03,955282.2799999996
2014-03-04,959112.5899999996
2014-03-05,955746.5599999995
2014-03-06,940541.3899999994
2014-03-07,933925.3999999996
2014-03-10,936953.4499999995
2014-03-11,943198.0099999995
2014-03-12,940340.3299999996
2014-03-13,931238.0899999996
2014-03-14,922982.5699999996
2014-03-17,926051.9299999995
2014-03-18,927957.0499999996
2014-03-19,923935.1299999997
2014-03-20,926898.6499999994
2014-03-21,950924.3299999996
2014-03-24,936847.6099999996
2014-03-25,943092.1699999995
2014-03-26,934942.4899999995
2014-03-27,929968.0099999995
2014-03-28,939387.7699999996
2014-03-31,961084.9699999995
2014-04-01,967329.5299999996
2014-04-02,972727.3699999996
2014-04-03,974420.8099999996
2014-04-04,971986.4899999995
2014-04-07,964789.3699999996
2014-04-08,979501.1299999997
2014-04-09,988391.6899999995
2014-04-10,981617.9299999995
2014-04-11,973891.6099999996
2014-04-14,978442.7299999995
2014-04-15,977384.3299999996
2014-04-16,985957.3699999996
2014-04-17,988603.3699999996
2014-04-21,985639.8499999996
2014-04-22,987968.3299999996
2014-04-23,990402.6499999994
2014-04-24,993789.5299999996
2014-04-25,985851.5299999996
2014-04-28,981935.4499999995
2014-04-29,992096.0899999996
2014-04-30,987968.3299999996
2014-05-01,986698.2499999995
2014-05-02,983523.0499999996
2014-05-05,981088.7299999995
2014-05-06,975585.0499999996
2014-05-07,956957.2099999995
2014-05-08,955252.8499999996
2014-05-09,955860.7699999997
2014-05-12,948869.6899999997
2014-05-13,948464.4099999997
2014-05-14,945120.8499999995
2014-05-15,950085.5299999996
2014-05-16,949477.6099999995
2014-05-19,974098.3699999995
2014-05-20,962851.8499999995
2014-05-21,962547.8899999995
2014-05-22,962446.5699999996
2014-05-23,962547.8899999995
2014-05-27,953023.8099999995
2014-05-28,953125.1299999995
2014-05-29,951200.0499999996
2014-05-30,950490.8099999995
2014-06-02,950389.4899999994
2014-06-03,953834.3699999995
2014-06-04,953834.3699999995
2014-06-05,949173.6499999996
2014-06-06,939041.6499999996
2014-06-09,931949.2499999995
2014-06-10,937521.8499999995
2014-06-11,947957.8099999995
2014-06-12,957583.2099999995
2014-06-13,957583.2099999995
2014-06-16,958596.4099999995
2014-06-17,956266.0499999996
2014-06-18,950288.1699999996
2014-06-19,946336.6899999996
2014-06-20,944939.6499999997
2014-06-23,938266.7499999997
2014-06-24,942989.1099999995
2014-06-25,941859.8499999995
2014-06-26,945247.6299999995
2014-06-27,941038.5699999996
2014-06-30,943810.3899999995
2014-07-01,948635.4099999995
2014-07-02,945863.5899999995
2014-07-03,935289.6099999995
2014-07-07,937639.8099999996
2014-07-08,930720.7199999995
2014-07-09,940015.0199999997
2014-07-10,950755.0999999996
2014-07-11,946521.0299999996
2014-07-14,946727.5699999996
2014-07-15,946211.2199999996
2014-07-16,937020.1899999996
2014-07-17,957880.7299999995
2014-07-18,955815.3299999996
2014-07-21,955712.0599999996
2014-07-22,947863.5399999996
2014-07-23,957674.1899999996
2014-07-24,962527.8799999995
2014-07-25,970892.7499999997
2014-07-28,972545.0699999996
2014-07-29,974403.9299999996
2014-07-30,978534.7299999995
2014-07-31,981839.3699999996
2014-08-01,983388.4199999997
2014-08-04,980187.0499999997
2014-08-05,979980.5099999995
2014-08-06,978741.2699999997
2014-08-07,979154.3499999996
2014-08-08,962527.8799999995
2014-08-11,960669.0199999997
2014-08-12,967691.3799999995
2014-08-13,988242.1099999996
2014-08-14,984111.3099999996
2014-08-15,985040.7399999996
2014-08-18,971512.3699999996
2014-08-19,975643.1699999997
2014-08-20,973990.8499999996
2014-08-21,970479.6699999997
2014-08-22,985453.8199999996
2014-08-25,981839.3699999996
2014-08-26,1001873.7499999997
2014-08-27,994851.3899999997
2014-08-28,993612.1499999997
2014-08-29,992372.9099999996
2014-09-02,995677.5499999997
2014-09-03,1001873.7499999997
2014-09-04,1002493.3699999996
2014-09-05,1005798.0099999995
2014-09-08,1004352.2299999995
2014-09-09,1011374.5899999996
2014-09-10,1014162.8799999995
2014-09-11,1013130.1799999996
2014-09-12,1014472.6899999996
2014-09-15,1006933.9799999995
2014-09-16,1016320.6899999996
2014-09-17,1024163.8899999993
2014-09-18,1031271.7899999996
2014-09-19,1025021.7399999994
2014-09-22,1026247.2399999994
2014-09-23,1021100.1399999993
2014-09-24,1026614.8899999994
2014-09-25,1018771.6899999994
2014-09-26,1004555.8899999995
2014-09-29,1010560.8399999995
2014-09-30,1014850.0899999996
2014-10-01,1020242.2899999996
2014-10-02,1018281.4899999996
2014-10-03,1012766.7399999996
2014-10-06,1004433.3399999995
2014-10-07,1039114.9899999995
2014-10-08,1023183.4899999995
2014-10-09,1025144.2899999995
2014-10-10,1027227.6399999995
2014-10-13,1019016.7899999995
2014-10-14,1045197.7799999996
2014-10-15,1052259.5099999995
2014-10-16,1042224.4199999996
2014-10-17,1031941.5499999996
2014-10-20,1018437.5399999996
2014-10-21,1038012.1599999996
2014-10-22,1033552.1199999995
2014-10-23,1055232.8699999996
2014-10-24,1058454.0099999995
2014-10-27,1047923.3599999995
2014-10-28,1059197.3499999994
2014-10-29,1054985.0899999996
2014-10-30,1093638.7699999996
2014-10-31,1059816.7999999996
2014-11-03,1053126.7399999995
2014-11-04,1047551.6899999995
2014-11-05,1052755.0699999996
2014-11-06,1087444.2699999996
2014-11-07,1098470.4799999995
2014-11-10,1096983.7999999996
2014-11-11,1095868.7899999996
2014-11-12,1093638.7699999996
2014-11-13,1083603.6799999995
2014-11-14,1084347.0199999996
2014-11-17,1075550.8299999996
2014-11-18,1081497.5499999996
2014-11-19,1069604.1099999994
2014-11-20,1057710.6699999997
2014-11-21,1078771.9699999995
2014-11-24,1084347.0199999996
2014-11-25,1087692.0499999996
2014-11-26,1077780.8499999994
2014-11-28,1073196.9199999997
2014-12-01,1109868.3599999994
2014-12-02,1094134.3299999996
2014-12-03,1117301.7599999995
2014-12-04,1109744.4699999995
2014-12-05,1111726.7099999995
2014-12-08,1100700.4999999995
2014-12-09,1105160.5399999996
2014-12-10,1118292.8799999992
2014-12-11,1112470.0499999993
2014-12-12,1132044.6699999992
2014-12-15,1118912.3299999991
2014-12-16,1114823.9599999993
2014-12-17,1103178.2999999993
2014-12-18,1085423.5799999994
2014-12-19,1092211.8999999992
2014-12-22,1093908.9799999993
2014-12-23,1101303.3999999992
2014-12-24,1094151.4199999992
2014-12-26,1093908.9799999993
2014-12-29,1092696.7799999993
2014-12-30,1084453.8199999991
2014-12-31,1102758.0399999993
2015-01-02,1104333.8999999994
2015-01-05,1127244.4799999995
2015-01-06,1135972.3199999994
2015-01-07,1140457.4599999995
2015-01-08,1126759.5999999996
2015-01-09,1136942.0799999994
2015-01-12,1139366.4799999995
2015-01-13,1134032.7999999993
2015-01-14,1126880.8199999994
2015-01-15,1118152.9799999993
2015-01-16,1116940.7799999996
2015-01-20,1119001.5199999996
2015-01-21,1112940.5199999996
2015-01-22,1117961.5899999999
2015-01-23,1103474.3499999996
2015-01-26,1104473.4699999997
2015-01-27,1074624.7599999998
2015-01-28,1109344.18
2015-01-29,1092733.8099999998
2015-01-30,1101725.89
2015-02-02,1083616.8399999999
2015-02-03,1091757.0399999998
2015-02-04,1092372.94
2015-02-05,1097792.86
2015-02-06,1096068.34
2015-02-09,1095698.8
2015-02-10,1093235.2
2015-02-11,1094097.46
2015-02-12,1100872.36
2015-02-13,1109125.42
2015-02-17,1107647.26
2015-02-18,1142507.2
2015-02-19,1129696.48
2015-02-20,1138565.44
2015-02-23,1120704.34
2015-02-24,1127109.7
2015-02-25,1128587.86
2015-02-26,1123167.94
2015-02-27,1116023.4999999998
2015-03-02,1121320.24
2015-03-03,1124276.5599999998
2015-03-04,1114175.8
2015-03-05,1114298.98
2015-03-06,1111835.3800000001
2015-03-09,1133515.0599999998
2015-03-10,1120827.5199999998
2015-03-11,1111465.84
2015-03-12,1110849.94
2015-03-13,1102350.5199999998
2015-03-16,1098039.22
2015-03-17,1091757.0399999998
2015-03-18,1073895.9400000002
2015-03-19,1089170.2600000002
2015-03-20,1075620.4600000002
2015-03-23,1073033.6800000002
2015-03-24,1084366.2400000002
2015-03-25,1086460.3000000003
2015-03-26,1090032.52
2015-03-27,1096807.4200000002
2015-03-30,1082641.7200000002
2015-03-31,1093974.2800000003
2015-04-01,1095082.9000000004
2015-04-02,1090402.06
2015-04-06,1084243.06
2015-04-07,1084735.7800000003
2015-04-08,1092003.4000000004
2015-04-09,1084612.6
2015-04-10,1102660.32
2015-04-13,1089414.79
2015-04-14,1088424.47
2015-04-15,1106002.6500000001
2015-04-16,1106250.2300000002
2015-04-17,1123952.2000000002
2015-04-20,1106745.3900000001
2015-04-21,1118876.8100000003
2015-04-22,1116648.5900000003
2015-04-23,1110582.8800000001
2015-04-24,1113058.6800000002
2015-04-27,1106374.0200000003
2015-04-28,1106869.1800000002
2015-04-29,1094737.7600000002
2015-04-30,1107862.0300000003
2015-05-01,1118509.0900000003
2015-05-04,1112390.0900000003
2015-05-05,1103211.5900000003
2015-05-06,1101131.1300000004
2015-05-07,1096970.2100000002
2015-05-08,1100152.0900000003
2015-05-11,1115449.5900000003
2015-05-12,1106515.8500000003
