,value
2014-02-05,992072.0799999998
2014-02-06,984652.3599999999
2014-02-07,982212.9999999999
2014-02-10,977232.6399999998
2014-02-11,969203.0799999998
2014-02-12,971947.3599999999
2014-02-13,992336.7999999997
2014-02-14,1000581.7999999997
2014-02-18,999902.7999999997
2014-02-19,989135.7999999997
2014-02-20,988165.7999999997
2014-02-21,991269.7999999997
2014-02-24,993209.7999999997
2014-02-25,1014452.7999999997
2014-02-26,1022697.7999999998
2014-02-27,1034531.7999999997
2014-02-28,1045201.7999999997
2014-03-03,1047432.7999999997
2014-03-04,1063728.7999999998
2014-03-05,1061012.7999999998
2014-03-06,1065668.7999999998
2014-03-07,1065474.7999999998
2014-03-10,1068772.7999999998
2014-03-11,1079054.7999999998
2014-03-12,1073040.7999999998
2014-03-13,1059751.7999999998
2014-03-14,1053737.7999999998
2014-03-17,1067220.7999999998
2014-03-18,1070324.7999999998
2014-03-19,1060430.7999999998
2014-03-20,1067414.7999999998
2014-03-21,1074107.7999999998
2014-03-24,1065474.7999999998
2014-03-25,1050633.7999999998
2014-03-26,1038411.7999999997
2014-03-27,1030166.7999999997
2014-03-28,1030457.7999999997
2014-03-31,1047529.7999999997
2014-04-01,1054028.7999999998
2014-04-02,1053349.7999999998
2014-04-03,1057811.7999999998
2014-04-04,1039672.7999999998
2014-04-07,1052379.7999999998
2014-04-08,1057326.7999999998
2014-04-09,1038120.7999999998
2014-04-10,1059266.7999999998
2014-04-11,1053995.47
2014-04-14,1059788.38
2014-04-15,1071475.8299999998
2014-04-16,1087838.2599999998
2014-04-17,1095562.14
2014-04-21,1096476.8099999998
2014-04-22,1090379.0099999998
2014-04-23,1086415.44
2014-04-24,1078285.0399999998
2014-04-25,1069544.8599999999
2014-04-28,1065479.66
2014-04-29,1060093.2699999998
2014-04-30,1063548.69
2014-05-01,1063243.7999999998
2014-05-02,1062125.87
2014-05-05,1053893.84
2014-05-06,1064056.84
2014-05-07,1055926.4400000002
2014-05-08,1062125.87
2014-05-09,1059585.12
2014-05-12,1051048.2000000002
2014-05-13,1049930.27
2014-05-14,1056108.6900000002
2014-05-15,1052230.5300000003
2014-05-16,1053026.05
2014-05-19,1032740.29
2014-05-20,1060782.37
2014-05-21,1071820.2100000002
2014-05-22,1068041.4900000002
2014-05-23,1074505.09
2014-05-27,1080869.25
2014-05-28,1075300.61
2014-05-29,1080769.8100000003
2014-05-30,1085841.25
2014-06-02,1085940.6900000002
2014-06-03,1085045.7300000002
2014-06-04,1101744.1900000004
2014-06-05,1099941.1300000001
2014-06-06,1105350.3100000003
2014-06-09,1102445.3800000001
2014-06-10,1102545.5500000003
2014-06-11,1095233.1400000001
2014-06-12,1085316.3100000003
2014-06-13,1083413.0800000003
2014-06-16,1079406.2800000003
2014-06-17,1079907.1300000001
2014-06-18,1086217.8400000003
2014-06-19,1085716.9900000002
2014-06-20,1088722.0900000003
2014-06-23,1085115.9700000002
2014-06-24,1073696.5900000003
2014-06-25,1076401.1800000004
2014-06-26,1074497.9500000004
2014-06-27,1088221.2400000002
2014-06-30,1115367.3100000003
2014-07-01,1117270.5400000003
2014-07-02,1108255.2400000002
2014-07-03,1108054.9000000001
2014-07-07,1104749.2900000003
2014-07-08,1105951.3300000003
2014-07-09,1104649.12
2014-07-10,1102044.7000000004
2014-07-11,1097837.5600000003
2014-07-14,1100742.4900000002
2014-07-15,1104248.4400000004
2014-07-16,1107754.3900000001
2014-07-17,1101744.1900000004
2014-07-18,1106251.8400000003
2014-07-21,1095834.1600000004
2014-07-22,1101744.1900000004
2014-07-23,1102946.23
2014-07-24,1099039.5999999999
2014-07-25,1097136.37
2014-07-28,1092728.8900000001
2014-07-29,1104649.12
2014-07-30,1109457.28
2014-07-31,1117671.22
2014-08-01,1109757.79
2014-08-04,1109757.79
2014-08-05,1121077.0
2014-08-06,1114365.61
2014-08-07,1122479.3800000001
2014-08-08,1111861.36
2014-08-11,1109156.77
2014-08-12,1113013.7199999997
2014-08-13,1125658.7199999997
2014-08-14,1132739.9199999997
2014-08-15,1136786.3199999998
2014-08-18,1147205.7999999998
2014-08-19,1151454.5199999996
2014-08-20,1150139.4399999997
2014-08-21,1150948.7199999997
2014-08-22,1149835.9599999997
2014-08-25,1159142.6799999997
2014-08-26,1162076.3199999998
2014-08-27,1154084.6799999997
2014-08-28,1157220.6399999997
2014-08-29,1161570.5199999996
2014-09-02,1159850.7999999998
2014-09-03,1161772.8399999996
