,value
2014-02-05,1013395.7999999999
2014-02-06,1005358.32
2014-02-07,1001336.8800000001
2014-02-10,992641.31
2014-02-11,993979.09
2014-02-12,991303.53
2014-02-13,985952.41
2014-02-14,975250.17
2014-02-18,966513.72
2014-02-19,957721.58
2014-02-20,958977.6
2014-02-21,952069.49
2014-02-24,953325.5099999999
2014-02-25,951441.48
2014-02-26,958349.59
2014-02-27,966513.72
2014-02-28,966513.72
2014-03-03,954581.5299999999
2014-03-04,965257.7
2014-03-05,981585.96
2014-03-06,984098.0
2014-03-07,980957.95
2014-03-10,972793.8200000001
2014-03-11,985982.03
2014-03-12,979701.93
2014-03-13,993518.1500000001
2014-03-14,986973.2500000002
2014-03-17,1000063.0500000002
2014-03-18,987627.74
2014-03-19,988282.23
2014-03-20,996655.0000000001
2014-03-21,991527.5600000002
2014-03-24,986400.1200000001
2014-03-25,982554.5400000002
2014-03-26,977427.1000000001
2014-03-27,977427.1000000001
2014-03-28,990245.7000000001
2014-03-31,999859.65
2014-04-01,1046006.6100000001
2014-04-02,1054979.6300000001
2014-04-03,1059466.1400000001
2014-04-04,1076130.3200000003
2014-04-07,1069937.8900000004
2014-04-08,1080677.4100000006
2014-04-09,1063225.6900000004
2014-04-10,1049130.0700000005
2014-04-11,1049130.0700000005
2014-04-14,1053828.6100000003
2014-04-15,1063225.6900000004
2014-04-16,1078663.7500000005
2014-04-17,1072622.7700000005
2014-04-21,1073965.2100000004
2014-04-22,1065910.5700000003
2014-04-23,1057184.7100000004
2014-04-24,1039371.0100000005
2014-04-25,1004980.5700000004
2014-04-28,1017080.9100000005
2014-04-29,1026633.8100000005
2014-04-30,1028544.3900000004
2014-05-01,1013259.7500000005
2014-05-02,1018991.4900000003
2014-05-05,1029181.2500000003
2014-05-06,1040644.7300000003
2014-05-07,1047013.3300000003
2014-05-08,1060021.1400000006
2014-05-09,1057339.2600000005
2014-05-12,1058009.730000001
2014-05-13,1056668.790000001
2014-05-14,1064043.960000001
2014-05-15,1068066.780000001
2014-05-16,1071475.530000001
2014-05-19,1082353.4500000011
2014-05-20,1072155.400000001
2014-05-21,1081673.580000001
2014-05-22,1081673.580000001
2014-05-23,1089152.150000001
2014-05-27,1098670.330000001
2014-05-28,1108868.380000001
2014-05-29,1124505.390000001
2014-05-30,1117706.690000001
2014-06-02,1127224.8700000013
2014-06-03,1119746.3000000012
2014-06-04,1135984.220000001
2014-06-05,1128541.840000001
2014-06-06,1155605.040000001
2014-06-09,1150192.400000001
2014-06-10,1150868.9800000011
2014-06-11,1143426.600000001
2014-06-12,1117716.560000001
2014-06-13,1120422.880000001
2014-06-16,1125158.940000001
2014-06-17,1135984.220000001
2014-06-18,1138690.540000001
2014-06-19,1135307.640000001
2014-06-20,1127865.2600000012
2014-06-23,1142073.440000001
2014-06-24,1148162.660000001
2014-06-25,1163724.000000001
2014-06-26,1163724.000000001
2014-06-27,1169136.640000001
2014-06-30,1166430.320000001
2014-07-01,1164400.5800000012
2014-07-02,1165077.160000001
2014-07-03,1171842.9600000011
2014-07-07,1171842.9600000011
2014-07-08,1157634.780000001
2014-07-09,1179285.340000001
2014-07-10,1170489.8000000012
