,value
2014-02-05,1000000.0
2014-02-06,1000000.0
2014-02-07,1016031.82
2014-02-10,1012650.96
2014-02-11,1026937.82
2014-02-12,1028355.6000000001
2014-02-13,1030973.04
2014-02-14,1031845.52
2014-02-18,1030318.6799999998
2014-02-19,1045587.0799999997
2014-02-20,1038934.4199999998
2014-02-21,1034899.1999999997
2014-02-24,1023659.4199999998
2014-02-25,1024860.2899999998
2014-02-26,1024751.1199999998
2014-02-27,1030318.7899999998
2014-02-28,1031082.9799999997
2014-03-03,1021803.5299999998
2014-03-04,1032829.6999999997
2014-03-05,1033484.7199999997
2014-03-06,1034467.2499999998
2014-03-07,1041999.9799999997
2014-03-10,1039925.7499999998
2014-03-11,1027480.3699999998
2014-03-12,1024641.9499999997
2014-03-13,1013724.9499999997
2014-03-14,1017655.0699999997
2014-03-17,1002480.4399999997
2014-03-18,999306.7699999998
2014-03-19,990140.0299999998
2014-03-20,989500.4899999998
2014-03-21,989074.1299999999
2014-03-24,999946.3099999998
2014-03-25,994936.5799999998
2014-03-26,1011990.9799999997
2014-03-27,1017746.8399999999
2014-03-28,1011458.0299999998
2014-03-31,991525.6999999997
2014-04-01,986196.1999999997
2014-04-02,979587.6199999999
2014-04-03,979111.9400000001
2014-04-04,969246.19
2014-04-07,954395.6400000001
2014-04-08,955122.59
2014-04-09,967999.99
2014-04-10,948580.04
2014-04-11,939441.2400000001
2014-04-14,934041.0400000002
2014-04-15,938828.1200000002
2014-04-16,955103.3600000002
2014-04-17,963496.8800000002
2014-04-21,962678.0000000001
2014-04-22,961040.2400000002
2014-04-23,953977.4000000003
2014-04-24,958071.8000000003
2014-04-25,968103.0800000002
2014-04-28,970047.9200000003
2014-04-29,969945.5600000002
2014-04-30,965544.0800000002
2014-05-01,972299.8400000003
2014-05-02,970969.1600000001
2014-05-05,968512.5200000003
2014-05-06,962253.7700000001
2014-05-07,976333.1500000003
2014-05-08,976753.4300000002
2014-05-09,975072.3100000002
2014-05-12,991778.4400000002
2014-05-13,989992.2500000002
2014-05-14,974441.8900000001
2014-05-15,957840.8300000002
2014-05-16,958261.1100000002
2014-05-19,965510.9400000002
2014-05-20,967927.55
2014-05-21,958471.25
2014-05-22,956474.92
2014-05-23,951011.28
2014-05-27,946913.55
2014-05-28,945337.5
2014-05-29,941975.2600000001
2014-05-30,938613.02
2014-06-02,938141.7000000001
2014-06-03,936635.2500000001
2014-06-04,942560.62
2014-06-05,953607.92
2014-06-06,956118.67
2014-06-09,962244.9000000001
2014-06-10,961742.7500000001
2014-06-11,966061.2400000001
2014-06-12,954536.5300000001
2014-06-13,955657.5400000002
2014-06-16,955963.2700000001
2014-06-17,961058.7700000001
2014-06-18,959937.7600000001
2014-06-19,962485.5100000001
2014-06-20,966358.0900000001
2014-06-23,960753.0400000002
2014-06-24,948014.2900000002
2014-06-25,949950.5800000002
2014-06-26,948421.9300000003
2014-06-27,950460.1300000002
2014-06-30,947300.9200000003
