,value
2014-02-05,1000000.0
2014-02-06,1000000.0
2014-02-07,1008887.9436
2014-02-10,1037824.12
2014-02-11,1030070.9000000001
2014-02-12,1058861.4318000001
2014-02-13,1068933.3718
2014-02-14,1059972.2436000002
2014-02-18,1072677.3800000001
2014-02-19,1062701.8118
2014-02-20,1058064.3718
2014-02-21,1051180.6718000001
2014-02-24,1059272.28
2014-02-25,1050407.5236000002
2014-02-26,1058812.8836
2014-02-27,1072822.3
2014-02-28,1074464.2436000002
2014-03-03,1096226.1554
2014-03-04,1085768.0036000002
2014-03-05,1079512.5318
2014-03-06,1073304.8836
2014-03-07,1072411.4518000002
2014-03-10,1081034.9164000002
2014-03-11,1089246.8082
2014-03-12,1095731.9390000002
2014-03-13,1086953.7427
2014-03-14,1089180.3553000002
2014-03-17,1080225.3353000002
2014-03-18,1074129.0916000004
2014-03-19,1060165.3316000004
2014-03-20,1053916.549
2014-03-21,1074457.6953000003
2014-03-24,1091715.0813000002
2014-03-25,1089595.4736000001
2014-03-26,1085158.1853000002
2014-03-27,1075165.7490000003
2014-03-28,1059026.9816000003
2014-03-31,1051437.9816000003
2014-04-01,910762.9653000003
2014-04-02,847774.2653000001
2014-04-03,791793.2479000003
2014-04-04,880609.5916000004
2014-04-07,868049.9292000001
2014-04-08,855493.6179000001
2014-04-09,746103.2979000001
2014-04-10,751394.6879
2014-04-11,775808.4279
2014-04-14,801357.4592
2014-04-15,815170.6066
2014-04-16,818593.7692000001
2014-04-17,824076.9066
2014-04-21,825614.0292000001
2014-04-22,806020.1692000001
2014-04-23,890542.5279000001
2014-04-24,895100.4579
2014-04-25,903744.8079000001
2014-04-28,901247.3766000001
2014-04-29,912092.1066
2014-04-30,911900.3592000001
2014-05-01,916388.0866
2014-05-02,908599.7892000001
2014-05-05,907936.0079000001
2014-05-06,914344.8766000001
2014-05-07,927180.4266
2014-05-08,928228.2266
2014-05-09,926988.6792000001
2014-05-12,904967.0666000001
2014-05-13,905316.5079000001
2014-05-14,894489.0666000001
2014-05-15,907132.8692000001
2014-05-16,890263.2892000001
2014-05-19,895781.5279000001
2014-05-20,908581.9766
2014-05-21,903814.4866000001
2014-05-22,906766.1392000001
2014-05-23,908128.2792000001
2014-05-27,895012.9666
2014-05-28,906695.9366000001
2014-05-29,888935.7266
2014-05-30,897859.8392
2014-06-02,895833.9179
2014-06-03,895764.2392000001
2014-06-04,897178.7692000001
2014-06-05,899431.5392000001
2014-06-06,895205.2379000001
2014-06-09,888953.5392000001
2014-06-10,901745.9192000001
2014-06-11,913161.0368000001
2014-06-12,937017.1568
2014-06-13,947643.5180000002
2014-06-16,978687.2792000002
2014-06-17,962974.478
2014-06-18,965195.3180000001
2014-06-19,960490.7192
2014-06-20,965147.3192
2014-06-23,962329.7180000002
2014-06-24,960610.3580000001
2014-06-25,967368.1592000001
2014-06-26,981004.1168000001
2014-06-27,1011116.558
2014-06-30,983415.5192000001
2014-07-01,970735.2392000001
