,value
2014-02-05,990866.0199999999
2014-02-06,973869.8799999999
2014-02-07,958954.8999999998
2014-02-10,947046.04
2014-02-11,966355.5199999997
2014-02-12,960638.8199999997
2014-02-13,962093.9799999997
2014-02-14,964172.7799999998
2014-02-18,958040.3199999997
2014-02-19,952531.4999999998
2014-02-20,960223.0599999997
2014-02-21,951284.2199999997
2014-02-24,947022.6799999997
2014-02-25,947022.6799999997
2014-02-26,947022.6799999996
2014-02-27,944424.1799999996
2014-02-28,951026.6399999995
2014-03-03,945245.7599999995
2014-03-04,963620.6999999996
2014-03-05,955878.4499999996
2014-03-06,958975.3499999995
2014-03-07,963414.2399999995
2014-03-10,964756.2299999995
2014-03-11,965169.1499999994
2014-03-12,966304.6799999995
2014-03-13,960110.8799999995
2014-03-14,958149.5099999995
2014-03-17,969711.2699999996
2014-03-18,969814.4999999995
2014-03-19,966201.4499999996
2014-03-20,971672.6399999995
2014-03-21,990357.2699999996
2014-03-24,982821.4799999995
2014-03-25,1005325.6199999995
2014-03-26,1001919.0299999996
2014-03-27,1004293.3199999996
2014-03-28,1005944.9999999995
2014-03-31,1014100.1699999996
2014-04-01,1011106.4999999995
2014-04-02,1014100.1699999996
2014-04-03,1014409.8599999996
2014-04-04,1016061.5399999996
2014-04-07,1010590.3499999995
2014-04-08,1012345.2599999995
2014-04-09,1010590.3499999997
2014-04-10,1035468.7799999997
2014-04-11,1046214.5999999997
2014-04-14,1049130.5999999996
2014-04-15,1071378.5999999996
2014-04-16,1066518.5999999996
2014-04-17,1068786.5999999996
2014-04-21,1080018.5999999996
2014-04-22,1081962.5999999996
2014-04-23,1082394.5999999996
2014-04-24,1079586.5999999996
2014-04-25,1077750.5999999996
2014-04-28,1094490.5999999996
2014-04-29,1091142.5999999996
2014-04-30,1093950.5999999996
2014-05-01,1085742.5999999996
2014-05-02,1091142.5999999996
2014-05-05,1083690.5999999996
2014-05-06,1088982.5999999996
2014-05-07,1073862.5999999996
2014-05-08,1078290.5999999996
2014-05-09,1073862.5999999996
2014-05-12,1078074.5999999996
2014-05-13,1072674.5999999996
2014-05-14,1072579.9599999995
2014-05-15,1070666.0199999996
2014-05-16,1069496.3899999994
2014-05-19,1070134.3699999996
2014-05-20,1077896.4599999995
2014-05-21,1068433.0899999994
2014-05-22,1070347.0299999996
2014-05-23,1070134.3699999994
2014-05-27,1071941.9799999995
2014-05-28,1077364.8099999996
2014-05-29,1072473.6299999994
2014-05-30,1065030.5299999996
2014-06-02,1057481.0999999994
2014-06-03,1054397.5299999996
2014-06-04,1061494.7699999996
2014-06-05,1067076.7499999993
2014-06-06,1066663.2699999996
2014-06-09,1067076.7499999993
2014-06-10,1076173.3099999994
2014-06-11,1068110.4499999993
2014-06-12,1059944.2199999995
2014-06-13,1059944.2199999995
2014-06-16,1059117.2599999995
2014-06-17,1053742.0199999996
2014-06-18,1062838.5799999994
2014-06-19,1073175.5799999994
2014-06-20,1088267.5999999994
2014-06-23,1082892.3599999994
2014-06-24,1081238.4399999995
2014-06-25,1093332.7299999995
2014-06-26,1092195.6599999995
2014-06-27,1085373.2399999993
2014-06-30,1081548.5499999993
2014-07-01,1094469.7999999993
2014-07-02,1094366.4299999995
2014-07-03,1089818.1499999994
2014-07-07,1100671.9999999993
2014-07-08,1092919.2499999993
2014-07-09,1096227.0899999994
2014-07-10,1093746.2099999993
2014-07-11,1086510.3099999994
2014-07-14,1089404.6699999995
2014-07-15,1108011.2699999993
2014-07-16,1118968.4899999995
2014-07-17,1138091.9399999995
2014-07-18,1123310.0299999996
2014-07-21,1128788.6399999994
2014-07-22,1116384.2399999995
2014-07-23,1119278.5999999994
2014-07-24,1119175.2299999993
2014-07-25,1120105.5599999994
2014-07-28,1120105.5599999994
2014-07-29,1121656.1099999994
2014-07-30,1118141.5299999996
2014-07-31,1140986.2999999993
2014-08-01,1142950.3299999994
2014-08-04,1140262.7099999995
2014-08-05,1143777.2899999996
2014-08-06,1134577.3599999994
2014-08-07,1142640.2199999993
2014-08-08,1130752.6699999995
2014-08-11,1129925.7099999995
2014-08-12,1135404.3199999994
2014-08-13,1123930.2499999995
2014-08-14,1121035.8899999994
2014-08-15,1129822.3399999994
2014-08-18,1114006.7299999993
2014-08-19,1111319.1099999994
2014-08-20,1115925.5199999996
2014-08-21,1126521.2799999996
2014-08-22,1114736.1999999995
2014-08-25,1116141.7599999995
2014-08-26,1118412.2799999996
2014-08-27,1116033.6399999994
2014-08-28,1112033.1999999995
2014-08-29,1103599.8399999996
2014-09-02,1108892.68
2014-09-03,1113183.88
2014-09-04,1114042.1199999999
2014-09-05,1120264.3599999999
2014-09-08,1116294.9999999998
2014-09-09,1113612.9999999998
2014-09-10,1126379.3199999998
2014-09-11,1121658.9999999998
2014-09-12,1121980.8399999999
2014-09-15,1123482.7599999998
2014-09-16,1135927.2399999998
2014-09-17,1139252.92
2014-09-18,1151697.4
2014-09-19,1158563.3199999998
2014-09-22,1157383.2399999998
2014-09-23,1152877.4799999997
2014-09-24,1165536.5199999998
2014-09-25,1149015.4
2014-09-26,1149015.4
2014-09-29,1143007.72
2014-09-30,1143544.1199999999
2014-10-01,1118976.9999999998
2014-10-02,1118655.16
2014-10-03,1104923.32
2014-10-06,1090495.7399999998
2014-10-07,1064810.21
2014-10-08,1091015.6899999997
2014-10-09,1061586.5199999998
2014-10-10,1076041.1299999994
2014-10-13,1097983.0199999996
2014-10-14,1119924.9099999992
2014-10-15,1107446.1099999994
2014-10-16,1122316.6799999995
2014-10-17,1102350.5999999994
2014-10-20,1097151.0999999994
2014-10-21,1085088.2599999993
2014-10-22,1076145.1199999994
2014-10-23,1061482.5299999996
2014-10-24,1056283.0299999996
2014-10-27,1046507.9699999995
2014-10-28,1043907.0899999996
2014-10-29,1051577.0599999996
2014-10-30,1066319.3399999999
2014-10-31,1073690.4799999995
2014-11-03,1070502.9599999995
2014-11-04,1082057.7199999997
2014-11-05,1084049.9199999995
2014-11-06,1085942.5099999998
2014-11-07,1077874.0999999996
2014-11-10,1084049.9199999995
2014-11-11,1084946.4099999997
2014-11-12,1083352.6499999994
2014-11-13,1086540.1699999995
2014-11-14,1077475.6599999997
2014-11-17,1078870.1999999997
2014-11-18,1084149.5299999993
2014-11-19,1083452.2599999998
2014-11-20,1077674.8799999994
2014-11-21,1074487.3599999994
2014-11-24,1064725.5799999996
2014-11-25,1062932.5999999996
2014-11-26,1068012.7099999995
2014-11-28,1078372.1499999994
2014-12-01,1076180.7299999995
2014-12-02,1080962.0099999998
2014-12-03,1073092.8199999994
2014-12-04,1071499.0599999996
2014-12-05,1080962.0099999998
2014-12-08,1081061.6199999996
2014-12-09,1076379.9499999997
2014-12-10,1058350.5399999996
2014-12-11,1063131.8199999994
2014-12-12,1084547.9700000002
2014-12-15,1089229.6400000001
2014-12-16,1101182.84
2014-12-17,1088133.9300000002
2014-12-18,1084780.0200000003
2014-12-19,1071983.4600000002
2014-12-22,1062741.5
2014-12-23,1087725.26
2014-12-24,1084576.9
2014-12-26,1079803.5799999998
2014-12-29,1077061.46
2014-12-30,1076756.78
2014-12-31,1084780.02
2015-01-02,1085287.82
2015-01-05,1092701.7
2015-01-06,1097881.26
2015-01-07,1074725.5799999998
2015-01-08,1066296.0999999999
2015-01-09,1081022.3
2015-01-12,1084678.46
2015-01-13,1069005.58
2015-01-14,1061250.54
2015-01-15,1045842.5
2015-01-16,1061658.7000000002
2015-01-20,1038903.7799999999
2015-01-21,1032679.3399999999
2015-01-22,1013699.8999999999
2015-01-23,1029618.1399999999
2015-01-26,1029005.8999999999
2015-01-27,1030740.58
2015-01-28,1036965.0199999999
2015-01-29,1027781.42
2015-01-30,1050638.38
2015-02-02,1043597.62
2015-02-03,1026965.1
2015-02-04,1038189.5
2015-02-05,1026965.1
2015-02-06,1040842.54
2015-02-09,1054311.8199999998
2015-02-10,1048495.54
2015-02-11,1048189.42
2015-02-12,1067985.18
2015-02-13,1055944.46
2015-02-17,1047577.1799999999
2015-02-18,1052475.1
2015-02-19,1044924.1399999999
2015-02-20,1049413.9
2015-02-23,1050230.2199999997
2015-02-24,1044924.1399999999
2015-02-25,1039720.1
2015-02-26,1052523.38
2015-02-27,1049554.3600000003
2015-03-02,1049451.9799999997
2015-03-03,1058461.42
2015-03-04,1055832.3599999999
2015-03-05,1064868.1799999997
2015-03-06,1039837.9199999997
2015-03-09,1045550.2199999997
2015-03-10,1043369.1599999996
2015-03-11,1055936.2199999997
2015-03-12,1040253.3599999995
2015-03-13,1046692.6799999996
2015-03-16,1027478.5799999996
2015-03-17,1039630.1999999995
2015-03-18,1055969.1899999995
2015-03-19,1058362.7999999996
2015-03-20,1065751.7699999996
2015-03-23,1071787.8299999996
2015-03-24,1061172.6899999995
2015-03-25,1044313.3499999995
2015-03-26,1042231.9499999995
2015-03-27,1044313.3499999995
2015-03-30,1056905.8199999994
2015-03-31,1047019.1699999995
2015-04-01,1059195.3599999994
2015-04-02,1054095.9299999995
