,value
2014-02-05,1016207.3999999999
2014-02-06,992049.2
2014-02-07,956729.2999999999
2014-02-10,957799.6000000001
2014-02-11,948778.5
2014-02-12,948014.0
2014-02-13,952601.0
2014-02-14,947861.0999999999
2014-02-18,956882.2000000001
2014-02-19,959481.5
2014-02-20,962998.2000000001
2014-02-21,952295.2000000001
2014-02-24,943885.7000000002
2014-02-25,962233.7
2014-02-26,952206.4000000001
2014-02-27,951923.9000000001
2014-02-28,919153.9000000004
2014-03-03,925792.6500000004
2014-03-04,908701.4000000004
2014-03-05,907430.1500000004
2014-03-06,890056.4000000004
2014-03-07,884265.1500000004
2014-03-10,883417.6500000004
2014-03-11,902768.9000000004
2014-03-12,912232.6500000004
2014-03-13,935962.6500000004
2014-03-14,932431.4000000004
2014-03-17,922402.6500000004
2014-03-18,923815.1500000004
2014-03-19,912373.9000000003
2014-03-20,941914.8900000001
2014-03-21,953134.2000000002
2014-03-24,972525.6000000001
2014-03-25,971833.05
2014-03-26,1006183.5300000001
2014-03-27,1008261.1800000003
2014-03-28,1020237.4200000002
2014-03-31,1028518.7000000002
2014-04-01,1028814.4600000002
2014-04-02,1024525.9400000003
2014-04-03,1027631.4200000002
2014-04-04,1009294.3000000003
2014-04-07,983711.0600000002
2014-04-08,974838.2600000004
2014-04-09,991844.4600000002
2014-04-10,963451.5000000003
2014-04-11,969514.5800000002
2014-04-14,959458.7400000002
2014-04-15,960789.6600000003
2014-04-16,952508.3800000002
2014-04-17,943339.8200000002
2014-04-21,951177.4600000002
2014-04-22,945853.7800000003
2014-04-23,937720.3800000002
2014-04-24,940382.2200000001
2014-04-25,969070.9400000002
2014-04-28,973507.3400000002
2014-04-29,960937.5400000002
2014-04-30,957684.1800000002
2014-05-01,957092.6600000003
2014-05-02,945853.7800000003
2014-05-05,964043.0200000003
2014-05-06,972620.0600000003
2014-05-07,962268.4600000002
2014-05-08,951768.9800000003
2014-05-09,953247.7800000003
2014-05-12,938459.7800000003
2014-05-13,942452.5400000002
2014-05-14,953099.9000000001
2014-05-15,977647.9800000002
2014-05-16,977943.7400000002
2014-05-19,968775.1800000002
2014-05-20,977352.2200000002
2014-05-21,961972.7000000003
2014-05-22,955761.7400000002
2014-05-23,958719.3400000003
2014-05-27,948663.5000000001
2014-05-28,953691.4200000003
2014-05-29,951029.5800000001
2014-05-30,947184.7000000003
2014-06-02,940201.7200000002
2014-06-03,950605.0000000003
2014-06-04,958262.9700000002
2014-06-05,959852.3600000003
2014-06-06,968088.2900000003
2014-06-09,971122.5800000002
2014-06-10,967510.3300000002
2014-06-11,960574.8100000003
2014-06-12,956962.5600000003
2014-06-13,957396.0300000004
2014-06-16,954939.7000000003
2014-06-17,978636.0600000003
2014-06-18,979936.4700000002
2014-06-19,971267.0700000003
2014-06-20,979647.4900000002
2014-06-23,982970.7600000002
2014-06-24,976035.2400000002
2014-06-25,982970.7600000002
2014-06-26,977769.1200000003
2014-06-27,965487.4700000002
2014-06-30,971845.0300000004
2014-07-01,977624.6300000002
2014-07-02,983982.1900000002
2014-07-03,994674.4500000003
2014-07-07,990339.7500000003
2014-07-08,979503.0000000003
2014-07-09,983548.7200000002
2014-07-10,990050.7700000003
2014-07-11,1026614.4500000002
2014-07-14,1041342.9300000002
2014-07-15,1049390.4500000002
2014-07-16,1054097.4900000002
2014-07-17,1049542.2900000003
2014-07-18,1061385.8100000003
2014-07-21,1059108.2100000002
2014-07-22,1063967.09
2014-07-23,1067307.5700000003
2014-07-24,1086591.2500000002
2014-07-25,1084921.0100000002
2014-07-28,1081884.2100000002
2014-07-29,1078391.8900000001
2014-07-30,1091146.4500000002
2014-07-31,1097523.7300000004
2014-08-01,1097068.2100000004
2014-08-04,1104783.4600000004
2014-08-05,1091458.0100000005
2014-08-06,1102431.9100000004
2014-08-07,1092555.4000000004
2014-08-08,1103058.9900000005
2014-08-11,1102118.3700000003
2014-08-12,1103215.7600000002
